Unnamed: 0,vg_image_id,vg_object_id,image_file,link_vg,vg_obj_name,vg_domain,vg_synset,vg_same_object,vg_adequacy_mean,vg_inadequacy_type,vg_image_name,vg_cat,clusters,topname,adequacy_mean,inadequacy_type,total_responses,perc_top,H,N,domain,split,same_object,vg_bbox_xywh,mn_bbox_xywh,human_nouns,llava_output
1604,2317404,2882968,http://manynames.upf.edu//2317404_2882968_bird.png,https://cs.stanford.edu/people/rak248/VG_100K/2317404.jpg,bird,animals_plants,bird.n.01,{},1.0,{'None': 1.0},2317404.jpg,animal,[{'32': ['bird']}],bird,{'bird': 1.0},{'bird': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'bird': {'bird': 1.0}},"[135, 72, 217, 412]","[114, 57, 201, 375]","{'bird': 32, 'sparrow': 1}","[['Bird'], ['Bird'], ['Bird'], ['Bird'], ['Bird']]"
2692,2322841,3143880,http://manynames.upf.edu//2322841_3143880_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2322841.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2322841.jpg,animal,[{'33': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},33,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[42, 57, 260, 356]","[31, 44, 239, 325]","{'horse': 33, 'belt': 1}","[['Horse'], ['Horse'], ['Horse'], ['Horse'], ['Horse']]"
23671,2411207,360140,http://manynames.upf.edu//2411207_360140_cat.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2411207.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2411207.jpg,animal,[{'34': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},34,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[0, 63, 398, 311]","[0, 68, 481, 378]","{'cat': 34, 'pant': 1}","[['Wii'], ['Wii'], ['Wii'], ['Wii'], ['Wii']]"
2659,2322673,2949587,http://manynames.upf.edu//2322673_2949587_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2322673.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2322673.jpg,animal,[{'30': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},30,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[91, 125, 266, 206]","[102, 142, 325, 253]","{'horse': 30, 'rope': 1, 'wheel': 1, 'belt': 1, 'animal': 1}","[['Carriage'], ['Carriage'], ['Carriage'], ['Carriage'], ['Carriage']]"
19668,2394684,461968,http://manynames.upf.edu//2394684_461968_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2394684.jpg,sheep,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2394684.jpg,animal,[{'31': ['sheep']}],sheep,{'sheep': 1.0},{'sheep': {'None': 1.0}},31,1.0,0.0,1,animals_plants,train,{'sheep': {'sheep': 1.0}},"[123, 135, 374, 179]","[139, 153, 450, 219]","{'sheep': 31, 'animal': 1, 'lam boy': 1, 'adust': 1, 'goat': 1, 'lamb': 1}","[['Sheep'], ['Sheep'], ['Sheep'], ['Sheep'], ['Sheep']]"
10715,2359293,3892843,http://manynames.upf.edu//2359293_3892843_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2359293.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2359293.jpg,animal,[{'35': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[28, 38, 453, 292]","[26, 38, 548, 356]","{'horse': 35, 'cap': 1}","[['Horse'], ['Horse'], ['Horse'], ['Horse'], ['Horse']]"
14858,2374117,2116666,http://manynames.upf.edu//2374117_2116666_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2374117.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2374117.jpg,animal,[{'30': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},30,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[139, 90, 243, 169]","[159, 100, 297, 208]","{'cat': 30, 'bag': 1}","[['Cat'], ['Cat'], ['Cat'], ['Cat'], ['Cat']]"
21663,2403572,351810,http://manynames.upf.edu//2403572_351810_horse.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2403572.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2403572.jpg,animal,[{'29': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},29,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[0, 42, 326, 295]","[0, 43, 396, 359]","{'horse': 29, 'pant': 1, 'belt': 1}","[['Horse'], ['Horse'], ['Horse'], ['Horse'], ['Horse']]"
6825,2344348,2625527,http://manynames.upf.edu//2344348_2625527_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2344348.jpg,dog,animals_plants,dog.n.01,{},1.0,{'None': 1.0},2344348.jpg,animal,[{'32': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[0, 62, 347, 347]","[0, 48, 311, 317]","{'dog': 32, 'staring': 1, 'car': 1}","[['Car'], ['Car'], ['Car'], ['Car'], ['Car']]"
1872,2318499,2724707,http://manynames.upf.edu//2318499_2724707_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2318499.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2318499.jpg,animal,[{'32': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[106, 185, 124, 314]","[88, 158, 118, 288]","{'cat': 32, 'suitcase': 1}","[['Suitcase'], ['Suitcase'], ['Suitcase'], ['Suitcase'], ['Suitcase']]"
6842,2344407,1043550,http://manynames.upf.edu//2344407_1043550_mouse.png,https://cs.stanford.edu/people/rak248/VG_100K/2344407.jpg,mouse,animals_plants,rodent.n.01,"{'computer mouse': 1.0, 'mouse': 1.0}",1.0,{'None': 1.0},2344407.jpg,animal,"[{'35': ['mouse', 'computer mouse']}]",mouse,"{'mouse': 1.0, 'computer mouse': 1.0}","{'mouse': {'None': 1.0}, 'computer mouse': {'None': 1.0}}",35,0.9142857142857144,0.4220005168831531,2,animals_plants,train,"{'mouse': {'mouse': 1.0, 'computer mouse': 1.0}, 'computer mouse': {'mouse': 1.0, 'computer mouse': 1.0}}","[144, 33, 311, 224]","[165, 32, 378, 274]","{'mouse': 32, 'computer mouse': 3}","[['Mouse'], ['Mouse'], ['Mouse'], ['Mouse'], ['Mouse']]"
12278,2364782,1899525,http://manynames.upf.edu//2364782_1899525_flowers.png,https://cs.stanford.edu/people/rak248/VG_100K/2364782.jpg,flower,animals_plants,flower.n.01,{'flowers': 1.0},0.83,"{'bounding box': 0.3, 'None': 0.7}",2364782.jpg,"plant, flora, plant life","[{'33': ['flowers', 'flower']}]",flowers,"{'flowers': 0.83, 'flower': 0.83}","{'flowers': {'None': 0.7, 'bounding box': 0.3}, 'flower': {'None': 0.7, 'bounding box': 0.3}}",33,0.5757575757575758,0.9833761901392236,2,animals_plants,train,"{'flowers': {'flowers': 1.0, 'flower': 1.0}, 'flower': {'flowers': 1.0, 'flower': 1.0}}","[8, 30, 312, 230]","[0, 20, 286, 213]","{'flowers': 19, 'flower': 14, 'flower bott': 1, 'vase': 1}","[['Vase'], ['Vase'], ['Vase'], ['Vase'], ['Vase']]"
10889,2359891,790588,http://manynames.upf.edu//2359891_790588_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2359891.jpg,cat,animals_plants,feline.n.01,"{'cat': 1.0, 'animal': 1.0}",1.0,{'None': 1.0},2359891.jpg,animal,"[{'36': ['cat', 'animal']}]",cat,"{'cat': 1.0, 'animal': 1.0}","{'cat': {'None': 1.0}, 'animal': {'None': 1.0}}",36,0.9444444444444444,0.3095434291503252,2,animals_plants,train,"{'cat': {'cat': 1.0, 'animal': 1.0}, 'animal': {'cat': 1.0, 'animal': 1.0}}","[77, 2, 423, 306]","[85, 0, 512, 372]","{'cat': 34, 'animal': 2}","[['Bowl'], ['Bowl'], ['Bowl'], ['Bowl'], ['Bowl']]"
17829,2385979,684619,http://manynames.upf.edu//2385979_684619_bird.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2385979.jpg,duck,animals_plants,bird.n.01,{'bird': 1.0},0.83,"{'visual': 0.3, 'None': 0.7}",2385979.jpg,animal,[{'27': ['bird']}],bird,{'bird': 1.0},{'bird': {'None': 1.0}},27,1.0,0.0,1,animals_plants,train,{'bird': {'bird': 1.0}},"[109, 90, 283, 122]","[123, 100, 345, 153]","{'bird': 27, 'duck': 1, 'water': 1, 'block sparrow': 1, 'sparrow': 1}","[['Bird'], ['Bird'], ['Duck'], ['Bird'], ['Bird']]"
6042,2341191,2951701,http://manynames.upf.edu//2341191_2951701_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2341191.jpg,cat,animals_plants,feline.n.01,{'keyboarder': 0.33},1.0,{'None': 1.0},2341191.jpg,animal,"[{'2': ['keyboarder']}, {'31': ['cat']}]",cat,"{'cat': 1.0, 'keyboarder': 0.67}","{'cat': {'None': 1.0}, 'keyboarder': {'None': 0.3, 'bounding box': 0.3, 'linguistic': 0.3}}",33,0.9393939393939394,0.3298460702071463,2,animals_plants,train,"{'cat': {'cat': 1.0, 'keyboarder': 0.33}, 'keyboarder': {'cat': 0.33, 'keyboarder': 1.0}}","[1, 1, 389, 372]","[0, 0, 471, 447]","{'cat': 31, 'keyboarder': 2, 'whisker': 1}","[['Keyboard'], ['Keyboard'], ['Keyboard'], ['Keyboard'], ['Keyboard']]"
24691,2415290,142433,http://manynames.upf.edu//2415290_142433_giraffe.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2415290.jpg,giraffe,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2415290.jpg,animal,[{'34': ['giraffe']}],giraffe,{'giraffe': 1.0},{'giraffe': {'None': 1.0}},34,1.0,0.0,1,animals_plants,train,{'giraffe': {'giraffe': 1.0}},"[66, 151, 266, 275]","[52, 128, 245, 253]","{'giraffe': 34, 'zebra': 1}","[['Giraffe'], ['Giraffe'], ['Giraffe'], ['Giraffe'], ['Giraffe']]"
4180,2331108,2757670,http://manynames.upf.edu//2331108_2757670_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2331108.jpg,dog,animals_plants,dog.n.01,{},1.0,{'None': 1.0},2331108.jpg,animal,[{'32': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[247, 0, 171, 285]","[288, 0, 211, 347]","{'dog': 32, 'fields': 1}","[['Frisbee'], ['Frisbee'], ['Frisbee'], ['Frisbee'], ['Frisbee']]"
15893,2377847,1979305,http://manynames.upf.edu//2377847_1979305_horse.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2377847.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2377847.jpg,animal,"[{'2': ['shoe']}, {'33': ['horse']}]",horse,"{'shoe': 0.33, 'horse': 1.0}","{'shoe': {'bounding box': 1.0}, 'horse': {'None': 1.0}}",33,1.0,0.0,1,animals_plants,train,"{'shoe': {'shoe': 1.0, 'horse': 0.0}, 'horse': {'shoe': 0.0, 'horse': 1.0}}","[84, 195, 331, 230]","[68, 167, 303, 213]","{'horse': 33, 'shoe': 2, 'animal': 1}","[['Horse'], ['Horse'], ['Horse'], ['Horse'], ['Horse']]"
7719,2347901,886438,http://manynames.upf.edu//2347901_886438_food.png,https://cs.stanford.edu/people/rak248/VG_100K/2347901.jpg,fish,animals_plants,fish.n.01,"{'chicken': 0.75, 'food': 0.5, 'pork chop': 0.75, 'meat': 0.75}",0.38,"{'visual': 0.5, 'other': 0.2, 'None': 0.2}",2347901.jpg,animal,"[{'29': ['food', 'fish', 'meat', 'pork chop', 'chicken']}]",food,"{'fish': 0.38, 'meat': 1.0, 'food': 1.0, 'chicken': 0.5, 'pork chop': 1.0}","{'fish': {'visual': 0.5, 'other': 0.2, 'None': 0.2}, 'meat': {'None': 1.0}, 'food': {'None': 1.0}, 'chicken': {'visual': 0.5, 'other': 0.2, 'None': 0.2}, 'pork chop': {'None': 1.0}}",26,0.3461538461538461,1.8324233708223008,4,food,train,"{'fish': {'fish': 1.0, 'meat': 0.75, 'food': 0.5, 'chicken': 0.75, 'pork chop': 0.75}, 'meat': {'fish': 0.75, 'meat': 1.0, 'food': 0.75, 'chicken': 0.75, 'pork chop': 1.0}, 'food': {'fish': 0.5, 'meat': 0.75, 'food': 1.0, 'chicken': 0.5, 'pork chop': 0.75}, 'chicken': {'fish': 0.75, 'meat': 0.75, 'food': 0.5, 'chicken': 1.0, 'pork chop': 0.75}, 'pork chop': {'fish': 0.75, 'meat': 1.0, 'food': 0.75, 'chicken': 0.75, 'pork chop': 1.0}}","[32, 124, 239, 187]","[31, 141, 292, 230]","{'meat': 9, 'food': 9, 'chicken': 6, 'pork chop': 2, 'fish': 3, 'bread': 1, 'pork': 1, 'pizza': 1, 'broccoli': 1, 'burger': 1}","[['Broccoli'], ['Broccoli'], ['Broccoli'], ['Broccoli'], ['Broccoli']]"
20951,2400630,407107,http://manynames.upf.edu//2400630_407107_horse.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2400630.jpg,horse,animals_plants,horse.n.01,{'animal': 1.0},1.0,{'None': 1.0},2400630.jpg,animal,"[{'34': ['horse', 'animal']}]",horse,"{'horse': 1.0, 'animal': 1.0}","{'horse': {'None': 1.0}, 'animal': {'None': 1.0}}",34,0.9411764705882352,0.3227569588973982,2,animals_plants,train,"{'horse': {'horse': 1.0, 'animal': 1.0}, 'animal': {'horse': 1.0, 'animal': 1.0}}","[1, 89, 190, 288]","[0, 98, 232, 348]","{'horse': 32, 'animal': 2, 'soil': 1}","[['Horse'], ['Horse'], ['Horse'], ['Horse'], ['Horse']]"
9410,2354497,837951,http://manynames.upf.edu//2354497_837951_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2354497.jpg,dog,animals_plants,dog.n.01,{},1.0,{'None': 1.0},2354497.jpg,animal,[{'31': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},31,1.0,0.0,1,animals_plants,val,{'dog': {'dog': 1.0}},"[13, 34, 487, 296]","[9, 34, 588, 360]","{'dog': 31, 'belt': 1}","[['Frisbee'], ['Frisbee'], ['Frisbee'], ['Frisbee'], ['Frisbee']]"
18005,2386737,1282994,http://manynames.upf.edu//2386737_1282994_cat.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2386737.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2386737.jpg,animal,[{'35': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[6, 176, 266, 323]","[0, 150, 245, 296]","{'cat': 35, 'dog': 1}","[['Can'], ['Can'], ['Can'], ['Can'], ['Can']]"
2867,2323746,3009835,http://manynames.upf.edu//2323746_3009835_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2323746.jpg,dog,animals_plants,dog.n.01,"{'dog': 1.0, 'animal': 1.0}",1.0,{'None': 1.0},2323746.jpg,animal,"[{'32': ['dog', 'animal']}]",dog,"{'dog': 1.0, 'animal': 1.0}","{'dog': {'None': 1.0}, 'animal': {'None': 1.0}}",32,0.9375,0.3372900666170139,2,animals_plants,train,"{'dog': {'dog': 1.0, 'animal': 1.0}, 'animal': {'dog': 1.0, 'animal': 1.0}}","[121, 103, 199, 318]","[101, 85, 185, 291]","{'dog': 30, 'animal': 2}","[['Frisbee'], ['Frisbee'], ['Frisbee'], ['Frisbee'], ['Frisbee']]"
7138,2345616,906426,http://manynames.upf.edu//2345616_906426_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2345616.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2345616.jpg,animal,[{'35': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[218, 84, 281, 244]","[253, 93, 342, 298]","{'horse': 35, 'carse': 1}","[['Horse'], ['Horse'], ['Horse'], ['Horse'], ['Horse']]"
17790,2385857,3845595,http://manynames.upf.edu//2385857_3845595_giraffe.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2385857.jpg,giraffe,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2385857.jpg,animal,[{'31': ['giraffe']}],giraffe,{'giraffe': 1.0},{'giraffe': {'None': 1.0}},31,1.0,0.0,1,animals_plants,test,{'giraffe': {'giraffe': 1.0}},"[212, 81, 151, 293]","[246, 90, 187, 356]","{'giraffe': 31, 'grafter': 1}","[['Giraffe'], ['Giraffe'], ['Giraffe'], ['Giraffe'], ['Giraffe']]"
22883,2408433,3809233,http://manynames.upf.edu//2408433_3809233_horse.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2408433.jpg,horse,animals_plants,horse.n.01,{'pony': 1.0},1.0,{'None': 1.0},2408433.jpg,animal,"[{'34': ['pony', 'horse']}]",horse,"{'horse': 1.0, 'pony': 1.0}","{'horse': {'None': 1.0}, 'pony': {'None': 1.0}}",34,0.9117647058823528,0.4305518670104393,2,animals_plants,train,"{'horse': {'horse': 1.0, 'pony': 1.0}, 'pony': {'horse': 1.0, 'pony': 1.0}}","[178, 135, 217, 164]","[206, 154, 266, 203]","{'horse': 31, 'pony': 3, 'animal': 1, 'hare': 1}","[['Horse'], ['Horse'], ['Horse'], ['Horse'], ['Horse']]"
12964,2367168,752532,http://manynames.upf.edu//2367168_752532_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K/2367168.jpg,sheep,animals_plants,ungulate.n.01,{'animal': 1.0},1.0,{'None': 1.0},2367168.jpg,animal,"[{'27': ['sheep', 'animal']}]",sheep,"{'sheep': 1.0, 'animal': 1.0}","{'sheep': {'None': 1.0}, 'animal': {'None': 1.0}}",27,0.925925925925926,0.3809465857053902,2,animals_plants,val,"{'sheep': {'sheep': 1.0, 'animal': 1.0}, 'animal': {'sheep': 1.0, 'animal': 1.0}}","[183, 0, 206, 227]","[212, 0, 253, 278]","{'sheep': 25, 'animal': 2, 'goat': 1}","[['Sheep'], ['Sheep'], ['Sheep'], ['Sheep'], ['Sheep']]"
1947,2318778,3259336,http://manynames.upf.edu//2318778_3259336_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K/2318778.jpg,goat,animals_plants,ungulate.n.01,{'sheep': 1.0},1.0,{'None': 1.0},2318778.jpg,animal,[{'34': ['sheep']}],sheep,{'sheep': 1.0},{'sheep': {'None': 1.0}},34,1.0,0.0,1,animals_plants,train,{'sheep': {'sheep': 1.0}},"[62, 121, 229, 152]","[67, 137, 280, 188]","{'sheep': 34, 'animal': 1}","[['Sheep'], ['Sheep'], ['Sheep'], ['Sheep'], ['Sheep']]"
8139,2349429,3599342,http://manynames.upf.edu//2349429_3599342_giraffe.png,https://cs.stanford.edu/people/rak248/VG_100K/2349429.jpg,giraffe,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2349429.jpg,animal,[{'35': ['giraffe']}],giraffe,{'giraffe': 1.0},{'giraffe': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'giraffe': {'giraffe': 1.0}},"[74, 45, 137, 334]","[80, 46, 169, 401]","{'giraffe': 35, 'zebra': 1}","[['Giraffe'], ['Giraffe'], ['Giraffe'], ['Giraffe'], ['Giraffe']]"
13069,2367569,751162,http://manynames.upf.edu//2367569_751162_bird.png,https://cs.stanford.edu/people/rak248/VG_100K/2367569.jpg,bird,animals_plants,bird.n.01,{},1.0,{'None': 1.0},2367569.jpg,animal,[{'33': ['bird']}],bird,{'bird': 1.0},{'bird': {'None': 1.0}},33,1.0,0.0,1,animals_plants,train,{'bird': {'bird': 1.0}},"[84, 94, 144, 299]","[68, 77, 136, 274]","{'bird': 33, 'parrot': 1}","[['Bird'], ['Bird'], ['Bird'], ['Bird'], ['Bird']]"
1654,2317626,1019023,http://manynames.upf.edu//2317626_1019023_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K/2317626.jpg,sheep,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2317626.jpg,animal,[{'35': ['sheep']}],sheep,{'sheep': 1.0},{'sheep': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'sheep': {'sheep': 1.0}},"[160, 0, 327, 295]","[167, 0, 364, 329]","{'sheep': 35, 'lamb': 1}","[['Door'], ['Door'], ['Door'], ['Door'], ['Door']]"
