Unnamed: 0,vg_image_id,vg_object_id,image,link_vg,vg_obj_name,vg_domain,vg_synset,vg_same_object,vg_adequacy_mean,vg_inadequacy_type,vg_image_name,vg_cat,clusters,topname,adequacy_mean,inadequacy_type,total_responses,perc_top,H,N,domain,split,same_object,vg_bbox_xywh,mn_bbox_xywh,human_nouns,llava_extracted_nouns,pearsonr
1604,2317404,2882968,http://manynames.upf.edu//2317404_2882968_bird.png,https://cs.stanford.edu/people/rak248/VG_100K/2317404.jpg,bird,animals_plants,bird.n.01,{},1.0,{'None': 1.0},2317404.jpg,animal,[{'32': ['bird']}],bird,{'bird': 1.0},{'bird': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'bird': {'bird': 1.0}},"[135, 72, 217, 412]","[114, 57, 201, 375]","{'sparrow': 0.030303030303030304, 'bird': 0.9696969696969697}","{'sparrow': 0.0, 'bird': 1.0}",1.0
2692,2322841,3143880,http://manynames.upf.edu//2322841_3143880_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2322841.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2322841.jpg,animal,[{'33': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},33,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[42, 57, 260, 356]","[31, 44, 239, 325]","{'belt': 0.029411764705882353, 'horse': 0.9705882352941176}","{'belt': 0.0, 'horse': 1.0}",1.0
23671,2411207,360140,http://manynames.upf.edu//2411207_360140_cat.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2411207.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2411207.jpg,animal,[{'34': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},34,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[0, 63, 398, 311]","[0, 68, 481, 378]","{'cat': 0.9714285714285714, 'pant': 0.02857142857142857, 'wii': 0.0}","{'cat': 0.0, 'pant': 0.0, 'wii': 1.0}",-0.5222135910988972
2659,2322673,2949587,http://manynames.upf.edu//2322673_2949587_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2322673.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2322673.jpg,animal,[{'30': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},30,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[91, 125, 266, 206]","[102, 142, 325, 253]","{'carriage': 0.0, 'belt': 0.029411764705882353, 'animal': 0.029411764705882353, 'rope': 0.029411764705882353, 'wheel': 0.029411764705882353, 'horse': 0.8823529411764706}","{'carriage': 0.8, 'belt': 0.0, 'animal': 0.0, 'rope': 0.0, 'wheel': 0.0, 'horse': 0.2}",0.017443853555757595
19668,2394684,461968,http://manynames.upf.edu//2394684_461968_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2394684.jpg,sheep,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2394684.jpg,animal,[{'31': ['sheep']}],sheep,{'sheep': 1.0},{'sheep': {'None': 1.0}},31,1.0,0.0,1,animals_plants,train,{'sheep': {'sheep': 1.0}},"[123, 135, 374, 179]","[139, 153, 450, 219]","{'sheep': 0.8611111111111112, 'lamb': 0.027777777777777776, 'goat': 0.027777777777777776, 'adust': 0.027777777777777776, 'animal': 0.027777777777777776, 'lam boy': 0.027777777777777776}","{'sheep': 1.0, 'lamb': 0.0, 'goat': 0.0, 'adust': 0.0, 'animal': 0.0, 'lam boy': 0.0}",1.0
2614,2322428,2930306,http://manynames.upf.edu//2322428_2930306_bridge.png,https://cs.stanford.edu/people/rak248/VG_100K/2322428.jpg,bridge,buildings,bridge.n.01,"{'road': 0.5, 'roadway': 0.5}",0.75,"{'other': 0.2, 'None': 0.8}",2322428.jpg,"structure, construction","[{'23': ['road', 'roadway', 'bridge']}, {'7': ['car', 'truck']}, {'2': ['vest']}]",bridge,"{'vest': 0.5, 'car': 0.25, 'truck': 0.5, 'bridge': 0.75, 'road': 1.0, 'roadway': 1.0}","{'vest': {'None': 0.2, 'bounding box': 0.8}, 'car': {'other': 0.2, 'bounding box': 0.8}, 'truck': {'None': 0.2, 'bounding box': 0.8}, 'bridge': {'other': 0.2, 'None': 0.8}, 'road': {'None': 1.0}, 'roadway': {'None': 1.0}}",23,0.6086956521739131,1.264672679395722,3,buildings,train,"{'vest': {'vest': 1.0, 'car': 0.0, 'truck': 0.0, 'bridge': 0.0, 'road': 0.0, 'roadway': 0.0}, 'car': {'vest': 0.0, 'car': 1.0, 'truck': 0.75, 'bridge': 0.0, 'road': 0.0, 'roadway': 0.0}, 'truck': {'vest': 0.0, 'car': 0.75, 'truck': 1.0, 'bridge': 0.0, 'road': 0.0, 'roadway': 0.0}, 'bridge': {'vest': 0.0, 'car': 0.0, 'truck': 0.0, 'bridge': 1.0, 'road': 0.5, 'roadway': 0.5}, 'road': {'vest': 0.0, 'car': 0.0, 'truck': 0.0, 'bridge': 0.5, 'road': 1.0, 'roadway': 1.0}, 'roadway': {'vest': 0.0, 'car': 0.0, 'truck': 0.0, 'bridge': 0.5, 'road': 1.0, 'roadway': 1.0}}","[0, 180, 469, 316]","[0, 154, 420, 290]","{'street': 0.027777777777777776, 'ground': 0.027777777777777776, 'pickup truck': 0.027777777777777776, 'wheel': 0.027777777777777776, 'truck': 0.1111111111111111, 'vest': 0.05555555555555555, 'bridge': 0.3888888888888889, 'car': 0.08333333333333333, 'road': 0.19444444444444445, 'roadway': 0.05555555555555555}","{'street': 0.0, 'ground': 0.0, 'pickup truck': 0.0, 'wheel': 0.0, 'truck': 1.0, 'vest': 0.0, 'bridge': 0.0, 'car': 0.0, 'road': 0.0, 'roadway': 0.0}",0.03415436797190399
24278,2413574,170779,http://manynames.upf.edu//2413574_170779_storefront.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2413574.jpg,restaurant,buildings,restaurant.n.01,"{'shop': 1.0, 'building': 0.67, 'storefront': 0.67, 'store': 1.0}",0.83,"{'visual': 0.3, 'None': 0.7}",2413574.jpg,"structure, construction","[{'20': ['store', 'restaurant', 'shop', 'storefront']}, {'14': ['store', 'restaurant', 'shop', 'building']}, {'2': ['patio']}, {'2': ['pole']}, {'4': ['window']}]",storefront,"{'pole': 0.33, 'window': 0.33, 'patio': 1.0, 'storefront': 1.0, 'store': 0.83, 'restaurant': 0.83, 'shop': 0.83, 'building': 0.5}","{'pole': {'bounding box': 1.0}, 'window': {'bounding box': 1.0}, 'patio': {'None': 1.0}, 'storefront': {'None': 1.0}, 'store': {'None': 0.7, 'visual': 0.3}, 'restaurant': {'None': 0.7, 'visual': 0.3}, 'shop': {'None': 0.7, 'visual': 0.3}, 'building': {'bounding box': 0.7, 'None': 0.3}}",22,0.3636363636363636,2.170134892428194,5,buildings,train,"{'pole': {'pole': 1.0, 'window': 0.0, 'patio': 0.0, 'storefront': 0.0, 'store': 0.0, 'restaurant': 0.0, 'shop': 0.0, 'building': 0.0}, 'window': {'pole': 0.0, 'window': 1.0, 'patio': 0.0, 'storefront': 0.0, 'store': 0.0, 'restaurant': 0.0, 'shop': 0.0, 'building': 0.0}, 'patio': {'pole': 0.0, 'window': 0.0, 'patio': 1.0, 'storefront': 0.0, 'store': 0.0, 'restaurant': 0.0, 'shop': 0.0, 'building': 0.0}, 'storefront': {'pole': 0.0, 'window': 0.0, 'patio': 0.0, 'storefront': 1.0, 'store': 0.67, 'restaurant': 0.67, 'shop': 0.67, 'building': 0.33}, 'store': {'pole': 0.0, 'window': 0.0, 'patio': 0.0, 'storefront': 0.67, 'store': 1.0, 'restaurant': 1.0, 'shop': 1.0, 'building': 0.67}, 'restaurant': {'pole': 0.0, 'window': 0.0, 'patio': 0.0, 'storefront': 0.67, 'store': 1.0, 'restaurant': 1.0, 'shop': 1.0, 'building': 0.67}, 'shop': {'pole': 0.0, 'window': 0.0, 'patio': 0.0, 'storefront': 0.67, 'store': 1.0, 'restaurant': 1.0, 'shop': 1.0, 'building': 0.67}, 'building': {'pole': 0.0, 'window': 0.0, 'patio': 0.0, 'storefront': 0.33, 'store': 0.67, 'restaurant': 0.67, 'shop': 0.67, 'building': 1.0}}","[137, 145, 304, 133]","[156, 166, 369, 166]","{'restaurant': 0.11428571428571428, 'diner': 0.02857142857142857, 'canopy': 0.02857142857142857, 'balzac': 0.0, 'chair': 0.02857142857142857, 'storefront': 0.22857142857142856, 'window': 0.11428571428571428, 'shop': 0.08571428571428572, 'building': 0.05714285714285714, 'store': 0.14285714285714285, 'pole': 0.05714285714285714, 'patio': 0.05714285714285714, 'curtain': 0.02857142857142857, 'awning': 0.02857142857142857}","{'restaurant': 0.0, 'diner': 0.0, 'canopy': 0.0, 'balzac': 1.0, 'chair': 0.0, 'storefront': 0.0, 'window': 0.0, 'shop': 0.0, 'building': 0.0, 'store': 0.0, 'pole': 0.0, 'patio': 0.0, 'curtain': 0.0, 'awning': 0.0}",-0.3363363969981562
19210,2392494,1229424,http://manynames.upf.edu//2392494_1229424_building.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2392494.jpg,house,buildings,house.n.01,"{'building': 1.0, 'steeple': 0.5, 'roof': 0.25}",0.75,"{'bounding box': 0.2, 'None': 0.8}",2392494.jpg,"structure, construction","[{'17': ['house', 'steeple', 'building']}, {'5': ['roof', 'steeple']}, {'13': ['clock']}]",building,"{'house': 0.75, 'building': 1.0, 'steeple': 0.88, 'roof': 0.88, 'clock': 0.25}","{'house': {'None': 0.8, 'bounding box': 0.2}, 'building': {'None': 1.0}, 'steeple': {'None': 0.8, 'visual': 0.2}, 'roof': {'None': 0.8, 'bounding box': 0.2}, 'clock': {'bounding box': 1.0}}",17,0.5294117647058824,1.37928048729106,3,buildings,train,"{'house': {'house': 1.0, 'building': 1.0, 'steeple': 0.5, 'roof': 0.25, 'clock': 0.0}, 'building': {'house': 1.0, 'building': 1.0, 'steeple': 0.5, 'roof': 0.25, 'clock': 0.0}, 'steeple': {'house': 0.5, 'building': 0.5, 'steeple': 1.0, 'roof': 0.5, 'clock': 0.0}, 'roof': {'house': 0.25, 'building': 0.25, 'steeple': 0.5, 'roof': 1.0, 'clock': 0.0}, 'clock': {'house': 0.0, 'building': 0.0, 'steeple': 0.0, 'roof': 0.0, 'clock': 1.0}}","[0, 0, 421, 344]","[0, 0, 510, 411]","{'watch': 0.027777777777777776, 'roof': 0.08333333333333333, 'clock tower': 0.027777777777777776, 'steeple': 0.05555555555555555, 'building': 0.25, 'clock': 0.3611111111111111, 'house': 0.16666666666666666, 'tower': 0.027777777777777776}","{'watch': 0.0, 'roof': 0.0, 'clock tower': 0.0, 'steeple': 0.0, 'building': 0.0, 'clock': 1.0, 'house': 0.0, 'tower': 0.0}",0.7679817174694635
17809,2385899,1291684,http://manynames.upf.edu//2385899_1291684_house.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2385899.jpg,house,buildings,house.n.01,{'building': 1.0},1.0,{'None': 1.0},2385899.jpg,"structure, construction","[{'30': ['house', 'building']}, {'3': ['sign']}]",house,"{'sign': 0.17, 'house': 1.0, 'building': 1.0}","{'sign': {'bounding box': 1.0}, 'house': {'None': 1.0}, 'building': {'None': 1.0}}",30,0.7,0.8812908992306926,2,buildings,train,"{'sign': {'sign': 1.0, 'house': 0.0, 'building': 0.0}, 'house': {'sign': 0.0, 'house': 1.0, 'building': 1.0}, 'building': {'sign': 0.0, 'house': 1.0, 'building': 1.0}}","[0, 1, 289, 339]","[0, 0, 259, 310]","{'sign': 0.08333333333333333, 'wood': 0.027777777777777776, 'wall': 0.027777777777777776, 'door': 0.027777777777777776, 'building': 0.25, 'fire hydrant': 0.0, 'house': 0.5833333333333334}","{'sign': 0.0, 'wood': 0.0, 'wall': 0.0, 'door': 0.0, 'building': 0.0, 'fire hydrant': 1.0, 'house': 0.0}",-0.29740895825796587
20812,2400019,412084,http://manynames.upf.edu//2400019_412084_dugout.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2400019.jpg,dugout,buildings,shelter.n.01,{'dug out': 1.0},1.0,{'None': 1.0},2400019.jpg,"structure, construction","[{'4': ['men', 'team']}, {'2': ['helmet']}, {'20': ['dugout']}]",dugout,"{'men': 0.5, 'team': 0.5, 'helmet': 0.17, 'dugout': 1.0}","{'men': {'bounding box': 0.7, 'None': 0.3}, 'team': {'bounding box': 0.7, 'None': 0.3}, 'helmet': {'bounding box': 1.0}, 'dugout': {'None': 1.0}}",20,1.0,0.0,1,buildings,train,"{'men': {'men': 1.0, 'team': 1.0, 'helmet': 0.0, 'dugout': 0.0, 'dug out': 0.0}, 'team': {'men': 1.0, 'team': 1.0, 'helmet': 0.0, 'dugout': 0.0, 'dug out': 0.0}, 'helmet': {'men': 0.0, 'team': 0.0, 'helmet': 1.0, 'dugout': 0.0, 'dug out': 0.0}, 'dugout': {'men': 0.0, 'team': 0.0, 'helmet': 0.0, 'dugout': 1.0, 'dug out': 1.0}, 'dug out': {'men': 0.0, 'team': 0.0, 'helmet': 0.0, 'dugout': 1.0, 'dug out': 1.0}}","[1, 1, 498, 100]","[0, 0, 597, 126]","{'catcher': 0.0, 'baseball': 0.0, 'players': 0.02702702702702703, 'pipe': 0.02702702702702703, 'batter': 0.0, 'hat': 0.02702702702702703, 'stadium': 0.02702702702702703, 'baseball bat': 0.0, 'men': 0.05405405405405406, 'team': 0.05405405405405406, 'dugout': 0.5405405405405406, 'baseballs': 0.02702702702702703, 'cap': 0.02702702702702703, 'bullpen': 0.02702702702702703, 'baseball dugout': 0.02702702702702703, 'helmet': 0.05405405405405406, 'pit': 0.02702702702702703, 'sidelines': 0.02702702702702703, 'baseball fail': 0.02702702702702703}","{'catcher': 0.2, 'baseball': 0.2, 'players': 0.0, 'pipe': 0.0, 'batter': 0.4, 'hat': 0.0, 'stadium': 0.0, 'baseball bat': 0.2, 'men': 0.0, 'team': 0.0, 'dugout': 0.0, 'baseballs': 0.0, 'cap': 0.0, 'bullpen': 0.0, 'baseball dugout': 0.0, 'helmet': 0.0, 'pit': 0.0, 'sidelines': 0.0, 'baseball fail': 0.0}",-0.21800279167658948
8898,2352556,853253,http://manynames.upf.edu//2352556_853253_house.png,https://cs.stanford.edu/people/rak248/VG_100K/2352556.jpg,house,buildings,house.n.01,{'building': 1.0},1.0,{'None': 1.0},2352556.jpg,"structure, construction","[{'32': ['house', 'building']}]",house,"{'house': 1.0, 'building': 1.0, 'home': 'NA'}","{'house': {'None': 1.0}, 'building': {'None': 1.0}, 'home': 'NA'}",33,0.9090909090909092,0.5229784263810124,3,buildings,train,"{'house': {'house': 1.0, 'building': 1.0, 'home': 'NA'}, 'building': {'house': 1.0, 'building': 1.0, 'home': 'NA'}, 'home': {'house': 'NA', 'building': 'NA', 'home': 'NA'}}","[102, 0, 397, 231]","[115, 0, 480, 282]","{'home': 0.027777777777777776, 'suitcase': 0.0, 'shirt': 0.027777777777777776, 'door': 0.027777777777777776, 'building': 0.05555555555555555, 'luggage': 0.0, 'jacket': 0.027777777777777776, 'house': 0.8333333333333334}","{'home': 0.0, 'suitcase': 0.8, 'shirt': 0.0, 'door': 0.0, 'building': 0.0, 'luggage': 0.2, 'jacket': 0.0, 'house': 0.0}",-0.22115492151802568
16204,2378984,1362335,http://manynames.upf.edu//2378984_1362335_house.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2378984.jpg,house,buildings,house.n.01,{'building': 1.0},1.0,{'None': 1.0},2378984.jpg,"structure, construction","[{'24': ['house', 'building']}, {'3': ['helmet']}, {'2': ['jacket']}, {'2': ['mirror']}]",house,"{'helmet': 0.0, 'jacket': 0.0, 'mirror': 0.0, 'house': 1.0, 'building': 1.0, 'home': 'NA'}","{'helmet': {'bounding box': 1.0}, 'jacket': {'bounding box': 1.0}, 'mirror': {'bounding box': 1.0}, 'house': {'None': 1.0}, 'building': {'None': 1.0}, 'home': 'NA'}",25,0.88,0.6395563653739033,3,buildings,train,"{'helmet': {'helmet': 1.0, 'jacket': 0.0, 'mirror': 0.0, 'house': 0.0, 'building': 0.0, 'home': 'NA'}, 'jacket': {'helmet': 0.0, 'jacket': 1.0, 'mirror': 0.0, 'house': 0.0, 'building': 0.0, 'home': 'NA'}, 'mirror': {'helmet': 0.0, 'jacket': 0.0, 'mirror': 1.0, 'house': 0.0, 'building': 0.0, 'home': 'NA'}, 'house': {'helmet': 0.0, 'jacket': 0.0, 'mirror': 0.0, 'house': 1.0, 'building': 1.0, 'home': 'NA'}, 'building': {'helmet': 0.0, 'jacket': 0.0, 'mirror': 0.0, 'house': 1.0, 'building': 1.0, 'home': 'NA'}, 'home': {'helmet': 'NA', 'jacket': 'NA', 'mirror': 'NA', 'house': 'NA', 'building': 'NA', 'home': 'NA'}}","[195, 0, 304, 128]","[226, 0, 370, 160]","{'t-shirt': 0.027777777777777776, 'home': 0.027777777777777776, 'mask': 0.027777777777777776, 'window': 0.027777777777777776, 'helmet': 0.08333333333333333, 'building': 0.05555555555555555, 'mirror': 0.05555555555555555, 'wheel': 0.027777777777777776, 'jacket': 0.05555555555555555, 'stop sign': 0.0, 'house': 0.6111111111111112}","{'t-shirt': 0.0, 'home': 0.0, 'mask': 0.0, 'window': 0.0, 'helmet': 0.0, 'building': 0.0, 'mirror': 0.0, 'wheel': 0.0, 'jacket': 0.0, 'stop sign': 1.0, 'house': 0.0}",-0.1733254875011876
5250,2336913,2340730,http://manynames.upf.edu//2336913_2340730_bridge.png,https://cs.stanford.edu/people/rak248/VG_100K/2336913.jpg,overpass,buildings,bridge.n.01,{'bridge': 1.0},1.0,{'None': 1.0},2336913.jpg,"structure, construction","[{'24': ['overpass', 'bridge']}, {'5': ['train']}]",bridge,"{'train': 0.33, 'bridge': 1.0, 'overpass': 1.0}","{'train': {'bounding box': 1.0}, 'bridge': {'None': 1.0}, 'overpass': {'None': 1.0}}",24,0.9166666666666666,0.4138168503036338,2,buildings,,"{'train': {'train': 1.0, 'bridge': 0.0, 'overpass': 0.0}, 'bridge': {'train': 0.0, 'bridge': 1.0, 'overpass': 1.0}, 'overpass': {'train': 0.0, 'bridge': 1.0, 'overpass': 1.0}}","[133, 80, 365, 110]","[152, 89, 443, 138]","{'boardwalk': 0.027777777777777776, 'train': 0.1388888888888889, 'overpass': 0.05555555555555555, 'airplane': 0.027777777777777776, 'steps': 0.027777777777777776, 'staircase': 0.027777777777777776, 'crosswalk': 0.027777777777777776, 'bridge': 0.6111111111111112, 'stairs': 0.027777777777777776, 'pedestrian bridge': 0.027777777777777776}","{'boardwalk': 0.0, 'train': 0.8, 'overpass': 0.0, 'airplane': 0.0, 'steps': 0.0, 'staircase': 0.2, 'crosswalk': 0.0, 'bridge': 0.0, 'stairs': 0.0, 'pedestrian bridge': 0.0}",0.039873315498761365
2133,2319572,3208534,http://manynames.upf.edu//2319572_3208534_building.png,https://cs.stanford.edu/people/rak248/VG_100K/2319572.jpg,restaurant,buildings,restaurant.n.01,"{'store': 1.0, 'building': 1.0}",1.0,{'None': 1.0},2319572.jpg,"structure, construction","[{'28': ['store', 'building']}]",building,"{'building': 1.0, 'store': 1.0}","{'building': {'None': 1.0}, 'store': {'None': 1.0}}",28,0.7142857142857143,0.8631205685666309,2,buildings,train,"{'building': {'building': 1.0, 'store': 1.0}, 'store': {'building': 1.0, 'store': 1.0}}","[0, 12, 300, 170]","[0, 7, 365, 210]","{'t-shirt': 0.029411764705882353, 'tree': 0.0, 'restaurant': 0.029411764705882353, 'sign': 0.029411764705882353, 'coca-cola': 0.0, 'storefront': 0.029411764705882353, 'coffee': 0.0, 'building': 0.5882352941176471, 'store': 0.23529411764705882, 'costa': 0.029411764705882353, 'light': 0.029411764705882353}","{'t-shirt': 0.0, 'tree': 0.4, 'restaurant': 0.0, 'sign': 0.0, 'coca-cola': 0.2, 'storefront': 0.0, 'coffee': 0.4, 'building': 0.0, 'store': 0.0, 'costa': 0.0, 'light': 0.0}",-0.31192082973258045
