index,image_file,llava_output,shuffled_options,prompted_questions
849,data/images/quantifier/test_849.png,"[['A'], ['D'], ['D'], ['B'], ['B']]","[{'a': 'almost all', 'b': 'many', 'c': 'the smaller part', 'd': 'almost none', 'e': 'few', 'f': 'most', 'g': 'all', 'h': 'some', 'i': 'none'}, {'a': 'some', 'b': 'few', 'c': 'the smaller part', 'd': 'all', 'e': 'almost none', 'f': 'almost all', 'g': 'most', 'h': 'none', 'i': 'many'}, {'a': 'few', 'b': 'almost none', 'c': 'some', 'd': 'the smaller part', 'e': 'many', 'f': 'all', 'g': 'almost all', 'h': 'most', 'i': 'none'}, {'a': 'the smaller part', 'b': 'many', 'c': 'almost none', 'd': 'almost all', 'e': 'all', 'f': 'most', 'g': 'some', 'h': 'few', 'i': 'none'}, {'a': 'none', 'b': 'almost all', 'c': 'few', 'd': 'most', 'e': 'many', 'f': 'almost none', 'g': 'all', 'h': 'some', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: the smaller part\nD: almost none\nE: few\nF: most\nG: all\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: the smaller part\nD: all\nE: almost none\nF: almost all\nG: most\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: some\nD: the smaller part\nE: many\nF: all\nG: almost all\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: almost none\nD: almost all\nE: all\nF: most\nG: some\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: few\nD: most\nE: many\nF: almost none\nG: all\nH: some\nI: the smaller part\nAnswer:']"
850,data/images/quantifier/test_850.png,"[['B'], ['D'], ['C'], ['A'], ['C']]","[{'a': 'almost none', 'b': 'some', 'c': 'none', 'd': 'few', 'e': 'almost all', 'f': 'most', 'g': 'many', 'h': 'the smaller part', 'i': 'all'}, {'a': 'none', 'b': 'all', 'c': 'many', 'd': 'most', 'e': 'almost all', 'f': 'the smaller part', 'g': 'few', 'h': 'some', 'i': 'almost none'}, {'a': 'all', 'b': 'most', 'c': 'almost all', 'd': 'almost none', 'e': 'some', 'f': 'few', 'g': 'none', 'h': 'many', 'i': 'the smaller part'}, {'a': 'all', 'b': 'few', 'c': 'almost none', 'd': 'many', 'e': 'some', 'f': 'most', 'g': 'the smaller part', 'h': 'none', 'i': 'almost all'}, {'a': 'none', 'b': 'almost all', 'c': 'the smaller part', 'd': 'some', 'e': 'most', 'f': 'many', 'g': 'all', 'h': 'almost none', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: none\nD: few\nE: almost all\nF: most\nG: many\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: many\nD: most\nE: almost all\nF: the smaller part\nG: few\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: most\nC: almost all\nD: almost none\nE: some\nF: few\nG: none\nH: many\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: almost none\nD: many\nE: some\nF: most\nG: the smaller part\nH: none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: the smaller part\nD: some\nE: most\nF: many\nG: all\nH: almost none\nI: few\nAnswer:']"
855,data/images/quantifier/test_855.png,"[['B'], ['B'], ['A'], ['I'], ['A']]","[{'a': 'many', 'b': 'some', 'c': 'few', 'd': 'almost none', 'e': 'the smaller part', 'f': 'almost all', 'g': 'all', 'h': 'most', 'i': 'none'}, {'a': 'the smaller part', 'b': 'most', 'c': 'many', 'd': 'almost all', 'e': 'all', 'f': 'few', 'g': 'almost none', 'h': 'none', 'i': 'some'}, {'a': 'none', 'b': 'few', 'c': 'the smaller part', 'd': 'all', 'e': 'some', 'f': 'many', 'g': 'almost all', 'h': 'most', 'i': 'almost none'}, {'a': 'almost none', 'b': 'almost all', 'c': 'the smaller part', 'd': 'few', 'e': 'many', 'f': 'all', 'g': 'some', 'h': 'none', 'i': 'most'}, {'a': 'some', 'b': 'almost none', 'c': 'many', 'd': 'the smaller part', 'e': 'none', 'f': 'most', 'g': 'few', 'h': 'almost all', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: few\nD: almost none\nE: the smaller part\nF: almost all\nG: all\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: many\nD: almost all\nE: all\nF: few\nG: almost none\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: the smaller part\nD: all\nE: some\nF: many\nG: almost all\nH: most\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: the smaller part\nD: few\nE: many\nF: all\nG: some\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: many\nD: the smaller part\nE: none\nF: most\nG: few\nH: almost all\nI: all\nAnswer:']"
857,data/images/quantifier/test_857.png,"[['B'], ['D'], ['I: almost all'], ['B'], ['E']]","[{'a': 'the smaller part', 'b': 'few', 'c': 'none', 'd': 'all', 'e': 'most', 'f': 'some', 'g': 'almost all', 'h': 'many', 'i': 'almost none'}, {'a': 'few', 'b': 'none', 'c': 'some', 'd': 'many', 'e': 'most', 'f': 'almost all', 'g': 'all', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'none', 'b': 'few', 'c': 'most', 'd': 'some', 'e': 'all', 'f': 'many', 'g': 'almost none', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'some', 'b': 'many', 'c': 'none', 'd': 'few', 'e': 'almost none', 'f': 'most', 'g': 'almost all', 'h': 'the smaller part', 'i': 'all'}, {'a': 'the smaller part', 'b': 'most', 'c': 'some', 'd': 'many', 'e': 'few', 'f': 'none', 'g': 'almost all', 'h': 'almost none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: none\nD: all\nE: most\nF: some\nG: almost all\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: some\nD: many\nE: most\nF: almost all\nG: all\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: most\nD: some\nE: all\nF: many\nG: almost none\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: none\nD: few\nE: almost none\nF: most\nG: almost all\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: some\nD: many\nE: few\nF: none\nG: almost all\nH: almost none\nI: all\nAnswer:']"
864,data/images/quantifier/test_864.png,"[['A'], ['A'], ['D'], ['A'], ['B']]","[{'a': 'all', 'b': 'few', 'c': 'some', 'd': 'none', 'e': 'many', 'f': 'almost none', 'g': 'the smaller part', 'h': 'most', 'i': 'almost all'}, {'a': 'few', 'b': 'most', 'c': 'none', 'd': 'all', 'e': 'many', 'f': 'the smaller part', 'g': 'almost none', 'h': 'some', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'all', 'c': 'many', 'd': 'almost none', 'e': 'none', 'f': 'few', 'g': 'almost all', 'h': 'some', 'i': 'most'}, {'a': 'all', 'b': 'most', 'c': 'almost all', 'd': 'some', 'e': 'the smaller part', 'f': 'almost none', 'g': 'none', 'h': 'few', 'i': 'many'}, {'a': 'most', 'b': 'some', 'c': 'few', 'd': 'all', 'e': 'the smaller part', 'f': 'many', 'g': 'none', 'h': 'almost none', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: some\nD: none\nE: many\nF: almost none\nG: the smaller part\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: none\nD: all\nE: many\nF: the smaller part\nG: almost none\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: many\nD: almost none\nE: none\nF: few\nG: almost all\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: most\nC: almost all\nD: some\nE: the smaller part\nF: almost none\nG: none\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: few\nD: all\nE: the smaller part\nF: many\nG: none\nH: almost none\nI: almost all\nAnswer:']"
867,data/images/quantifier/test_867.png,"[['D'], ['A: all'], ['C'], ['D'], ['A']]","[{'a': 'few', 'b': 'all', 'c': 'some', 'd': 'almost none', 'e': 'none', 'f': 'the smaller part', 'g': 'most', 'h': 'many', 'i': 'almost all'}, {'a': 'all', 'b': 'almost all', 'c': 'few', 'd': 'some', 'e': 'most', 'f': 'the smaller part', 'g': 'none', 'h': 'almost none', 'i': 'many'}, {'a': 'almost all', 'b': 'some', 'c': 'few', 'd': 'all', 'e': 'most', 'f': 'the smaller part', 'g': 'many', 'h': 'almost none', 'i': 'none'}, {'a': 'all', 'b': 'the smaller part', 'c': 'almost none', 'd': 'some', 'e': 'none', 'f': 'almost all', 'g': 'few', 'h': 'many', 'i': 'most'}, {'a': 'many', 'b': 'few', 'c': 'almost all', 'd': 'most', 'e': 'some', 'f': 'all', 'g': 'almost none', 'h': 'none', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: some\nD: almost none\nE: none\nF: the smaller part\nG: most\nH: many\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: few\nD: some\nE: most\nF: the smaller part\nG: none\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: few\nD: all\nE: most\nF: the smaller part\nG: many\nH: almost none\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: almost none\nD: some\nE: none\nF: almost all\nG: few\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: almost all\nD: most\nE: some\nF: all\nG: almost none\nH: none\nI: the smaller part\nAnswer:']"
873,data/images/quantifier/test_873.png,"[['E'], ['B'], ['D'], ['A: none'], ['B']]","[{'a': 'most', 'b': 'all', 'c': 'few', 'd': 'many', 'e': 'almost none', 'f': 'none', 'g': 'almost all', 'h': 'the smaller part', 'i': 'some'}, {'a': 'none', 'b': 'the smaller part', 'c': 'almost none', 'd': 'most', 'e': 'some', 'f': 'almost all', 'g': 'few', 'h': 'many', 'i': 'all'}, {'a': 'few', 'b': 'almost all', 'c': 'none', 'd': 'some', 'e': 'the smaller part', 'f': 'almost none', 'g': 'all', 'h': 'many', 'i': 'most'}, {'a': 'none', 'b': 'many', 'c': 'the smaller part', 'd': 'few', 'e': 'some', 'f': 'most', 'g': 'almost none', 'h': 'all', 'i': 'almost all'}, {'a': 'some', 'b': 'the smaller part', 'c': 'all', 'd': 'almost all', 'e': 'none', 'f': 'few', 'g': 'most', 'h': 'almost none', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: all\nC: few\nD: many\nE: almost none\nF: none\nG: almost all\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: almost none\nD: most\nE: some\nF: almost all\nG: few\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: none\nD: some\nE: the smaller part\nF: almost none\nG: all\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: the smaller part\nD: few\nE: some\nF: most\nG: almost none\nH: all\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: all\nD: almost all\nE: none\nF: few\nG: most\nH: almost none\nI: many\nAnswer:']"
874,data/images/quantifier/test_874.png,"[['B'], ['I: many'], ['B'], ['A'], ['D']]","[{'a': 'the smaller part', 'b': 'many', 'c': 'few', 'd': 'all', 'e': 'most', 'f': 'almost all', 'g': 'none', 'h': 'almost none', 'i': 'some'}, {'a': 'almost all', 'b': 'almost none', 'c': 'all', 'd': 'the smaller part', 'e': 'none', 'f': 'most', 'g': 'few', 'h': 'some', 'i': 'many'}, {'a': 'almost none', 'b': 'many', 'c': 'the smaller part', 'd': 'most', 'e': 'almost all', 'f': 'few', 'g': 'none', 'h': 'some', 'i': 'all'}, {'a': 'the smaller part', 'b': 'none', 'c': 'most', 'd': 'few', 'e': 'many', 'f': 'some', 'g': 'all', 'h': 'almost all', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'most', 'c': 'none', 'd': 'few', 'e': 'some', 'f': 'many', 'g': 'all', 'h': 'almost none', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: few\nD: all\nE: most\nF: almost all\nG: none\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: all\nD: the smaller part\nE: none\nF: most\nG: few\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: the smaller part\nD: most\nE: almost all\nF: few\nG: none\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: most\nD: few\nE: many\nF: some\nG: all\nH: almost all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: none\nD: few\nE: some\nF: many\nG: all\nH: almost none\nI: almost all\nAnswer:']"
875,data/images/quantifier/test_875.png,"[['A'], ['D'], ['B'], ['G: few'], ['F']]","[{'a': 'most', 'b': 'almost all', 'c': 'all', 'd': 'some', 'e': 'few', 'f': 'almost none', 'g': 'none', 'h': 'the smaller part', 'i': 'many'}, {'a': 'few', 'b': 'almost all', 'c': 'some', 'd': 'none', 'e': 'the smaller part', 'f': 'most', 'g': 'all', 'h': 'almost none', 'i': 'many'}, {'a': 'many', 'b': 'the smaller part', 'c': 'none', 'd': 'most', 'e': 'all', 'f': 'few', 'g': 'almost all', 'h': 'some', 'i': 'almost none'}, {'a': 'many', 'b': 'the smaller part', 'c': 'almost none', 'd': 'almost all', 'e': 'all', 'f': 'none', 'g': 'few', 'h': 'most', 'i': 'some'}, {'a': 'none', 'b': 'almost all', 'c': 'all', 'd': 'most', 'e': 'the smaller part', 'f': 'some', 'g': 'almost none', 'h': 'many', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: all\nD: some\nE: few\nF: almost none\nG: none\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: some\nD: none\nE: the smaller part\nF: most\nG: all\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: none\nD: most\nE: all\nF: few\nG: almost all\nH: some\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: almost none\nD: almost all\nE: all\nF: none\nG: few\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: all\nD: most\nE: the smaller part\nF: some\nG: almost none\nH: many\nI: few\nAnswer:']"
879,data/images/quantifier/test_879.png,"[['A'], ['B'], ['D'], ['E: the smaller part'], ['D']]","[{'a': 'none', 'b': 'all', 'c': 'almost none', 'd': 'many', 'e': 'some', 'f': 'almost all', 'g': 'the smaller part', 'h': 'most', 'i': 'few'}, {'a': 'some', 'b': 'many', 'c': 'few', 'd': 'none', 'e': 'almost all', 'f': 'almost none', 'g': 'the smaller part', 'h': 'all', 'i': 'most'}, {'a': 'some', 'b': 'almost all', 'c': 'none', 'd': 'the smaller part', 'e': 'few', 'f': 'all', 'g': 'many', 'h': 'most', 'i': 'almost none'}, {'a': 'few', 'b': 'none', 'c': 'many', 'd': 'almost none', 'e': 'the smaller part', 'f': 'almost all', 'g': 'all', 'h': 'most', 'i': 'some'}, {'a': 'none', 'b': 'all', 'c': 'most', 'd': 'few', 'e': 'many', 'f': 'some', 'g': 'almost all', 'h': 'almost none', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: almost none\nD: many\nE: some\nF: almost all\nG: the smaller part\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: few\nD: none\nE: almost all\nF: almost none\nG: the smaller part\nH: all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: none\nD: the smaller part\nE: few\nF: all\nG: many\nH: most\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: many\nD: almost none\nE: the smaller part\nF: almost all\nG: all\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: most\nD: few\nE: many\nF: some\nG: almost all\nH: almost none\nI: the smaller part\nAnswer:']"
892,data/images/quantifier/test_892.png,"[['D: few'], ['B'], ['B'], ['A'], ['D']]","[{'a': 'most', 'b': 'almost all', 'c': 'none', 'd': 'few', 'e': 'almost none', 'f': 'the smaller part', 'g': 'many', 'h': 'all', 'i': 'some'}, {'a': 'most', 'b': 'some', 'c': 'many', 'd': 'all', 'e': 'almost all', 'f': 'the smaller part', 'g': 'almost none', 'h': 'few', 'i': 'none'}, {'a': 'all', 'b': 'many', 'c': 'some', 'd': 'few', 'e': 'the smaller part', 'f': 'almost none', 'g': 'almost all', 'h': 'most', 'i': 'none'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'most', 'd': 'few', 'e': 'some', 'f': 'none', 'g': 'all', 'h': 'almost none', 'i': 'many'}, {'a': 'almost none', 'b': 'almost all', 'c': 'many', 'd': 'most', 'e': 'the smaller part', 'f': 'none', 'g': 'some', 'h': 'few', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: none\nD: few\nE: almost none\nF: the smaller part\nG: many\nH: all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: many\nD: all\nE: almost all\nF: the smaller part\nG: almost none\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: some\nD: few\nE: the smaller part\nF: almost none\nG: almost all\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: most\nD: few\nE: some\nF: none\nG: all\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: many\nD: most\nE: the smaller part\nF: none\nG: some\nH: few\nI: all\nAnswer:']"
902,data/images/quantifier/test_902.png,"[['B'], ['D'], ['D'], ['D'], ['D']]","[{'a': 'many', 'b': 'the smaller part', 'c': 'almost all', 'd': 'all', 'e': 'most', 'f': 'almost none', 'g': 'some', 'h': 'none', 'i': 'few'}, {'a': 'many', 'b': 'some', 'c': 'all', 'd': 'the smaller part', 'e': 'few', 'f': 'almost all', 'g': 'almost none', 'h': 'most', 'i': 'none'}, {'a': 'some', 'b': 'all', 'c': 'none', 'd': 'almost none', 'e': 'many', 'f': 'most', 'g': 'almost all', 'h': 'few', 'i': 'the smaller part'}, {'a': 'almost all', 'b': 'few', 'c': 'almost none', 'd': 'the smaller part', 'e': 'none', 'f': 'some', 'g': 'all', 'h': 'most', 'i': 'many'}, {'a': 'the smaller part', 'b': 'all', 'c': 'most', 'd': 'some', 'e': 'almost all', 'f': 'many', 'g': 'few', 'h': 'none', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: almost all\nD: all\nE: most\nF: almost none\nG: some\nH: none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: all\nD: the smaller part\nE: few\nF: almost all\nG: almost none\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: none\nD: almost none\nE: many\nF: most\nG: almost all\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: almost none\nD: the smaller part\nE: none\nF: some\nG: all\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: most\nD: some\nE: almost all\nF: many\nG: few\nH: none\nI: almost none\nAnswer:']"
905,data/images/quantifier/test_905.png,"[['B'], ['D'], ['G: almost none'], ['B: all'], ['A: some']]","[{'a': 'all', 'b': 'the smaller part', 'c': 'almost none', 'd': 'almost all', 'e': 'some', 'f': 'many', 'g': 'none', 'h': 'most', 'i': 'few'}, {'a': 'many', 'b': 'none', 'c': 'the smaller part', 'd': 'some', 'e': 'few', 'f': 'most', 'g': 'all', 'h': 'almost none', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'many', 'd': 'none', 'e': 'most', 'f': 'few', 'g': 'almost none', 'h': 'some', 'i': 'all'}, {'a': 'few', 'b': 'all', 'c': 'almost all', 'd': 'none', 'e': 'most', 'f': 'many', 'g': 'almost none', 'h': 'the smaller part', 'i': 'some'}, {'a': 'some', 'b': 'none', 'c': 'almost all', 'd': 'many', 'e': 'all', 'f': 'almost none', 'g': 'most', 'h': 'few', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: almost none\nD: almost all\nE: some\nF: many\nG: none\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: the smaller part\nD: some\nE: few\nF: most\nG: all\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: many\nD: none\nE: most\nF: few\nG: almost none\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: almost all\nD: none\nE: most\nF: many\nG: almost none\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: almost all\nD: many\nE: all\nF: almost none\nG: most\nH: few\nI: the smaller part\nAnswer:']"
909,data/images/quantifier/test_909.png,"[['B'], ['B'], ['E'], ['B'], ['A']]","[{'a': 'none', 'b': 'almost all', 'c': 'all', 'd': 'many', 'e': 'some', 'f': 'almost none', 'g': 'few', 'h': 'the smaller part', 'i': 'most'}, {'a': 'some', 'b': 'none', 'c': 'the smaller part', 'd': 'many', 'e': 'almost none', 'f': 'all', 'g': 'few', 'h': 'most', 'i': 'almost all'}, {'a': 'many', 'b': 'the smaller part', 'c': 'some', 'd': 'most', 'e': 'almost none', 'f': 'none', 'g': 'few', 'h': 'almost all', 'i': 'all'}, {'a': 'few', 'b': 'almost all', 'c': 'most', 'd': 'all', 'e': 'some', 'f': 'almost none', 'g': 'the smaller part', 'h': 'none', 'i': 'many'}, {'a': 'many', 'b': 'few', 'c': 'some', 'd': 'almost none', 'e': 'almost all', 'f': 'the smaller part', 'g': 'none', 'h': 'most', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost all\nC: all\nD: many\nE: some\nF: almost none\nG: few\nH: the smaller part\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: the smaller part\nD: many\nE: almost none\nF: all\nG: few\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: some\nD: most\nE: almost none\nF: none\nG: few\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: most\nD: all\nE: some\nF: almost none\nG: the smaller part\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: some\nD: almost none\nE: almost all\nF: the smaller part\nG: none\nH: most\nI: all\nAnswer:']"
911,data/images/quantifier/test_911.png,"[['A'], ['A: none'], ['B'], ['D'], ['F']]","[{'a': 'most', 'b': 'some', 'c': 'all', 'd': 'almost none', 'e': 'none', 'f': 'the smaller part', 'g': 'few', 'h': 'almost all', 'i': 'many'}, {'a': 'none', 'b': 'few', 'c': 'all', 'd': 'many', 'e': 'the smaller part', 'f': 'almost none', 'g': 'some', 'h': 'almost all', 'i': 'most'}, {'a': 'many', 'b': 'few', 'c': 'none', 'd': 'all', 'e': 'some', 'f': 'almost all', 'g': 'most', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'none', 'b': 'almost none', 'c': 'many', 'd': 'the smaller part', 'e': 'all', 'f': 'most', 'g': 'almost all', 'h': 'few', 'i': 'some'}, {'a': 'the smaller part', 'b': 'some', 'c': 'almost all', 'd': 'few', 'e': 'most', 'f': 'none', 'g': 'almost none', 'h': 'many', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: all\nD: almost none\nE: none\nF: the smaller part\nG: few\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: all\nD: many\nE: the smaller part\nF: almost none\nG: some\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: none\nD: all\nE: some\nF: almost all\nG: most\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: many\nD: the smaller part\nE: all\nF: most\nG: almost all\nH: few\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: almost all\nD: few\nE: most\nF: none\nG: almost none\nH: many\nI: all\nAnswer:']"
