index,image,llava_output,shuffled_options,prompted_questions
780,data/images/quantifier/test_780.png,"[['B'], ['D'], ['D'], ['A'], ['A: some']]","[{'a': 'almost none', 'b': 'all', 'c': 'almost all', 'd': 'few', 'e': 'many', 'f': 'none', 'g': 'some', 'h': 'the smaller part', 'i': 'most'}, {'a': 'almost all', 'b': 'all', 'c': 'almost none', 'd': 'none', 'e': 'the smaller part', 'f': 'few', 'g': 'some', 'h': 'most', 'i': 'many'}, {'a': 'few', 'b': 'many', 'c': 'almost all', 'd': 'none', 'e': 'almost none', 'f': 'some', 'g': 'the smaller part', 'h': 'all', 'i': 'most'}, {'a': 'none', 'b': 'most', 'c': 'some', 'd': 'few', 'e': 'all', 'f': 'almost all', 'g': 'many', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'some', 'b': 'almost none', 'c': 'the smaller part', 'd': 'all', 'e': 'most', 'f': 'almost all', 'g': 'many', 'h': 'none', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: all\nC: almost all\nD: few\nE: many\nF: none\nG: some\nH: the smaller part\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: almost none\nD: none\nE: the smaller part\nF: few\nG: some\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: almost all\nD: none\nE: almost none\nF: some\nG: the smaller part\nH: all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: most\nC: some\nD: few\nE: all\nF: almost all\nG: many\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: the smaller part\nD: all\nE: most\nF: almost all\nG: many\nH: none\nI: few\nAnswer:']"
793,data/images/quantifier/test_793.png,"[['A'], ['A: almost none'], ['D'], ['A'], ['D']]","[{'a': 'almost all', 'b': 'most', 'c': 'almost none', 'd': 'some', 'e': 'all', 'f': 'few', 'g': 'the smaller part', 'h': 'many', 'i': 'none'}, {'a': 'almost none', 'b': 'some', 'c': 'the smaller part', 'd': 'few', 'e': 'most', 'f': 'none', 'g': 'all', 'h': 'many', 'i': 'almost all'}, {'a': 'some', 'b': 'most', 'c': 'the smaller part', 'd': 'none', 'e': 'few', 'f': 'many', 'g': 'almost none', 'h': 'almost all', 'i': 'all'}, {'a': 'all', 'b': 'almost none', 'c': 'many', 'd': 'few', 'e': 'none', 'f': 'almost all', 'g': 'the smaller part', 'h': 'most', 'i': 'some'}, {'a': 'most', 'b': 'many', 'c': 'few', 'd': 'some', 'e': 'the smaller part', 'f': 'all', 'g': 'almost none', 'h': 'almost all', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: almost none\nD: some\nE: all\nF: few\nG: the smaller part\nH: many\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: the smaller part\nD: few\nE: most\nF: none\nG: all\nH: many\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: the smaller part\nD: none\nE: few\nF: many\nG: almost none\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: many\nD: few\nE: none\nF: almost all\nG: the smaller part\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: few\nD: some\nE: the smaller part\nF: all\nG: almost none\nH: almost all\nI: none\nAnswer:']"
615,data/images/quantifier/test_615.png,"[['A'], ['I: many'], ['I'], ['D'], ['D']]","[{'a': 'all', 'b': 'some', 'c': 'almost all', 'd': 'none', 'e': 'almost none', 'f': 'the smaller part', 'g': 'few', 'h': 'most', 'i': 'many'}, {'a': 'none', 'b': 'all', 'c': 'most', 'd': 'almost all', 'e': 'some', 'f': 'the smaller part', 'g': 'few', 'h': 'almost none', 'i': 'many'}, {'a': 'almost none', 'b': 'almost all', 'c': 'none', 'd': 'most', 'e': 'few', 'f': 'the smaller part', 'g': 'all', 'h': 'some', 'i': 'many'}, {'a': 'almost none', 'b': 'all', 'c': 'few', 'd': 'almost all', 'e': 'many', 'f': 'the smaller part', 'g': 'some', 'h': 'none', 'i': 'most'}, {'a': 'some', 'b': 'the smaller part', 'c': 'most', 'd': 'almost none', 'e': 'almost all', 'f': 'few', 'g': 'all', 'h': 'many', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: almost all\nD: none\nE: almost none\nF: the smaller part\nG: few\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: most\nD: almost all\nE: some\nF: the smaller part\nG: few\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: none\nD: most\nE: few\nF: the smaller part\nG: all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: all\nC: few\nD: almost all\nE: many\nF: the smaller part\nG: some\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: most\nD: almost none\nE: almost all\nF: few\nG: all\nH: many\nI: none\nAnswer:']"
737,data/images/quantifier/test_737.png,"[['D'], ['A'], ['A'], ['B'], ['B']]","[{'a': 'some', 'b': 'almost all', 'c': 'most', 'd': 'many', 'e': 'almost none', 'f': 'few', 'g': 'all', 'h': 'none', 'i': 'the smaller part'}, {'a': 'the smaller part', 'b': 'almost none', 'c': 'some', 'd': 'all', 'e': 'almost all', 'f': 'none', 'g': 'many', 'h': 'most', 'i': 'few'}, {'a': 'almost all', 'b': 'all', 'c': 'the smaller part', 'd': 'almost none', 'e': 'most', 'f': 'none', 'g': 'few', 'h': 'some', 'i': 'many'}, {'a': 'few', 'b': 'some', 'c': 'most', 'd': 'none', 'e': 'many', 'f': 'almost all', 'g': 'almost none', 'h': 'the smaller part', 'i': 'all'}, {'a': 'many', 'b': 'few', 'c': 'almost all', 'd': 'some', 'e': 'none', 'f': 'almost none', 'g': 'the smaller part', 'h': 'all', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: most\nD: many\nE: almost none\nF: few\nG: all\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost none\nC: some\nD: all\nE: almost all\nF: none\nG: many\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: the smaller part\nD: almost none\nE: most\nF: none\nG: few\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: most\nD: none\nE: many\nF: almost all\nG: almost none\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: almost all\nD: some\nE: none\nF: almost none\nG: the smaller part\nH: all\nI: most\nAnswer:']"
758,data/images/quantifier/test_758.png,"[['A'], ['B: none'], ['B: none'], ['D'], ['C']]","[{'a': 'almost all', 'b': 'few', 'c': 'almost none', 'd': 'all', 'e': 'most', 'f': 'many', 'g': 'the smaller part', 'h': 'some', 'i': 'none'}, {'a': 'many', 'b': 'none', 'c': 'all', 'd': 'few', 'e': 'most', 'f': 'almost none', 'g': 'some', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'few', 'b': 'none', 'c': 'most', 'd': 'the smaller part', 'e': 'many', 'f': 'some', 'g': 'almost all', 'h': 'almost none', 'i': 'all'}, {'a': 'the smaller part', 'b': 'all', 'c': 'few', 'd': 'many', 'e': 'none', 'f': 'almost all', 'g': 'almost none', 'h': 'some', 'i': 'most'}, {'a': 'most', 'b': 'all', 'c': 'almost all', 'd': 'few', 'e': 'the smaller part', 'f': 'many', 'g': 'almost none', 'h': 'some', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: almost none\nD: all\nE: most\nF: many\nG: the smaller part\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: all\nD: few\nE: most\nF: almost none\nG: some\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: most\nD: the smaller part\nE: many\nF: some\nG: almost all\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: few\nD: many\nE: none\nF: almost all\nG: almost none\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: all\nC: almost all\nD: few\nE: the smaller part\nF: many\nG: almost none\nH: some\nI: none\nAnswer:']"
474,data/images/quantifier/test_474.png,"[['D'], ['D'], ['B'], ['D'], ['B']]","[{'a': 'none', 'b': 'many', 'c': 'most', 'd': 'the smaller part', 'e': 'almost all', 'f': 'some', 'g': 'all', 'h': 'almost none', 'i': 'few'}, {'a': 'some', 'b': 'many', 'c': 'most', 'd': 'almost all', 'e': 'all', 'f': 'almost none', 'g': 'the smaller part', 'h': 'none', 'i': 'few'}, {'a': 'many', 'b': 'few', 'c': 'most', 'd': 'all', 'e': 'the smaller part', 'f': 'none', 'g': 'almost none', 'h': 'almost all', 'i': 'some'}, {'a': 'most', 'b': 'some', 'c': 'all', 'd': 'almost none', 'e': 'none', 'f': 'the smaller part', 'g': 'many', 'h': 'few', 'i': 'almost all'}, {'a': 'almost none', 'b': 'none', 'c': 'almost all', 'd': 'many', 'e': 'all', 'f': 'most', 'g': 'some', 'h': 'few', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: most\nD: the smaller part\nE: almost all\nF: some\nG: all\nH: almost none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: most\nD: almost all\nE: all\nF: almost none\nG: the smaller part\nH: none\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: most\nD: all\nE: the smaller part\nF: none\nG: almost none\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: some\nC: all\nD: almost none\nE: none\nF: the smaller part\nG: many\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: almost all\nD: many\nE: all\nF: most\nG: some\nH: few\nI: the smaller part\nAnswer:']"
558,data/images/quantifier/test_558.png,"[['B'], ['D'], ['D'], ['B'], ['D']]","[{'a': 'many', 'b': 'almost none', 'c': 'some', 'd': 'all', 'e': 'most', 'f': 'none', 'g': 'the smaller part', 'h': 'few', 'i': 'almost all'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'many', 'd': 'few', 'e': 'none', 'f': 'almost none', 'g': 'most', 'h': 'some', 'i': 'all'}, {'a': 'many', 'b': 'the smaller part', 'c': 'most', 'd': 'some', 'e': 'few', 'f': 'almost none', 'g': 'almost all', 'h': 'none', 'i': 'all'}, {'a': 'few', 'b': 'almost all', 'c': 'none', 'd': 'many', 'e': 'some', 'f': 'almost none', 'g': 'most', 'h': 'the smaller part', 'i': 'all'}, {'a': 'the smaller part', 'b': 'few', 'c': 'many', 'd': 'almost all', 'e': 'all', 'f': 'none', 'g': 'some', 'h': 'almost none', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost none\nC: some\nD: all\nE: most\nF: none\nG: the smaller part\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: many\nD: few\nE: none\nF: almost none\nG: most\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: most\nD: some\nE: few\nF: almost none\nG: almost all\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: none\nD: many\nE: some\nF: almost none\nG: most\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: many\nD: almost all\nE: all\nF: none\nG: some\nH: almost none\nI: most\nAnswer:']"
512,data/images/quantifier/test_512.png,"[['A'], ['A'], ['B'], ['A'], ['B']]","[{'a': 'all', 'b': 'almost none', 'c': 'few', 'd': 'some', 'e': 'none', 'f': 'most', 'g': 'the smaller part', 'h': 'almost all', 'i': 'many'}, {'a': 'some', 'b': 'most', 'c': 'almost none', 'd': 'the smaller part', 'e': 'few', 'f': 'all', 'g': 'almost all', 'h': 'none', 'i': 'many'}, {'a': 'some', 'b': 'almost none', 'c': 'many', 'd': 'almost all', 'e': 'most', 'f': 'none', 'g': 'all', 'h': 'few', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'many', 'c': 'none', 'd': 'all', 'e': 'some', 'f': 'almost all', 'g': 'most', 'h': 'few', 'i': 'the smaller part'}, {'a': 'most', 'b': 'the smaller part', 'c': 'some', 'd': 'many', 'e': 'few', 'f': 'all', 'g': 'none', 'h': 'almost all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: few\nD: some\nE: none\nF: most\nG: the smaller part\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: almost none\nD: the smaller part\nE: few\nF: all\nG: almost all\nH: none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: many\nD: almost all\nE: most\nF: none\nG: all\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: none\nD: all\nE: some\nF: almost all\nG: most\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: some\nD: many\nE: few\nF: all\nG: none\nH: almost all\nI: almost none\nAnswer:']"
487,data/images/quantifier/test_487.png,"[['A'], ['I'], ['A: some'], ['A'], ['B: none']]","[{'a': 'none', 'b': 'few', 'c': 'the smaller part', 'd': 'most', 'e': 'some', 'f': 'almost none', 'g': 'many', 'h': 'almost all', 'i': 'all'}, {'a': 'almost none', 'b': 'many', 'c': 'the smaller part', 'd': 'all', 'e': 'none', 'f': 'almost all', 'g': 'few', 'h': 'most', 'i': 'some'}, {'a': 'some', 'b': 'none', 'c': 'almost all', 'd': 'all', 'e': 'the smaller part', 'f': 'few', 'g': 'most', 'h': 'many', 'i': 'almost none'}, {'a': 'most', 'b': 'almost all', 'c': 'some', 'd': 'all', 'e': 'many', 'f': 'none', 'g': 'few', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'all', 'b': 'none', 'c': 'almost none', 'd': 'almost all', 'e': 'many', 'f': 'the smaller part', 'g': 'most', 'h': 'few', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: the smaller part\nD: most\nE: some\nF: almost none\nG: many\nH: almost all\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: the smaller part\nD: all\nE: none\nF: almost all\nG: few\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: almost all\nD: all\nE: the smaller part\nF: few\nG: most\nH: many\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: some\nD: all\nE: many\nF: none\nG: few\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: almost none\nD: almost all\nE: many\nF: the smaller part\nG: most\nH: few\nI: some\nAnswer:']"
507,data/images/quantifier/test_507.png,"[['B: almost none'], ['B'], ['B'], ['B'], ['B']]","[{'a': 'almost all', 'b': 'almost none', 'c': 'all', 'd': 'none', 'e': 'the smaller part', 'f': 'many', 'g': 'few', 'h': 'some', 'i': 'most'}, {'a': 'almost none', 'b': 'some', 'c': 'almost all', 'd': 'few', 'e': 'most', 'f': 'many', 'g': 'none', 'h': 'the smaller part', 'i': 'all'}, {'a': 'many', 'b': 'few', 'c': 'the smaller part', 'd': 'most', 'e': 'none', 'f': 'all', 'g': 'almost all', 'h': 'almost none', 'i': 'some'}, {'a': 'many', 'b': 'few', 'c': 'almost all', 'd': 'the smaller part', 'e': 'most', 'f': 'some', 'g': 'all', 'h': 'none', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'all', 'c': 'few', 'd': 'many', 'e': 'some', 'f': 'most', 'g': 'almost all', 'h': 'none', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: all\nD: none\nE: the smaller part\nF: many\nG: few\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: almost all\nD: few\nE: most\nF: many\nG: none\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: the smaller part\nD: most\nE: none\nF: all\nG: almost all\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: almost all\nD: the smaller part\nE: most\nF: some\nG: all\nH: none\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: few\nD: many\nE: some\nF: most\nG: almost all\nH: none\nI: almost none\nAnswer:']"
492,data/images/quantifier/test_492.png,"[['B'], ['I: many'], ['D'], ['D'], ['D']]","[{'a': 'few', 'b': 'almost all', 'c': 'none', 'd': 'the smaller part', 'e': 'almost none', 'f': 'most', 'g': 'all', 'h': 'some', 'i': 'many'}, {'a': 'almost all', 'b': 'few', 'c': 'most', 'd': 'the smaller part', 'e': 'none', 'f': 'some', 'g': 'all', 'h': 'almost none', 'i': 'many'}, {'a': 'most', 'b': 'the smaller part', 'c': 'few', 'd': 'some', 'e': 'none', 'f': 'almost none', 'g': 'all', 'h': 'almost all', 'i': 'many'}, {'a': 'none', 'b': 'all', 'c': 'almost none', 'd': 'some', 'e': 'almost all', 'f': 'the smaller part', 'g': 'few', 'h': 'many', 'i': 'most'}, {'a': 'most', 'b': 'the smaller part', 'c': 'almost none', 'd': 'many', 'e': 'none', 'f': 'some', 'g': 'all', 'h': 'few', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: none\nD: the smaller part\nE: almost none\nF: most\nG: all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: most\nD: the smaller part\nE: none\nF: some\nG: all\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: few\nD: some\nE: none\nF: almost none\nG: all\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: almost none\nD: some\nE: almost all\nF: the smaller part\nG: few\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: almost none\nD: many\nE: none\nF: some\nG: all\nH: few\nI: almost all\nAnswer:']"
212,data/images/quantifier/test_212.png,"[['D'], ['B'], ['D'], ['D'], ['D']]","[{'a': 'most', 'b': 'many', 'c': 'some', 'd': 'the smaller part', 'e': 'few', 'f': 'none', 'g': 'almost all', 'h': 'almost none', 'i': 'all'}, {'a': 'none', 'b': 'almost none', 'c': 'most', 'd': 'all', 'e': 'few', 'f': 'many', 'g': 'some', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'some', 'b': 'all', 'c': 'few', 'd': 'almost none', 'e': 'the smaller part', 'f': 'most', 'g': 'almost all', 'h': 'many', 'i': 'none'}, {'a': 'almost all', 'b': 'almost none', 'c': 'all', 'd': 'some', 'e': 'none', 'f': 'the smaller part', 'g': 'most', 'h': 'few', 'i': 'many'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'almost none', 'd': 'none', 'e': 'few', 'f': 'many', 'g': 'all', 'h': 'some', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: some\nD: the smaller part\nE: few\nF: none\nG: almost all\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: most\nD: all\nE: few\nF: many\nG: some\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: few\nD: almost none\nE: the smaller part\nF: most\nG: almost all\nH: many\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: almost none\nC: all\nD: some\nE: none\nF: the smaller part\nG: most\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: almost none\nD: none\nE: few\nF: many\nG: all\nH: some\nI: most\nAnswer:']"
260,data/images/quantifier/test_260.png,"[['A'], ['G'], ['B'], ['D'], ['B']]","[{'a': 'the smaller part', 'b': 'almost all', 'c': 'most', 'd': 'none', 'e': 'many', 'f': 'some', 'g': 'almost none', 'h': 'all', 'i': 'few'}, {'a': 'most', 'b': 'none', 'c': 'almost all', 'd': 'the smaller part', 'e': 'all', 'f': 'few', 'g': 'some', 'h': 'almost none', 'i': 'many'}, {'a': 'many', 'b': 'none', 'c': 'some', 'd': 'all', 'e': 'few', 'f': 'almost none', 'g': 'almost all', 'h': 'most', 'i': 'the smaller part'}, {'a': 'almost all', 'b': 'many', 'c': 'none', 'd': 'the smaller part', 'e': 'few', 'f': 'almost none', 'g': 'all', 'h': 'most', 'i': 'some'}, {'a': 'almost all', 'b': 'some', 'c': 'few', 'd': 'many', 'e': 'none', 'f': 'almost none', 'g': 'all', 'h': 'the smaller part', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: most\nD: none\nE: many\nF: some\nG: almost none\nH: all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: almost all\nD: the smaller part\nE: all\nF: few\nG: some\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: some\nD: all\nE: few\nF: almost none\nG: almost all\nH: most\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: none\nD: the smaller part\nE: few\nF: almost none\nG: all\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: few\nD: many\nE: none\nF: almost none\nG: all\nH: the smaller part\nI: most\nAnswer:']"
326,data/images/quantifier/test_326.png,"[['D'], ['B: none'], ['D'], ['I: few'], ['A']]","[{'a': 'almost all', 'b': 'some', 'c': 'most', 'd': 'few', 'e': 'many', 'f': 'almost none', 'g': 'all', 'h': 'the smaller part', 'i': 'none'}, {'a': 'few', 'b': 'none', 'c': 'many', 'd': 'almost all', 'e': 'almost none', 'f': 'the smaller part', 'g': 'most', 'h': 'some', 'i': 'all'}, {'a': 'few', 'b': 'the smaller part', 'c': 'most', 'd': 'some', 'e': 'none', 'f': 'many', 'g': 'all', 'h': 'almost none', 'i': 'almost all'}, {'a': 'none', 'b': 'many', 'c': 'almost none', 'd': 'the smaller part', 'e': 'all', 'f': 'most', 'g': 'almost all', 'h': 'some', 'i': 'few'}, {'a': 'few', 'b': 'some', 'c': 'all', 'd': 'almost none', 'e': 'none', 'f': 'most', 'g': 'the smaller part', 'h': 'almost all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: most\nD: few\nE: many\nF: almost none\nG: all\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: many\nD: almost all\nE: almost none\nF: the smaller part\nG: most\nH: some\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: most\nD: some\nE: none\nF: many\nG: all\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: almost none\nD: the smaller part\nE: all\nF: most\nG: almost all\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: all\nD: almost none\nE: none\nF: most\nG: the smaller part\nH: almost all\nI: many\nAnswer:']"
384,data/images/quantifier/test_384.png,"[['B'], ['D'], ['B'], ['F'], ['A']]","[{'a': 'some', 'b': 'none', 'c': 'most', 'd': 'many', 'e': 'all', 'f': 'few', 'g': 'almost none', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'most', 'b': 'many', 'c': 'the smaller part', 'd': 'few', 'e': 'all', 'f': 'almost none', 'g': 'some', 'h': 'none', 'i': 'almost all'}, {'a': 'many', 'b': 'some', 'c': 'few', 'd': 'all', 'e': 'almost all', 'f': 'almost none', 'g': 'none', 'h': 'the smaller part', 'i': 'most'}, {'a': 'all', 'b': 'many', 'c': 'almost all', 'd': 'most', 'e': 'few', 'f': 'some', 'g': 'almost none', 'h': 'none', 'i': 'the smaller part'}, {'a': 'most', 'b': 'all', 'c': 'the smaller part', 'd': 'few', 'e': 'almost none', 'f': 'none', 'g': 'many', 'h': 'some', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: most\nD: many\nE: all\nF: few\nG: almost none\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: the smaller part\nD: few\nE: all\nF: almost none\nG: some\nH: none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: few\nD: all\nE: almost all\nF: almost none\nG: none\nH: the smaller part\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: almost all\nD: most\nE: few\nF: some\nG: almost none\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: all\nC: the smaller part\nD: few\nE: almost none\nF: none\nG: many\nH: some\nI: almost all\nAnswer:']"
