index,image_file,llava_filtered_output
63,data/images/quantifier/test_63.png,"['many', 'few', 'few', 'almost none', 'all', 'some', 'few', 'almost all', 'almost none', 'all', 'the smaller part', 'many', 'many', 'some', 'some', 'few', 'many', 'the smaller part', 'some', 'almost none', 'most', 'many', 'almost none', 'many', 'some', 'many', 'all', 'some', 'few', 'some', 'many', 'almost all', 'some', 'many', 'the smaller part', 'few', 'few', 'few', 'many', 'few']"
66,data/images/quantifier/test_66.png,"['most', 'almost all', 'almost all', 'almost all', 'some', 'almost all', 'few', 'some', 'few', 'many', 'none', 'all', 'few', 'the smaller part', 'all', 'some', 'almost none', 'all', 'many', 'almost all', 'many', 'all', 'almost all', 'almost none', 'none', 'many', 'almost none', 'few', 'most', 'few', 'almost all', 'the smaller part', 'many', 'many', 'almost none', 'some', 'some', 'almost all', 'almost all', 'many']"
69,data/images/quantifier/test_69.png,"['all', 'some', 'most', 'some', 'almost all', 'all', 'all', 'some', 'some', 'some', 'none', 'almost all', 'the smaller part', 'none', 'some', 'some', 'some', 'some', 'many', 'none', 'most', 'none', 'almost none', 'most', 'few', 'all', 'none', 'almost none', 'none', 'some', 'most', 'some', 'most', 'some', 'some', 'few', 'many', 'all', 'many', 'few']"
76,data/images/quantifier/test_76.png,"['some', 'many', 'none', 'few', 'most', 'few', 'almost all', 'all', 'many', 'none', 'most', 'almost all', 'all', 'few', 'all', 'all', 'most', 'almost all', 'most', 'none', 'most', 'the smaller part', 'none', 'some', 'the smaller part', 'some', 'some', 'some', 'many', 'most', 'all', 'some', 'some', 'almost all', 'all', 'almost all', 'most', 'some', 'none', 'the smaller part']"
84,data/images/quantifier/test_84.png,"['some', 'all', 'some', 'all', 'almost all', 'some', 'none', 'all', 'none', 'some', 'many', 'all', 'all', 'the smaller part', 'none', 'few', 'few', 'few', 'some', 'some', 'few', 'some', 'few', 'the smaller part', 'some', 'all', 'most', 'few', 'almost none', 'some', 'almost none', 'some', 'some', 'almost all', 'many', 'some', 'almost all', 'some', 'some', 'almost all']"
86,data/images/quantifier/test_86.png,"['almost all', 'many', 'many', 'all', 'few', 'almost none', 'many', 'all', 'many', 'none', 'many', 'none', 'none', 'many', 'some', 'almost all', 'all', 'almost none', 'few', 'most', 'many', 'some', 'most', 'many', 'few', 'some', 'almost none', 'many', 'some', 'all', 'almost all', 'few', 'few', 'few', 'almost none', 'few', 'some', 'almost none', 'some', 'almost all']"
93,data/images/quantifier/test_93.png,"['all', 'all', 'some', 'all', 'most', 'some', 'all', 'many', 'some', 'most', 'most', 'some', 'some', 'some', 'few', 'some', 'few', 'many', 'almost none', 'few', 'almost all', 'some', 'all', 'few', 'many', 'some', 'some', 'some', 'many', 'almost all', 'the smaller part', 'most', 'the smaller part', 'few', 'some', 'most', 'the smaller part', 'many', 'all', 'some']"
95,data/images/quantifier/test_95.png,"['some', 'many', 'some', 'none', 'most', 'many', 'few', 'almost all', 'some', 'almost none', 'many', 'some', 'few', 'most', 'some', 'almost none', 'most', 'some', 'all', 'almost all', 'none', 'almost all', 'all', 'most', 'few', 'many', 'almost none', 'many', 'all', 'none', 'most', 'almost all', 'some', 'none', 'most', 'the smaller part', 'none', 'few', 'all', 'the smaller part']"
111,data/images/quantifier/test_111.png,"['many', 'some', 'few', 'many', 'most', 'few', 'almost all', 'some', 'few', 'the smaller part', 'most', 'some', 'few', 'all', 'some', 'the smaller part', 'many', 'all', 'some', 'none', 'many', 'many', 'some', 'all', 'almost all', 'many', 'some', 'some', 'none', 'most', 'few', 'many', 'the smaller part', 'many', 'many', 'almost all', 'none', 'many', 'many', 'few']"
112,data/images/quantifier/test_112.png,"['many', 'some', 'almost all', 'some', 'many', 'many', 'some', 'all', 'almost none', 'some', 'some', 'almost none', 'all', 'many', 'some', 'some', 'almost none', 'none', 'none', 'many', 'some', 'some', 'many', 'none', 'some', 'some', 'some', 'almost none', 'some', 'some', 'many', 'some', 'some', 'all', 'none', 'almost none', 'almost none', 'some', 'some', 'some']"
114,data/images/quantifier/test_114.png,"['none', 'some', 'some', 'all', 'some', 'none', 'almost none', 'none', 'none', 'some', 'almost all', 'some', 'few', 'some', 'few', 'all', 'some', 'some', 'many', 'the smaller part', 'almost all', 'none', 'most', 'some', 'some', 'many', 'many', 'all', 'many', 'few', 'almost all', 'some', 'some', 'none', 'many', 'almost all', 'many', 'all', 'few', 'some']"
115,data/images/quantifier/test_115.png,"['almost none', 'most', 'many', 'almost all', 'none', 'some', 'few', 'few', 'few', 'most', 'some', 'some', 'the smaller part', 'few', 'almost none', 'few', 'almost all', 'all', 'almost none', 'many', 'few', 'some', 'all', 'some', 'some', 'all', 'many', 'some', 'all', 'all', 'some', 'many', 'almost all', 'few', 'all', 'few', 'some', 'many', 'few', 'few']"
116,data/images/quantifier/test_116.png,"['few', 'none', 'none', 'almost all', 'all', 'all', 'most', 'many', 'some', 'some', 'almost none', 'all', 'all', 'none', 'almost none', 'some', 'none', 'some', 'many', 'almost none', 'none', 'some', 'almost all', 'few', 'almost all', 'many', 'almost all', 'some', 'all', 'few', 'almost none', 'none', 'most', 'some', 'almost none', 'none', 'few', 'few', 'many', 'all']"
117,data/images/quantifier/test_117.png,"['some', 'none', 'most', 'some', 'none', 'some', 'none', 'most', 'many', 'few', 'many', 'many', 'the smaller part', 'some', 'none', 'almost none', 'some', 'many', 'some', 'most', 'some', 'almost none', 'many', 'none', 'almost none', 'almost all', 'some', 'many', 'many', 'many', 'almost all', 'all', 'most', 'most', 'all', 'some', 'some', 'few', 'many', 'the smaller part']"
119,data/images/quantifier/test_119.png,"['none', 'many', 'most', 'all', 'all', 'some', 'few', 'all', 'some', 'many', 'few', 'many', 'some', 'almost all', 'many', 'most', 'many', 'some', 'few', 'some', 'few', 'most', 'few', 'few', 'many', 'few', 'many', 'all', 'some', 'all', 'some', 'many', 'almost all', 'some', 'many', 'some', 'some', 'few', 'many', 'the smaller part']"
121,data/images/quantifier/test_121.png,"['few', 'many', 'almost all', 'most', 'some', 'many', 'few', 'almost all', 'almost none', 'some', 'all', 'some', 'few', 'many', 'many', 'most', 'none', 'some', 'some', 'many', 'all', 'some', 'all', 'some', 'few', 'many', 'few', 'many', 'almost none', 'almost none', 'some', 'almost all', 'some', 'many', 'almost none', 'many', 'many', 'some', 'all', 'many']"
122,data/images/quantifier/test_122.png,"['many', 'some', 'few', 'almost all', 'almost all', 'few', 'all', 'the smaller part', 'almost none', 'few', 'none', 'most', 'many', 'almost all', 'almost all', 'many', 'all', 'many', 'all', 'none', 'some', 'some', 'the smaller part', 'all', 'almost all', 'all', 'some', 'some', 'some', 'most', 'most', 'almost all', 'many', 'some', 'some', 'some', 'many', 'many', 'none', 'few']"
128,data/images/quantifier/test_128.png,"['some', 'almost none', 'most', 'some', 'the smaller part', 'almost all', 'most', 'all', 'almost all', 'all', 'none', 'none', 'almost none', 'few', 'many', 'none', 'the smaller part', 'many', 'none', 'the smaller part', 'all', 'many', 'almost all', 'few', 'many', 'almost none', 'few', 'many', 'none', 'some', 'almost all', 'none', 'none', 'none', 'the smaller part', 'none', 'some', 'all', 'none', 'none']"
132,data/images/quantifier/test_132.png,"['some', 'many', 'all', 'some', 'some', 'few', 'the smaller part', 'some', 'all', 'most', 'few', 'many', 'all', 'all', 'few', 'few', 'almost none', 'some', 'almost none', 'all', 'all', 'almost all', 'most', 'some', 'none', 'most', 'many', 'many', 'many', 'the smaller part', 'all', 'most', 'all', 'few', 'all', 'almost all', 'none', 'many', 'the smaller part', 'few']"
134,data/images/quantifier/test_134.png,"['almost none', 'almost none', 'few', 'some', 'some', 'some', 'some', 'almost all', 'many', 'the smaller part', 'almost all', 'some', 'many', 'some', 'many', 'most', 'all', 'most', 'some', 'few', 'few', 'the smaller part', 'most', 'some', 'many', 'few', 'the smaller part', 'the smaller part', 'almost all', 'some', 'some', 'none', 'some', 'none', 'all', 'some', 'all', 'most', 'many', 'many']"
137,data/images/quantifier/test_137.png,"['some', 'almost all', 'few', 'many', 'few', 'some', 'some', 'few', 'all', 'some', 'many', 'few', 'some', 'some', 'almost none', 'many', 'some', 'few', 'some', 'many', 'all', 'many', 'most', 'all', 'some', 'almost all', 'some', 'most', 'most', 'few', 'many', 'almost none', 'none', 'the smaller part', 'almost none', 'few', 'some', 'the smaller part', 'some', 'few']"
143,data/images/quantifier/test_143.png,"['almost all', 'many', 'almost all', 'most', 'many', 'few', 'many', 'many', 'none', 'the smaller part', 'few', 'some', 'none', 'some', 'many', 'some', 'none', 'some', 'few', 'many', 'few', 'the smaller part', 'most', 'all', 'almost all', 'some', 'the smaller part', 'few', 'the smaller part', 'none', 'some', 'some', 'all', 'the smaller part', 'almost all', 'some', 'some', 'many', 'most', 'few']"
146,data/images/quantifier/test_146.png,"['some', 'all', 'few', 'many', 'some', 'none', 'none', 'some', 'few', 'some', 'few', 'some', 'the smaller part', 'almost none', 'all', 'some', 'almost none', 'some', 'many', 'some', 'most', 'none', 'all', 'some', 'none', 'none', 'most', 'almost none', 'almost all', 'some', 'all', 'almost none', 'most', 'many', 'the smaller part', 'many', 'none', 'almost all', 'most', 'most']"
148,data/images/quantifier/test_148.png,"['all', 'the smaller part', 'none', 'most', 'almost all', 'some', 'almost all', 'all', 'some', 'almost none', 'many', 'almost none', 'some', 'few', 'the smaller part', 'many', 'many', 'many', 'few', 'almost none', 'many', 'some', 'some', 'the smaller part', 'some', 'some', 'most', 'some', 'most', 'almost all', 'none', 'some', 'many', 'most', 'some', 'all', 'the smaller part', 'few', 'all', 'most']"
153,data/images/quantifier/test_153.png,"['all', 'almost all', 'almost all', 'all', 'few', 'the smaller part', 'all', 'some', 'all', 'many', 'some', 'few', 'some', 'almost all', 'some', 'all', 'many', 'many', 'few', 'all', 'all', 'some', 'many', 'most', 'many', 'some', 'none', 'all', 'none', 'some', 'none', 'some', 'some', 'none', 'many', 'some', 'all', 'some', 'some', 'some']"
155,data/images/quantifier/test_155.png,"['the smaller part', 'few', 'none', 'some', 'few', 'none', 'few', 'most', 'some', 'many', 'most', 'some', 'many', 'many', 'some', 'few', 'almost all', 'few', 'almost none', 'few', 'few', 'almost none', 'some', 'almost all', 'all', 'many', 'almost all', 'almost none', 'none', 'all', 'few', 'some', 'most', 'all', 'almost none', 'many', 'few', 'some', 'some', 'almost all']"
166,data/images/quantifier/test_166.png,"['some', 'few', 'all', 'all', 'none', 'almost none', 'almost all', 'many', 'none', 'few', 'most', 'few', 'none', 'few', 'some', 'all', 'few', 'most', 'many', 'the smaller part', 'all', 'many', 'most', 'all', 'few', 'few', 'few', 'some', 'many', 'the smaller part', 'few', 'almost none', 'some', 'few', 'some', 'few', 'almost none', 'all', 'some', 'almost all']"
170,data/images/quantifier/test_170.png,"['all', 'many', 'many', 'none', 'some', 'few', 'most', 'many', 'some', 'many', 'most', 'some', 'almost none', 'some', 'some', 'almost none', 'all', 'many', 'many', 'few', 'some', 'the smaller part', 'all', 'almost all', 'some', 'many', 'almost all', 'some', 'almost none', 'almost none', 'almost none', 'none', 'some', 'none', 'many', 'few', 'the smaller part', 'almost none', 'all', 'some']"
174,data/images/quantifier/test_174.png,"['most', 'almost all', 'most', 'the smaller part', 'all', 'few', 'few', 'the smaller part', 'almost none', 'some', 'none', 'almost all', 'all', 'almost none', 'some', 'few', 'most', 'all', 'many', 'most', 'none', 'few', 'some', 'many', 'few', 'some', 'some', 'almost all', 'few', 'the smaller part', 'many', 'all', 'almost all', 'few', 'almost none', 'few', 'all', 'all', 'some', 'almost all']"
176,data/images/quantifier/test_176.png,"['almost all', 'few', 'some', 'almost none', 'many', 'almost none', 'almost none', 'few', 'all', 'none', 'all', 'some', 'some', 'almost none', 'most', 'few', 'some', 'none', 'some', 'all', 'almost all', 'many', 'some', 'many', 'few', 'all', 'few', 'the smaller part', 'few', 'some', 'some', 'the smaller part', 'none', 'some', 'all', 'some', 'all', 'some', 'few', 'many']"
178,data/images/quantifier/test_178.png,"['some', 'few', 'almost all', 'many', 'many', 'some', 'many', 'almost all', 'many', 'few', 'most', 'almost none', 'few', 'many', 'most', 'few', 'most', 'few', 'almost none', 'almost none', 'some', 'some', 'the smaller part', 'some', 'the smaller part', 'the smaller part', 'almost all', 'many', 'some', 'few', 'some', 'many', 'the smaller part', 'almost all', 'all', 'some', 'almost all', 'some', 'few', 'some']"
180,data/images/quantifier/test_180.png,"['none', 'many', 'almost all', 'many', 'some', 'none', 'all', 'the smaller part', 'almost all', 'few', 'many', 'most', 'all', 'many', 'none', 'few', 'none', 'all', 'some', 'some', 'almost all', 'almost none', 'some', 'almost all', 'some', 'some', 'few', 'all', 'some', 'few', 'few', 'almost none', 'some', 'many', 'none', 'almost all', 'all', 'none', 'many', 'many']"
182,data/images/quantifier/test_182.png,"['many', 'almost none', 'none', 'all', 'the smaller part', 'some', 'some', 'few', 'many', 'many', 'few', 'some', 'some', 'some', 'many', 'some', 'few', 'some', 'few', 'many', 'many', 'none', 'none', 'the smaller part', 'most', 'many', 'almost all', 'some', 'all', 'some', 'almost none', 'the smaller part', 'none', 'all', 'few', 'the smaller part', 'some', 'almost all', 'most', 'most']"
195,data/images/quantifier/test_195.png,"['all', 'some', 'some', 'almost all', 'some', 'some', 'some', 'most', 'some', 'the smaller part', 'some', 'some', 'all', 'none', 'almost all', 'none', 'many', 'all', 'many', 'all', 'some', 'some', 'the smaller part', 'few', 'none', 'some', 'few', 'few', 'some', 'some', 'the smaller part', 'most', 'few', 'some', 'all', 'almost none', 'many', 'all', 'most', 'many']"
196,data/images/quantifier/test_196.png,"['some', 'many', 'many', 'few', 'many', 'some', 'few', 'some', 'many', 'all', 'many', 'almost all', 'few', 'some', 'few', 'the smaller part', 'none', 'many', 'almost none', 'most', 'some', 'some', 'almost all', 'few', 'some', 'almost none', 'many', 'few', 'many', 'most', 'many', 'almost all', 'some', 'some', 'none', 'many', 'some', 'some', 'some', 'almost none']"
203,data/images/quantifier/test_203.png,"['the smaller part', 'some', 'the smaller part', 'the smaller part', 'some', 'few', 'some', 'almost none', 'almost all', 'almost none', 'almost all', 'some', 'all', 'few', 'many', 'many', 'some', 'the smaller part', 'some', 'almost none', 'all', 'all', 'none', 'few', 'none', 'almost none', 'almost all', 'many', 'some', 'some', 'the smaller part', 'many', 'few', 'almost all', 'some', 'many', 'all', 'none', 'some', 'all']"
205,data/images/quantifier/test_205.png,"['almost all', 'few', 'some', 'some', 'few', 'some', 'almost none', 'some', 'almost all', 'all', 'the smaller part', 'some', 'few', 'many', 'many', 'few', 'some', 'some', 'many', 'none', 'few', 'few', 'almost all', 'many', 'all', 'the smaller part', 'many', 'some', 'almost all', 'almost all', 'most', 'some', 'all', 'most', 'few', 'some', 'many', 'many', 'many', 'many']"
207,data/images/quantifier/test_207.png,"['all', 'many', 'all', 'the smaller part', 'few', 'many', 'some', 'almost none', 'all', 'some', 'almost none', 'most', 'many', 'few', 'many', 'some', 'some', 'few', 'all', 'few', 'the smaller part', 'some', 'few', 'none', 'few', 'some', 'some', 'almost none', 'many', 'some', 'all', 'none', 'some', 'few', 'most', 'some', 'almost all', 'none', 'few', 'almost all']"
211,data/images/quantifier/test_211.png,"['the smaller part', 'some', 'all', 'almost all', 'many', 'many', 'some', 'some', 'few', 'few', 'some', 'none', 'some', 'most', 'few', 'most', 'some', 'some', 'almost all', 'some', 'none', 'none', 'few', 'almost all', 'many', 'most', 'the smaller part', 'none', 'all', 'many', 'many', 'few', 'some', 'many', 'most', 'the smaller part', 'almost all', 'the smaller part', 'almost none', 'some']"
212,data/images/quantifier/test_212.png,"['almost none', 'all', 'some', 'none', 'almost all', 'few', 'few', 'many', 'some', 'few', 'almost all', 'many', 'few', 'some', 'many', 'few', 'many', 'none', 'all', 'almost all', 'many', 'almost none', 'all', 'almost none', 'the smaller part', 'many', 'few', 'almost none', 'all', 'some', 'some', 'almost none', 'none', 'most', 'some', 'some', 'none', 'some', 'many', 'most']"
215,data/images/quantifier/test_215.png,"['most', 'some', 'many', 'all', 'few', 'few', 'few', 'many', 'many', 'few', 'few', 'almost none', 'all', 'almost all', 'almost none', 'some', 'some', 'all', 'almost all', 'the smaller part', 'many', 'the smaller part', 'some', 'some', 'almost none', 'all', 'few', 'few', 'many', 'some', 'many', 'many', 'almost none', 'some', 'some', 'almost none', 'few', 'many', 'almost all', 'most']"
219,data/images/quantifier/test_219.png,"['all', 'all', 'almost all', 'all', 'none', 'few', 'some', 'some', 'almost all', 'some', 'all', 'few', 'most', 'many', 'many', 'few', 'some', 'few', 'the smaller part', 'few', 'few', 'some', 'few', 'few', 'most', 'many', 'the smaller part', 'few', 'almost none', 'some', 'most', 'some', 'few', 'almost all', 'almost none', 'few', 'many', 'some', 'some', 'none']"
223,data/images/quantifier/test_223.png,"['almost all', 'some', 'few', 'almost all', 'some', 'many', 'most', 'some', 'many', 'many', 'all', 'some', 'none', 'almost all', 'few', 'almost all', 'many', 'many', 'almost all', 'the smaller part', 'many', 'some', 'some', 'almost none', 'few', 'all', 'few', 'all', 'many', 'none', 'none', 'almost all', 'many', 'some', 'most', 'many', 'none', 'few', 'few', 'some']"
224,data/images/quantifier/test_224.png,"['some', 'some', 'some', 'many', 'almost all', 'all', 'few', 'the smaller part', 'some', 'few', 'some', 'some', 'some', 'many', 'some', 'few', 'all', 'almost none', 'many', 'few', 'almost all', 'some', 'all', 'the smaller part', 'many', 'most', 'many', 'many', 'many', 'some', 'the smaller part', 'all', 'all', 'some', 'some', 'most', 'some', 'many', 'all', 'all']"
225,data/images/quantifier/test_225.png,"['all', 'some', 'most', 'all', 'many', 'few', 'almost none', 'none', 'many', 'some', 'few', 'few', 'all', 'some', 'many', 'few', 'some', 'none', 'all', 'some', 'almost all', 'many', 'some', 'some', 'many', 'some', 'all', 'almost all', 'most', 'some', 'most', 'few', 'few', 'almost all', 'many', 'all', 'the smaller part', 'almost all', 'many', 'all']"
230,data/images/quantifier/test_230.png,"['almost all', 'almost all', 'none', 'all', 'many', 'almost all', 'few', 'most', 'few', 'some', 'many', 'all', 'most', 'all', 'few', 'almost all', 'none', 'none', 'many', 'some', 'almost none', 'some', 'many', 'some', 'many', 'few', 'some', 'none', 'many', 'most', 'many', 'all', 'all', 'most', 'almost all', 'none', 'some', 'none', 'many', 'almost all']"
231,data/images/quantifier/test_231.png,"['all', 'many', 'almost all', 'few', 'almost none', 'some', 'none', 'many', 'some', 'the smaller part', 'some', 'all', 'most', 'almost all', 'some', 'none', 'some', 'all', 'many', 'the smaller part', 'some', 'many', 'some', 'few', 'few', 'none', 'many', 'some', 'some', 'few', 'some', 'the smaller part', 'many', 'all', 'almost all', 'few', 'many', 'some', 'almost none', 'almost all']"
235,data/images/quantifier/test_235.png,"['few', 'few', 'all', 'few', 'some', 'almost none', 'most', 'almost all', 'almost all', 'few', 'some', 'almost all', 'many', 'some', 'few', 'the smaller part', 'some', 'some', 'many', 'most', 'all', 'all', 'all', 'all', 'few', 'almost all', 'most', 'all', 'many', 'many', 'most', 'some', 'all', 'some', 'some', 'few', 'all', 'few', 'few', 'almost none']"
242,data/images/quantifier/test_242.png,"['none', 'almost none', 'most', 'some', 'none', 'many', 'almost none', 'many', 'almost all', 'many', 'many', 'some', 'almost all', 'some', 'some', 'most', 'many', 'few', 'all', 'the smaller part', 'some', 'the smaller part', 'none', 'almost all', 'almost none', 'many', 'all', 'few', 'most', 'many', 'almost all', 'almost all', 'the smaller part', 'all', 'few', 'many', 'many', 'the smaller part', 'many', 'the smaller part']"
246,data/images/quantifier/test_246.png,"['some', 'all', 'few', 'almost all', 'almost all', 'none', 'some', 'all', 'some', 'most', 'most', 'some', 'some', 'all', 'some', 'few', 'few', 'few', 'many', 'some', 'the smaller part', 'few', 'none', 'some', 'some', 'all', 'most', 'few', 'almost all', 'some', 'some', 'some', 'none', 'almost none', 'almost all', 'some', 'the smaller part', 'many', 'few', 'almost all']"
247,data/images/quantifier/test_247.png,"['some', 'almost none', 'some', 'some', 'all', 'few', 'almost none', 'some', 'almost all', 'some', 'few', 'some', 'none', 'many', 'some', 'many', 'some', 'some', 'none', 'none', 'many', 'few', 'some', 'most', 'almost all', 'many', 'none', 'some', 'few', 'few', 'few', 'some', 'all', 'most', 'few', 'almost all', 'most', 'all', 'all', 'few']"
252,data/images/quantifier/test_252.png,"['the smaller part', 'few', 'some', 'most', 'many', 'some', 'none', 'few', 'few', 'some', 'some', 'some', 'almost none', 'some', 'none', 'some', 'some', 'many', 'few', 'almost all', 'none', 'the smaller part', 'all', 'the smaller part', 'almost all', 'none', 'some', 'many', 'the smaller part', 'few', 'almost all', 'most', 'almost none', 'many', 'some', 'none', 'some', 'most', 'all', 'most']"
255,data/images/quantifier/test_255.png,"['all', 'some', 'none', 'some', 'most', 'almost all', 'none', 'almost all', 'none', 'many', 'none', 'few', 'almost all', 'the smaller part', 'most', 'none', 'some', 'many', 'most', 'none', 'all', 'some', 'many', 'some', 'all', 'some', 'almost none', 'some', 'some', 'the smaller part', 'the smaller part', 'few', 'almost all', 'some', 'few', 'almost all', 'all', 'some', 'the smaller part', 'none']"
260,data/images/quantifier/test_260.png,"['almost none', 'all', 'many', 'all', 'all', 'most', 'almost all', 'none', 'most', 'some', 'most', 'many', 'many', 'some', 'almost all', 'many', 'few', 'many', 'some', 'almost all', 'many', 'all', 'most', 'all', 'all', 'some', 'many', 'many', 'some', 'some', 'many', 'none', 'none', 'almost all', 'almost all', 'none', 'some', 'most', 'many', 'few']"
