index,image,llava_filtered_output
260,data/images/quantifier/test_260.png,"['some', 'almost all', 'some', 'almost all', 'almost none']"
326,data/images/quantifier/test_326.png,"['few', 'almost none', 'the smaller part', 'few', 'the smaller part']"
384,data/images/quantifier/test_384.png,"['none', 'none', 'none', 'none', 'none']"
303,data/images/quantifier/test_303.png,"['none', 'almost none', 'the smaller part', 'almost none', 'most']"
394,data/images/quantifier/test_394.png,"['none', 'almost none', 'many', 'some', 'almost none']"
2211,data/images/quantifier/test_2211.png,"['all', 'the smaller part', 'almost all', 'all', 'almost all']"
2229,data/images/quantifier/test_2229.png,"['some', 'few', 'most', 'most', 'almost all']"
2301,data/images/quantifier/test_2301.png,"['some', 'almost all', 'almost all', 'many', 'almost all']"
2243,data/images/quantifier/test_2243.png,"['the smaller part', 'most', 'most', 'few', 'many']"
2290,data/images/quantifier/test_2290.png,"['many', 'all', 'many', 'many', 'some']"
2201,data/images/quantifier/test_2201.png,"['many', 'almost all', 'some', 'all', 'all']"
1255,data/images/quantifier/test_1255.png,"['most', 'almost none', 'some', 'some', 'most']"
1341,data/images/quantifier/test_1341.png,"['none', 'none', 'some', 'some', 'none']"
1294,data/images/quantifier/test_1294.png,"['some', 'some', 'few', 'the smaller part', 'few']"
1204,data/images/quantifier/test_1204.png,"['some', 'some', 'most', 'some', 'most']"
1272,data/images/quantifier/test_1272.png,"['some', 'many', 'many', 'all', 'all']"
1302,data/images/quantifier/test_1302.png,"['some', 'most', 'some', 'none', 'almost none']"
2515,data/images/quantifier/test_2515.png,"['almost all', 'many', 'many', 'many', 'almost all']"
2557,data/images/quantifier/test_2557.png,"['the smaller part', 'some', 'some', 'all', 'none']"
2592,data/images/quantifier/test_2592.png,"['the smaller part', 'some', 'all', 'all', 'the smaller part']"
2567,data/images/quantifier/test_2567.png,"['many', 'most', 'almost all', 'almost all', 'many']"
2487,data/images/quantifier/test_2487.png,"['some', 'most', 'many', 'some', 'almost all']"
2472,data/images/quantifier/test_2472.png,"['almost all', 'many', 'some', 'almost all', 'all']"
2054,data/images/quantifier/test_2054.png,"['the smaller part', 'almost all', 'almost all', 'many', 'all']"
2111,data/images/quantifier/test_2111.png,"['some', 'all', 'some', 'some', 'all']"
2019,data/images/quantifier/test_2019.png,"['many', 'many', 'many', 'all', 'many']"
2031,data/images/quantifier/test_2031.png,"['almost all', 'all', 'almost all', 'the smaller part', 'many']"
2137,data/images/quantifier/test_2137.png,"['almost none', 'many', 'some', 'all', 'few']"
2135,data/images/quantifier/test_2135.png,"['many', 'many', 'almost all', 'many', 'most']"
1486,data/images/quantifier/test_1486.png,"['the smaller part', 'few', 'almost none', 'almost all', 'few']"
1499,data/images/quantifier/test_1499.png,"['few', 'almost all', 'almost none', 'most', 'few']"
1502,data/images/quantifier/test_1502.png,"['the smaller part', 'the smaller part', 'some', 'most', 'some']"
1554,data/images/quantifier/test_1554.png,"['the smaller part', 'many', 'most', 'all', 'many']"
1493,data/images/quantifier/test_1493.png,"['almost all', 'the smaller part', 'the smaller part', 'some', 'most']"
1534,data/images/quantifier/test_1534.png,"['all', 'some', 'some', 'the smaller part', 'almost none']"
2658,data/images/quantifier/test_2658.png,"['almost all', 'almost all', 'many', 'all', 'some']"
2632,data/images/quantifier/test_2632.png,"['many', 'all', 'all', 'many', 'almost all']"
2789,data/images/quantifier/test_2789.png,"['almost all', 'most', 'almost all', 'many', 'almost all']"
2655,data/images/quantifier/test_2655.png,"['most', 'almost all', 'almost all', 'almost all', 'almost all']"
2603,data/images/quantifier/test_2603.png,"['almost all', 'some', 'many', 'most', 'the smaller part']"
2731,data/images/quantifier/test_2731.png,"['almost all', 'most', 'almost all', 'almost all', 'almost none']"
1982,data/images/quantifier/test_1982.png,"['some', 'few', 'most', 'almost all', 'the smaller part']"
1878,data/images/quantifier/test_1878.png,"['the smaller part', 'some', 'almost all', 'the smaller part', 'some']"
1912,data/images/quantifier/test_1912.png,"['some', 'almost none', 'almost all', 'almost all', 'the smaller part']"
1947,data/images/quantifier/test_1947.png,"['many', 'most', 'almost all', 'most', 'many']"
1858,data/images/quantifier/test_1858.png,"['almost all', 'some', 'almost none', 'most', 'few']"
1965,data/images/quantifier/test_1965.png,"['all', 'almost all', 'some', 'the smaller part', 'all']"
2893,data/images/quantifier/test_2893.png,"['many', 'many', 'most', 'many', 'many']"
2892,data/images/quantifier/test_2892.png,"['many', 'many', 'many', 'many', 'almost all']"
2945,data/images/quantifier/test_2945.png,"['many', 'many', 'some', 'many', 'many']"
2883,data/images/quantifier/test_2883.png,"['almost all', 'some', 'almost all', 'all', 'almost all']"
2985,data/images/quantifier/test_2985.png,"['few', 'few', 'almost all', 'some', 'almost all']"
2817,data/images/quantifier/test_2817.png,"['most', 'some', 'many', 'almost all', 'many']"
3139,data/images/quantifier/test_3139.png,"['almost all', 'many', 'many', 'many', 'many']"
3145,data/images/quantifier/test_3145.png,"['almost all', 'many', 'almost all', 'almost all', 'most']"
3157,data/images/quantifier/test_3157.png,"['all', 'almost all', 'almost all', 'almost all', 'many']"
3184,data/images/quantifier/test_3184.png,"['almost all', 'almost all', 'many', 'many', 'all']"
3110,data/images/quantifier/test_3110.png,"['almost all', 'many', 'many', 'many', 'some']"
3004,data/images/quantifier/test_3004.png,"['almost all', 'many', 'many', 'many', 'almost all']"
3310,data/images/quantifier/test_3310.png,"['many', 'almost all', 'many', 'many', 'the smaller part']"
3327,data/images/quantifier/test_3327.png,"['some', 'almost all', 'many', 'many', 'many']"
3249,data/images/quantifier/test_3249.png,"['many', 'many', 'almost all', 'almost all', 'most']"
3348,data/images/quantifier/test_3348.png,"['many', 'most', 'all', 'almost all', 'all']"
3353,data/images/quantifier/test_3353.png,"['many', 'almost all', 'many', 'almost all', 'many']"
3268,data/images/quantifier/test_3268.png,"['most', 'few', 'the smaller part', 'almost all', 'all']"
