index,image_file,blip2_output,shuffled_options,prompted_questions
260,data/images/quantifier/test_260.png,"[['b'], ['almost all'], ['a'], ['b'], ['a']]","[{'a': 'many', 'b': 'the smaller part', 'c': 'few', 'd': 'none', 'e': 'most', 'f': 'all', 'g': 'almost none', 'h': 'almost all', 'i': 'some'}, {'a': 'all', 'b': 'some', 'c': 'few', 'd': 'many', 'e': 'almost all', 'f': 'none', 'g': 'most', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'most', 'b': 'none', 'c': 'few', 'd': 'almost all', 'e': 'many', 'f': 'some', 'g': 'all', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'many', 'c': 'few', 'd': 'none', 'e': 'almost all', 'f': 'some', 'g': 'most', 'h': 'almost none', 'i': 'all'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'most', 'd': 'some', 'e': 'few', 'f': 'many', 'g': 'all', 'h': 'almost none', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: few\nD: none\nE: most\nF: all\nG: almost none\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: some\nC: few\nD: many\nE: almost all\nF: none\nG: most\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: none\nC: few\nD: almost all\nE: many\nF: some\nG: all\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: few\nD: none\nE: almost all\nF: some\nG: most\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: most\nD: some\nE: few\nF: many\nG: all\nH: almost none\nI: none\nAnswer:']"
261,data/images/quantifier/test_261.png,"[['g'], ['c'], ['the smaller part'], ['there are 4 animals in the image'], ['all']]","[{'a': 'some', 'b': 'many', 'c': 'almost all', 'd': 'none', 'e': 'all', 'f': 'the smaller part', 'g': 'almost none', 'h': 'most', 'i': 'few'}, {'a': 'most', 'b': 'many', 'c': 'none', 'd': 'almost none', 'e': 'the smaller part', 'f': 'almost all', 'g': 'few', 'h': 'all', 'i': 'some'}, {'a': 'all', 'b': 'almost all', 'c': 'almost none', 'd': 'few', 'e': 'the smaller part', 'f': 'some', 'g': 'many', 'h': 'none', 'i': 'most'}, {'a': 'few', 'b': 'none', 'c': 'almost all', 'd': 'most', 'e': 'all', 'f': 'almost none', 'g': 'some', 'h': 'the smaller part', 'i': 'many'}, {'a': 'almost none', 'b': 'many', 'c': 'some', 'd': 'none', 'e': 'few', 'f': 'the smaller part', 'g': 'all', 'h': 'most', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: almost all\nD: none\nE: all\nF: the smaller part\nG: almost none\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: many\nC: none\nD: almost none\nE: the smaller part\nF: almost all\nG: few\nH: all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: almost none\nD: few\nE: the smaller part\nF: some\nG: many\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: almost all\nD: most\nE: all\nF: almost none\nG: some\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: some\nD: none\nE: few\nF: the smaller part\nG: all\nH: most\nI: almost all\nAnswer:']"
263,data/images/quantifier/test_263.png,"[['all'], [''], ['none'], ['all'], ['none']]","[{'a': 'none', 'b': 'all', 'c': 'some', 'd': 'the smaller part', 'e': 'few', 'f': 'almost none', 'g': 'many', 'h': 'most', 'i': 'almost all'}, {'a': 'none', 'b': 'many', 'c': 'almost none', 'd': 'the smaller part', 'e': 'almost all', 'f': 'all', 'g': 'some', 'h': 'most', 'i': 'few'}, {'a': 'few', 'b': 'most', 'c': 'none', 'd': 'all', 'e': 'almost none', 'f': 'the smaller part', 'g': 'many', 'h': 'almost all', 'i': 'some'}, {'a': 'few', 'b': 'all', 'c': 'almost all', 'd': 'the smaller part', 'e': 'some', 'f': 'many', 'g': 'most', 'h': 'none', 'i': 'almost none'}, {'a': 'almost all', 'b': 'many', 'c': 'the smaller part', 'd': 'almost none', 'e': 'all', 'f': 'few', 'g': 'some', 'h': 'none', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: all\nC: some\nD: the smaller part\nE: few\nF: almost none\nG: many\nH: most\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: almost none\nD: the smaller part\nE: almost all\nF: all\nG: some\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: none\nD: all\nE: almost none\nF: the smaller part\nG: many\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: almost all\nD: the smaller part\nE: some\nF: many\nG: most\nH: none\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: the smaller part\nD: almost none\nE: all\nF: few\nG: some\nH: none\nI: most\nAnswer:']"
278,data/images/quantifier/test_278.png,"[['d'], ['a'], ['a'], ['a) most'], ['']]","[{'a': 'few', 'b': 'almost none', 'c': 'most', 'd': 'almost all', 'e': 'some', 'f': 'none', 'g': 'many', 'h': 'the smaller part', 'i': 'all'}, {'a': 'some', 'b': 'most', 'c': 'almost all', 'd': 'many', 'e': 'none', 'f': 'all', 'g': 'almost none', 'h': 'the smaller part', 'i': 'few'}, {'a': 'many', 'b': 'some', 'c': 'most', 'd': 'the smaller part', 'e': 'almost all', 'f': 'all', 'g': 'almost none', 'h': 'few', 'i': 'none'}, {'a': 'some', 'b': 'the smaller part', 'c': 'few', 'd': 'all', 'e': 'many', 'f': 'almost all', 'g': 'almost none', 'h': 'none', 'i': 'most'}, {'a': 'almost none', 'b': 'some', 'c': 'the smaller part', 'd': 'none', 'e': 'most', 'f': 'few', 'g': 'all', 'h': 'almost all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost none\nC: most\nD: almost all\nE: some\nF: none\nG: many\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: almost all\nD: many\nE: none\nF: all\nG: almost none\nH: the smaller part\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: most\nD: the smaller part\nE: almost all\nF: all\nG: almost none\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: few\nD: all\nE: many\nF: almost all\nG: almost none\nH: none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: the smaller part\nD: none\nE: most\nF: few\nG: all\nH: almost all\nI: many\nAnswer:']"
279,data/images/quantifier/test_279.png,"[['a'], ['a'], ['a'], ['there are about 100'], ['none']]","[{'a': 'few', 'b': 'none', 'c': 'all', 'd': 'almost none', 'e': 'almost all', 'f': 'the smaller part', 'g': 'many', 'h': 'some', 'i': 'most'}, {'a': 'almost none', 'b': 'all', 'c': 'none', 'd': 'few', 'e': 'almost all', 'f': 'most', 'g': 'many', 'h': 'the smaller part', 'i': 'some'}, {'a': 'some', 'b': 'many', 'c': 'almost all', 'd': 'all', 'e': 'none', 'f': 'few', 'g': 'most', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'all', 'b': 'many', 'c': 'almost none', 'd': 'none', 'e': 'the smaller part', 'f': 'some', 'g': 'few', 'h': 'almost all', 'i': 'most'}, {'a': 'almost none', 'b': 'almost all', 'c': 'none', 'd': 'most', 'e': 'many', 'f': 'all', 'g': 'few', 'h': 'the smaller part', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: all\nD: almost none\nE: almost all\nF: the smaller part\nG: many\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: all\nC: none\nD: few\nE: almost all\nF: most\nG: many\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: almost all\nD: all\nE: none\nF: few\nG: most\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: almost none\nD: none\nE: the smaller part\nF: some\nG: few\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: none\nD: most\nE: many\nF: all\nG: few\nH: the smaller part\nI: some\nAnswer:']"
287,data/images/quantifier/test_287.png,"[['none'], ['g'], ['a'], ['i'], ['almost all']]","[{'a': 'few', 'b': 'the smaller part', 'c': 'almost none', 'd': 'some', 'e': 'many', 'f': 'almost all', 'g': 'all', 'h': 'most', 'i': 'none'}, {'a': 'the smaller part', 'b': 'some', 'c': 'almost all', 'd': 'none', 'e': 'almost none', 'f': 'many', 'g': 'all', 'h': 'few', 'i': 'most'}, {'a': 'almost all', 'b': 'most', 'c': 'many', 'd': 'almost none', 'e': 'some', 'f': 'the smaller part', 'g': 'few', 'h': 'none', 'i': 'all'}, {'a': 'almost all', 'b': 'all', 'c': 'none', 'd': 'most', 'e': 'few', 'f': 'many', 'g': 'some', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'few', 'b': 'all', 'c': 'the smaller part', 'd': 'almost none', 'e': 'some', 'f': 'almost all', 'g': 'many', 'h': 'most', 'i': 'none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: almost none\nD: some\nE: many\nF: almost all\nG: all\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: some\nC: almost all\nD: none\nE: almost none\nF: many\nG: all\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: many\nD: almost none\nE: some\nF: the smaller part\nG: few\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: none\nD: most\nE: few\nF: many\nG: some\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: the smaller part\nD: almost none\nE: some\nF: almost all\nG: many\nH: most\nI: none\nAnswer:']"
289,data/images/quantifier/test_289.png,"[['a'], ['d'], ['a'], [''], ['most']]","[{'a': 'the smaller part', 'b': 'many', 'c': 'almost all', 'd': 'few', 'e': 'some', 'f': 'none', 'g': 'all', 'h': 'almost none', 'i': 'most'}, {'a': 'almost none', 'b': 'few', 'c': 'many', 'd': 'the smaller part', 'e': 'most', 'f': 'all', 'g': 'almost all', 'h': 'some', 'i': 'none'}, {'a': 'almost all', 'b': 'many', 'c': 'some', 'd': 'almost none', 'e': 'most', 'f': 'few', 'g': 'all', 'h': 'the smaller part', 'i': 'none'}, {'a': 'some', 'b': 'the smaller part', 'c': 'few', 'd': 'many', 'e': 'almost all', 'f': 'almost none', 'g': 'none', 'h': 'all', 'i': 'most'}, {'a': 'all', 'b': 'many', 'c': 'none', 'd': 'the smaller part', 'e': 'few', 'f': 'some', 'g': 'most', 'h': 'almost all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: almost all\nD: few\nE: some\nF: none\nG: all\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: few\nC: many\nD: the smaller part\nE: most\nF: all\nG: almost all\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: some\nD: almost none\nE: most\nF: few\nG: all\nH: the smaller part\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: few\nD: many\nE: almost all\nF: almost none\nG: none\nH: all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: many\nC: none\nD: the smaller part\nE: few\nF: some\nG: most\nH: almost all\nI: almost none\nAnswer:']"
307,data/images/quantifier/test_307.png,"[['none'], ['the smaller part'], ['a'], ['c'], ['a']]","[{'a': 'most', 'b': 'almost all', 'c': 'none', 'd': 'the smaller part', 'e': 'many', 'f': 'few', 'g': 'some', 'h': 'all', 'i': 'almost none'}, {'a': 'few', 'b': 'none', 'c': 'almost none', 'd': 'some', 'e': 'all', 'f': 'almost all', 'g': 'most', 'h': 'the smaller part', 'i': 'many'}, {'a': 'almost none', 'b': 'almost all', 'c': 'the smaller part', 'd': 'few', 'e': 'some', 'f': 'none', 'g': 'most', 'h': 'many', 'i': 'all'}, {'a': 'almost all', 'b': 'most', 'c': 'none', 'd': 'many', 'e': 'almost none', 'f': 'the smaller part', 'g': 'some', 'h': 'few', 'i': 'all'}, {'a': 'many', 'b': 'few', 'c': 'the smaller part', 'd': 'some', 'e': 'none', 'f': 'most', 'g': 'all', 'h': 'almost all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: almost all\nC: none\nD: the smaller part\nE: many\nF: few\nG: some\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: almost none\nD: some\nE: all\nF: almost all\nG: most\nH: the smaller part\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: the smaller part\nD: few\nE: some\nF: none\nG: most\nH: many\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: none\nD: many\nE: almost none\nF: the smaller part\nG: some\nH: few\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: the smaller part\nD: some\nE: none\nF: most\nG: all\nH: almost all\nI: almost none\nAnswer:']"
308,data/images/quantifier/test_308.png,"[['none'], ['a'], ['c'], ['b'], ['g']]","[{'a': 'some', 'b': 'almost all', 'c': 'the smaller part', 'd': 'few', 'e': 'many', 'f': 'all', 'g': 'almost none', 'h': 'most', 'i': 'none'}, {'a': 'most', 'b': 'the smaller part', 'c': 'all', 'd': 'almost none', 'e': 'some', 'f': 'none', 'g': 'many', 'h': 'almost all', 'i': 'few'}, {'a': 'none', 'b': 'the smaller part', 'c': 'all', 'd': 'many', 'e': 'almost all', 'f': 'almost none', 'g': 'some', 'h': 'few', 'i': 'most'}, {'a': 'some', 'b': 'all', 'c': 'most', 'd': 'almost all', 'e': 'none', 'f': 'many', 'g': 'almost none', 'h': 'few', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'almost all', 'c': 'the smaller part', 'd': 'few', 'e': 'some', 'f': 'many', 'g': 'most', 'h': 'none', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: the smaller part\nD: few\nE: many\nF: all\nG: almost none\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: all\nD: almost none\nE: some\nF: none\nG: many\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: all\nD: many\nE: almost all\nF: almost none\nG: some\nH: few\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: all\nC: most\nD: almost all\nE: none\nF: many\nG: almost none\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: the smaller part\nD: few\nE: some\nF: many\nG: most\nH: none\nI: all\nAnswer:']"
317,data/images/quantifier/test_317.png,"[['the smallest part'], ['all'], ['none'], ['g'], ['a']]","[{'a': 'none', 'b': 'the smaller part', 'c': 'few', 'd': 'almost all', 'e': 'some', 'f': 'almost none', 'g': 'all', 'h': 'many', 'i': 'most'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'most', 'd': 'few', 'e': 'none', 'f': 'all', 'g': 'many', 'h': 'almost none', 'i': 'some'}, {'a': 'few', 'b': 'some', 'c': 'most', 'd': 'almost all', 'e': 'almost none', 'f': 'the smaller part', 'g': 'many', 'h': 'all', 'i': 'none'}, {'a': 'some', 'b': 'almost all', 'c': 'most', 'd': 'all', 'e': 'almost none', 'f': 'many', 'g': 'none', 'h': 'few', 'i': 'the smaller part'}, {'a': 'some', 'b': 'most', 'c': 'all', 'd': 'few', 'e': 'almost none', 'f': 'none', 'g': 'almost all', 'h': 'many', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: few\nD: almost all\nE: some\nF: almost none\nG: all\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: most\nD: few\nE: none\nF: all\nG: many\nH: almost none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: most\nD: almost all\nE: almost none\nF: the smaller part\nG: many\nH: all\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: most\nD: all\nE: almost none\nF: many\nG: none\nH: few\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: most\nC: all\nD: few\nE: almost none\nF: none\nG: almost all\nH: many\nI: the smaller part\nAnswer:']"
324,data/images/quantifier/test_324.png,"[['the smaller part'], ['a,b,c'], ['there are many animals'], ['there are about four'], ['none']]","[{'a': 'all', 'b': 'few', 'c': 'almost all', 'd': 'many', 'e': 'almost none', 'f': 'the smaller part', 'g': 'none', 'h': 'most', 'i': 'some'}, {'a': 'few', 'b': 'many', 'c': 'none', 'd': 'the smaller part', 'e': 'some', 'f': 'almost all', 'g': 'most', 'h': 'all', 'i': 'almost none'}, {'a': 'many', 'b': 'most', 'c': 'the smaller part', 'd': 'few', 'e': 'some', 'f': 'almost all', 'g': 'almost none', 'h': 'none', 'i': 'all'}, {'a': 'the smaller part', 'b': 'almost none', 'c': 'many', 'd': 'all', 'e': 'few', 'f': 'most', 'g': 'none', 'h': 'some', 'i': 'almost all'}, {'a': 'most', 'b': 'all', 'c': 'almost none', 'd': 'almost all', 'e': 'none', 'f': 'the smaller part', 'g': 'some', 'h': 'many', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: almost all\nD: many\nE: almost none\nF: the smaller part\nG: none\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: none\nD: the smaller part\nE: some\nF: almost all\nG: most\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: the smaller part\nD: few\nE: some\nF: almost all\nG: almost none\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost none\nC: many\nD: all\nE: few\nF: most\nG: none\nH: some\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: all\nC: almost none\nD: almost all\nE: none\nF: the smaller part\nG: some\nH: many\nI: few\nAnswer:']"
328,data/images/quantifier/test_328.png,"[['most'], ['some'], ['almost all'], ['almost all'], ['all']]","[{'a': 'none', 'b': 'almost none', 'c': 'all', 'd': 'some', 'e': 'most', 'f': 'the smaller part', 'g': 'many', 'h': 'almost all', 'i': 'few'}, {'a': 'some', 'b': 'almost none', 'c': 'few', 'd': 'the smaller part', 'e': 'many', 'f': 'all', 'g': 'none', 'h': 'almost all', 'i': 'most'}, {'a': 'many', 'b': 'some', 'c': 'few', 'd': 'almost all', 'e': 'the smaller part', 'f': 'most', 'g': 'almost none', 'h': 'none', 'i': 'all'}, {'a': 'almost all', 'b': 'most', 'c': 'few', 'd': 'all', 'e': 'many', 'f': 'the smaller part', 'g': 'almost none', 'h': 'none', 'i': 'some'}, {'a': 'few', 'b': 'the smaller part', 'c': 'none', 'd': 'almost all', 'e': 'most', 'f': 'many', 'g': 'almost none', 'h': 'some', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: almost none\nC: all\nD: some\nE: most\nF: the smaller part\nG: many\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: few\nD: the smaller part\nE: many\nF: all\nG: none\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: few\nD: almost all\nE: the smaller part\nF: most\nG: almost none\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: few\nD: all\nE: many\nF: the smaller part\nG: almost none\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: none\nD: almost all\nE: most\nF: many\nG: almost none\nH: some\nI: all\nAnswer:']"
333,data/images/quantifier/test_333.png,"[['c'], [''], ['the smaller part'], ['none'], ['c']]","[{'a': 'few', 'b': 'almost all', 'c': 'many', 'd': 'the smaller part', 'e': 'almost none', 'f': 'some', 'g': 'all', 'h': 'most', 'i': 'none'}, {'a': 'almost all', 'b': 'few', 'c': 'none', 'd': 'many', 'e': 'all', 'f': 'most', 'g': 'some', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'all', 'b': 'almost all', 'c': 'many', 'd': 'most', 'e': 'few', 'f': 'almost none', 'g': 'some', 'h': 'none', 'i': 'the smaller part'}, {'a': 'few', 'b': 'all', 'c': 'almost none', 'd': 'most', 'e': 'the smaller part', 'f': 'none', 'g': 'some', 'h': 'almost all', 'i': 'many'}, {'a': 'some', 'b': 'the smaller part', 'c': 'few', 'd': 'almost none', 'e': 'all', 'f': 'almost all', 'g': 'many', 'h': 'none', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: many\nD: the smaller part\nE: almost none\nF: some\nG: all\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: none\nD: many\nE: all\nF: most\nG: some\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost all\nC: many\nD: most\nE: few\nF: almost none\nG: some\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: almost none\nD: most\nE: the smaller part\nF: none\nG: some\nH: almost all\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: few\nD: almost none\nE: all\nF: almost all\nG: many\nH: none\nI: most\nAnswer:']"
335,data/images/quantifier/test_335.png,"[['d'], ['g'], ['the smaller part'], ['b'], ['']]","[{'a': 'few', 'b': 'many', 'c': 'some', 'd': 'the smaller part', 'e': 'all', 'f': 'none', 'g': 'almost none', 'h': 'almost all', 'i': 'most'}, {'a': 'few', 'b': 'most', 'c': 'many', 'd': 'almost all', 'e': 'the smaller part', 'f': 'some', 'g': 'almost none', 'h': 'none', 'i': 'all'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'most', 'd': 'many', 'e': 'none', 'f': 'almost none', 'g': 'all', 'h': 'some', 'i': 'few'}, {'a': 'few', 'b': 'some', 'c': 'almost all', 'd': 'the smaller part', 'e': 'many', 'f': 'almost none', 'g': 'all', 'h': 'most', 'i': 'none'}, {'a': 'many', 'b': 'none', 'c': 'all', 'd': 'most', 'e': 'some', 'f': 'almost none', 'g': 'the smaller part', 'h': 'few', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: some\nD: the smaller part\nE: all\nF: none\nG: almost none\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: many\nD: almost all\nE: the smaller part\nF: some\nG: almost none\nH: none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: most\nD: many\nE: none\nF: almost none\nG: all\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: almost all\nD: the smaller part\nE: many\nF: almost none\nG: all\nH: most\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: all\nD: most\nE: some\nF: almost none\nG: the smaller part\nH: few\nI: almost all\nAnswer:']"
340,data/images/quantifier/test_340.png,"[['all'], ['e'], ['d'], ['c'], ['a']]","[{'a': 'almost all', 'b': 'most', 'c': 'many', 'd': 'the smaller part', 'e': 'none', 'f': 'some', 'g': 'all', 'h': 'few', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'few', 'c': 'all', 'd': 'almost all', 'e': 'many', 'f': 'almost none', 'g': 'most', 'h': 'some', 'i': 'none'}, {'a': 'few', 'b': 'all', 'c': 'almost all', 'd': 'the smaller part', 'e': 'most', 'f': 'almost none', 'g': 'none', 'h': 'many', 'i': 'some'}, {'a': 'few', 'b': 'most', 'c': 'all', 'd': 'almost none', 'e': 'none', 'f': 'the smaller part', 'g': 'many', 'h': 'almost all', 'i': 'some'}, {'a': 'the smaller part', 'b': 'most', 'c': 'some', 'd': 'almost all', 'e': 'almost none', 'f': 'few', 'g': 'none', 'h': 'all', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: most\nC: many\nD: the smaller part\nE: none\nF: some\nG: all\nH: few\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: few\nC: all\nD: almost all\nE: many\nF: almost none\nG: most\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: almost all\nD: the smaller part\nE: most\nF: almost none\nG: none\nH: many\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: most\nC: all\nD: almost none\nE: none\nF: the smaller part\nG: many\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: some\nD: almost all\nE: almost none\nF: few\nG: none\nH: all\nI: many\nAnswer:']"
