index,image,blip2_output,shuffled_options,prompted_questions
780,data/images/quantifier/test_780.png,"[['b'], ['b'], ['all'], ['e'], ['the smaller part']]","[{'a': 'many', 'b': 'some', 'c': 'all', 'd': 'none', 'e': 'few', 'f': 'almost none', 'g': 'the smaller part', 'h': 'almost all', 'i': 'most'}, {'a': 'all', 'b': 'the smaller part', 'c': 'almost none', 'd': 'some', 'e': 'few', 'f': 'most', 'g': 'none', 'h': 'many', 'i': 'almost all'}, {'a': 'few', 'b': 'some', 'c': 'most', 'd': 'many', 'e': 'almost all', 'f': 'none', 'g': 'the smaller part', 'h': 'all', 'i': 'almost none'}, {'a': 'all', 'b': 'almost none', 'c': 'almost all', 'd': 'none', 'e': 'few', 'f': 'most', 'g': 'the smaller part', 'h': 'many', 'i': 'some'}, {'a': 'almost all', 'b': 'many', 'c': 'some', 'd': 'most', 'e': 'almost none', 'f': 'few', 'g': 'none', 'h': 'all', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: some\nC: all\nD: none\nE: few\nF: almost none\nG: the smaller part\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: the smaller part\nC: almost none\nD: some\nE: few\nF: most\nG: none\nH: many\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: some\nC: most\nD: many\nE: almost all\nF: none\nG: the smaller part\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: almost all\nD: none\nE: few\nF: most\nG: the smaller part\nH: many\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: many\nC: some\nD: most\nE: almost none\nF: few\nG: none\nH: all\nI: the smaller part\nAnswer:']"
793,data/images/quantifier/test_793.png,"[['d'], ['e'], ['a'], ['a'], ['the answer']]","[{'a': 'all', 'b': 'none', 'c': 'some', 'd': 'most', 'e': 'almost none', 'f': 'few', 'g': 'many', 'h': 'the smaller part', 'i': 'almost all'}, {'a': 'none', 'b': 'the smaller part', 'c': 'almost none', 'd': 'almost all', 'e': 'few', 'f': 'most', 'g': 'many', 'h': 'all', 'i': 'some'}, {'a': 'many', 'b': 'all', 'c': 'almost none', 'd': 'few', 'e': 'none', 'f': 'most', 'g': 'almost all', 'h': 'some', 'i': 'the smaller part'}, {'a': 'most', 'b': 'the smaller part', 'c': 'many', 'd': 'all', 'e': 'almost all', 'f': 'almost none', 'g': 'few', 'h': 'some', 'i': 'none'}, {'a': 'none', 'b': 'few', 'c': 'some', 'd': 'most', 'e': 'all', 'f': 'many', 'g': 'almost none', 'h': 'almost all', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: none\nC: some\nD: most\nE: almost none\nF: few\nG: many\nH: the smaller part\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: almost none\nD: almost all\nE: few\nF: most\nG: many\nH: all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: all\nC: almost none\nD: few\nE: none\nF: most\nG: almost all\nH: some\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: many\nD: all\nE: almost all\nF: almost none\nG: few\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: few\nC: some\nD: most\nE: all\nF: many\nG: almost none\nH: almost all\nI: the smaller part\nAnswer:']"
615,data/images/quantifier/test_615.png,"[['none'], ['e'], ['a few'], ['almost all'], ['a, b, c']]","[{'a': 'few', 'b': 'all', 'c': 'most', 'd': 'none', 'e': 'many', 'f': 'some', 'g': 'the smaller part', 'h': 'almost none', 'i': 'almost all'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'all', 'd': 'many', 'e': 'most', 'f': 'almost none', 'g': 'few', 'h': 'none', 'i': 'some'}, {'a': 'some', 'b': 'many', 'c': 'most', 'd': 'almost all', 'e': 'all', 'f': 'almost none', 'g': 'the smaller part', 'h': 'few', 'i': 'none'}, {'a': 'most', 'b': 'the smaller part', 'c': 'some', 'd': 'almost none', 'e': 'none', 'f': 'few', 'g': 'all', 'h': 'many', 'i': 'almost all'}, {'a': 'some', 'b': 'the smaller part', 'c': 'most', 'd': 'none', 'e': 'almost none', 'f': 'few', 'g': 'all', 'h': 'many', 'i': 'almost all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: most\nD: none\nE: many\nF: some\nG: the smaller part\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: all\nD: many\nE: most\nF: almost none\nG: few\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: many\nC: most\nD: almost all\nE: all\nF: almost none\nG: the smaller part\nH: few\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: some\nD: almost none\nE: none\nF: few\nG: all\nH: many\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: most\nD: none\nE: almost none\nF: few\nG: all\nH: many\nI: almost all\nAnswer:']"
737,data/images/quantifier/test_737.png,"[['many animals'], ['none'], ['many'], ['the smaller part'], ['b']]","[{'a': 'almost none', 'b': 'none', 'c': 'all', 'd': 'few', 'e': 'the smaller part', 'f': 'many', 'g': 'almost all', 'h': 'most', 'i': 'some'}, {'a': 'none', 'b': 'the smaller part', 'c': 'all', 'd': 'almost none', 'e': 'almost all', 'f': 'most', 'g': 'some', 'h': 'many', 'i': 'few'}, {'a': 'few', 'b': 'none', 'c': 'most', 'd': 'almost all', 'e': 'all', 'f': 'almost none', 'g': 'many', 'h': 'the smaller part', 'i': 'some'}, {'a': 'the smaller part', 'b': 'many', 'c': 'almost all', 'd': 'all', 'e': 'most', 'f': 'almost none', 'g': 'few', 'h': 'none', 'i': 'some'}, {'a': 'almost none', 'b': 'almost all', 'c': 'all', 'd': 'some', 'e': 'many', 'f': 'most', 'g': 'the smaller part', 'h': 'none', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: none\nC: all\nD: few\nE: the smaller part\nF: many\nG: almost all\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: the smaller part\nC: all\nD: almost none\nE: almost all\nF: most\nG: some\nH: many\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: most\nD: almost all\nE: all\nF: almost none\nG: many\nH: the smaller part\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: many\nC: almost all\nD: all\nE: most\nF: almost none\nG: few\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: all\nD: some\nE: many\nF: most\nG: the smaller part\nH: none\nI: few\nAnswer:']"
758,data/images/quantifier/test_758.png,"[['g'], ['i choose a: none, almost none'], ['g'], ['g'], ['b']]","[{'a': 'almost none', 'b': 'almost all', 'c': 'most', 'd': 'few', 'e': 'all', 'f': 'none', 'g': 'the smaller part', 'h': 'some', 'i': 'many'}, {'a': 'the smaller part', 'b': 'all', 'c': 'almost all', 'd': 'most', 'e': 'few', 'f': 'almost none', 'g': 'many', 'h': 'some', 'i': 'none'}, {'a': 'few', 'b': 'the smaller part', 'c': 'almost all', 'd': 'almost none', 'e': 'none', 'f': 'most', 'g': 'all', 'h': 'some', 'i': 'many'}, {'a': 'most', 'b': 'all', 'c': 'almost none', 'd': 'almost all', 'e': 'the smaller part', 'f': 'many', 'g': 'few', 'h': 'none', 'i': 'some'}, {'a': 'few', 'b': 'many', 'c': 'all', 'd': 'the smaller part', 'e': 'almost all', 'f': 'none', 'g': 'some', 'h': 'most', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: most\nD: few\nE: all\nF: none\nG: the smaller part\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: almost all\nD: most\nE: few\nF: almost none\nG: many\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: the smaller part\nC: almost all\nD: almost none\nE: none\nF: most\nG: all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: all\nC: almost none\nD: almost all\nE: the smaller part\nF: many\nG: few\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: all\nD: the smaller part\nE: almost all\nF: none\nG: some\nH: most\nI: almost none\nAnswer:']"
474,data/images/quantifier/test_474.png,"[['all'], ['1'], ['b'], ['all'], ['b']]","[{'a': 'all', 'b': 'almost none', 'c': 'the smaller part', 'd': 'few', 'e': 'none', 'f': 'almost all', 'g': 'most', 'h': 'many', 'i': 'some'}, {'a': 'almost none', 'b': 'most', 'c': 'the smaller part', 'd': 'all', 'e': 'few', 'f': 'none', 'g': 'almost all', 'h': 'some', 'i': 'many'}, {'a': 'all', 'b': 'few', 'c': 'most', 'd': 'almost none', 'e': 'the smaller part', 'f': 'none', 'g': 'many', 'h': 'almost all', 'i': 'some'}, {'a': 'the smaller part', 'b': 'none', 'c': 'almost all', 'd': 'some', 'e': 'many', 'f': 'most', 'g': 'few', 'h': 'all', 'i': 'almost none'}, {'a': 'most', 'b': 'the smaller part', 'c': 'none', 'd': 'some', 'e': 'many', 'f': 'almost none', 'g': 'all', 'h': 'almost all', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: the smaller part\nD: few\nE: none\nF: almost all\nG: most\nH: many\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: the smaller part\nD: all\nE: few\nF: none\nG: almost all\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: most\nD: almost none\nE: the smaller part\nF: none\nG: many\nH: almost all\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: none\nC: almost all\nD: some\nE: many\nF: most\nG: few\nH: all\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: none\nD: some\nE: many\nF: almost none\nG: all\nH: almost all\nI: few\nAnswer:']"
558,data/images/quantifier/test_558.png,"[['all of them'], ['a'], ['none of the above'], ['a'], ['1']]","[{'a': 'many', 'b': 'few', 'c': 'some', 'd': 'all', 'e': 'almost none', 'f': 'most', 'g': 'almost all', 'h': 'none', 'i': 'the smaller part'}, {'a': 'many', 'b': 'almost all', 'c': 'few', 'd': 'some', 'e': 'the smaller part', 'f': 'none', 'g': 'almost none', 'h': 'all', 'i': 'most'}, {'a': 'few', 'b': 'almost all', 'c': 'the smaller part', 'd': 'some', 'e': 'none', 'f': 'all', 'g': 'many', 'h': 'almost none', 'i': 'most'}, {'a': 'almost none', 'b': 'many', 'c': 'all', 'd': 'some', 'e': 'few', 'f': 'none', 'g': 'the smaller part', 'h': 'almost all', 'i': 'most'}, {'a': 'almost all', 'b': 'all', 'c': 'almost none', 'd': 'some', 'e': 'none', 'f': 'most', 'g': 'many', 'h': 'the smaller part', 'i': 'few'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: few\nC: some\nD: all\nE: almost none\nF: most\nG: almost all\nH: none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: few\nD: some\nE: the smaller part\nF: none\nG: almost none\nH: all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: the smaller part\nD: some\nE: none\nF: all\nG: many\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: many\nC: all\nD: some\nE: few\nF: none\nG: the smaller part\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: almost none\nD: some\nE: none\nF: most\nG: many\nH: the smaller part\nI: few\nAnswer:']"
512,data/images/quantifier/test_512.png,"[['many'], ['a) few'], ['a'], ['a'], ['c']]","[{'a': 'most', 'b': 'the smaller part', 'c': 'none', 'd': 'almost none', 'e': 'many', 'f': 'all', 'g': 'some', 'h': 'almost all', 'i': 'few'}, {'a': 'few', 'b': 'almost all', 'c': 'some', 'd': 'all', 'e': 'many', 'f': 'none', 'g': 'most', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'few', 'b': 'all', 'c': 'almost none', 'd': 'many', 'e': 'most', 'f': 'none', 'g': 'some', 'h': 'almost all', 'i': 'the smaller part'}, {'a': 'none', 'b': 'many', 'c': 'some', 'd': 'almost none', 'e': 'few', 'f': 'almost all', 'g': 'the smaller part', 'h': 'most', 'i': 'all'}, {'a': 'almost none', 'b': 'all', 'c': 'few', 'd': 'most', 'e': 'almost all', 'f': 'none', 'g': 'many', 'h': 'some', 'i': 'the smaller part'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: none\nD: almost none\nE: many\nF: all\nG: some\nH: almost all\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: some\nD: all\nE: many\nF: none\nG: most\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: almost none\nD: many\nE: most\nF: none\nG: some\nH: almost all\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: many\nC: some\nD: almost none\nE: few\nF: almost all\nG: the smaller part\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: all\nC: few\nD: most\nE: almost all\nF: none\nG: many\nH: some\nI: the smaller part\nAnswer:']"
487,data/images/quantifier/test_487.png,"[['c'], ['d'], [''], ['b'], ['b']]","[{'a': 'none', 'b': 'some', 'c': 'the smaller part', 'd': 'few', 'e': 'all', 'f': 'almost all', 'g': 'almost none', 'h': 'most', 'i': 'many'}, {'a': 'some', 'b': 'none', 'c': 'most', 'd': 'many', 'e': 'almost all', 'f': 'few', 'g': 'the smaller part', 'h': 'almost none', 'i': 'all'}, {'a': 'most', 'b': 'all', 'c': 'many', 'd': 'almost all', 'e': 'few', 'f': 'none', 'g': 'some', 'h': 'almost none', 'i': 'the smaller part'}, {'a': 'some', 'b': 'almost none', 'c': 'all', 'd': 'none', 'e': 'many', 'f': 'most', 'g': 'the smaller part', 'h': 'few', 'i': 'almost all'}, {'a': 'some', 'b': 'the smaller part', 'c': 'almost none', 'd': 'almost all', 'e': 'many', 'f': 'few', 'g': 'none', 'h': 'most', 'i': 'all'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: none\nB: some\nC: the smaller part\nD: few\nE: all\nF: almost all\nG: almost none\nH: most\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: none\nC: most\nD: many\nE: almost all\nF: few\nG: the smaller part\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: all\nC: many\nD: almost all\nE: few\nF: none\nG: some\nH: almost none\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost none\nC: all\nD: none\nE: many\nF: most\nG: the smaller part\nH: few\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: almost none\nD: almost all\nE: many\nF: few\nG: none\nH: most\nI: all\nAnswer:']"
507,data/images/quantifier/test_507.png,"[['a'], ['d'], ['a'], ['a'], ['almost all']]","[{'a': 'few', 'b': 'all', 'c': 'none', 'd': 'many', 'e': 'almost none', 'f': 'almost all', 'g': 'some', 'h': 'most', 'i': 'the smaller part'}, {'a': 'almost all', 'b': 'some', 'c': 'none', 'd': 'the smaller part', 'e': 'many', 'f': 'few', 'g': 'almost none', 'h': 'most', 'i': 'all'}, {'a': 'almost none', 'b': 'most', 'c': 'few', 'd': 'all', 'e': 'none', 'f': 'almost all', 'g': 'the smaller part', 'h': 'some', 'i': 'many'}, {'a': 'many', 'b': 'almost all', 'c': 'some', 'd': 'all', 'e': 'none', 'f': 'almost none', 'g': 'few', 'h': 'most', 'i': 'the smaller part'}, {'a': 'few', 'b': 'none', 'c': 'the smaller part', 'd': 'many', 'e': 'all', 'f': 'most', 'g': 'some', 'h': 'almost all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: all\nC: none\nD: many\nE: almost none\nF: almost all\nG: some\nH: most\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: some\nC: none\nD: the smaller part\nE: many\nF: few\nG: almost none\nH: most\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: few\nD: all\nE: none\nF: almost all\nG: the smaller part\nH: some\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: almost all\nC: some\nD: all\nE: none\nF: almost none\nG: few\nH: most\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: the smaller part\nD: many\nE: all\nF: most\nG: some\nH: almost all\nI: almost none\nAnswer:']"
492,data/images/quantifier/test_492.png,"[['there are no animals in the image'], ['h'], ['c'], ['a'], ['d']]","[{'a': 'some', 'b': 'the smaller part', 'c': 'all', 'd': 'almost all', 'e': 'few', 'f': 'none', 'g': 'many', 'h': 'almost none', 'i': 'most'}, {'a': 'all', 'b': 'few', 'c': 'the smaller part', 'd': 'almost none', 'e': 'many', 'f': 'none', 'g': 'almost all', 'h': 'some', 'i': 'most'}, {'a': 'the smaller part', 'b': 'all', 'c': 'few', 'd': 'many', 'e': 'most', 'f': 'almost none', 'g': 'almost all', 'h': 'some', 'i': 'none'}, {'a': 'all', 'b': 'almost none', 'c': 'many', 'd': 'few', 'e': 'some', 'f': 'the smaller part', 'g': 'none', 'h': 'almost all', 'i': 'most'}, {'a': 'some', 'b': 'few', 'c': 'none', 'd': 'the smaller part', 'e': 'all', 'f': 'most', 'g': 'many', 'h': 'almost all', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: the smaller part\nC: all\nD: almost all\nE: few\nF: none\nG: many\nH: almost none\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: few\nC: the smaller part\nD: almost none\nE: many\nF: none\nG: almost all\nH: some\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: all\nC: few\nD: many\nE: most\nF: almost none\nG: almost all\nH: some\nI: none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: almost none\nC: many\nD: few\nE: some\nF: the smaller part\nG: none\nH: almost all\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: none\nD: the smaller part\nE: all\nF: most\nG: many\nH: almost all\nI: almost none\nAnswer:']"
212,data/images/quantifier/test_212.png,"[['g'], ['c'], ['b'], ['all'], ['all']]","[{'a': 'few', 'b': 'none', 'c': 'some', 'd': 'many', 'e': 'almost all', 'f': 'most', 'g': 'the smaller part', 'h': 'almost none', 'i': 'all'}, {'a': 'all', 'b': 'most', 'c': 'few', 'd': 'many', 'e': 'some', 'f': 'none', 'g': 'almost all', 'h': 'the smaller part', 'i': 'almost none'}, {'a': 'almost none', 'b': 'the smaller part', 'c': 'many', 'd': 'most', 'e': 'few', 'f': 'all', 'g': 'almost all', 'h': 'none', 'i': 'some'}, {'a': 'some', 'b': 'almost all', 'c': 'almost none', 'd': 'few', 'e': 'all', 'f': 'none', 'g': 'many', 'h': 'the smaller part', 'i': 'most'}, {'a': 'almost all', 'b': 'the smaller part', 'c': 'some', 'd': 'almost none', 'e': 'none', 'f': 'all', 'g': 'many', 'h': 'few', 'i': 'most'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: none\nC: some\nD: many\nE: almost all\nF: most\nG: the smaller part\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: all\nB: most\nC: few\nD: many\nE: some\nF: none\nG: almost all\nH: the smaller part\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: the smaller part\nC: many\nD: most\nE: few\nF: all\nG: almost all\nH: none\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: almost none\nD: few\nE: all\nF: none\nG: many\nH: the smaller part\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: the smaller part\nC: some\nD: almost none\nE: none\nF: all\nG: many\nH: few\nI: most\nAnswer:']"
260,data/images/quantifier/test_260.png,"[['the smaller part'], ['f'], ['none'], ['none'], ['d']]","[{'a': 'many', 'b': 'most', 'c': 'the smaller part', 'd': 'all', 'e': 'none', 'f': 'some', 'g': 'few', 'h': 'almost none', 'i': 'almost all'}, {'a': 'few', 'b': 'many', 'c': 'almost none', 'd': 'none', 'e': 'almost all', 'f': 'most', 'g': 'some', 'h': 'the smaller part', 'i': 'all'}, {'a': 'few', 'b': 'almost all', 'c': 'none', 'd': 'almost none', 'e': 'all', 'f': 'the smaller part', 'g': 'some', 'h': 'many', 'i': 'most'}, {'a': 'almost none', 'b': 'most', 'c': 'none', 'd': 'all', 'e': 'the smaller part', 'f': 'many', 'g': 'almost all', 'h': 'some', 'i': 'few'}, {'a': 'many', 'b': 'none', 'c': 'all', 'd': 'almost all', 'e': 'most', 'f': 'almost none', 'g': 'the smaller part', 'h': 'few', 'i': 'some'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: most\nC: the smaller part\nD: all\nE: none\nF: some\nG: few\nH: almost none\nI: almost all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: many\nC: almost none\nD: none\nE: almost all\nF: most\nG: some\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: few\nB: almost all\nC: none\nD: almost none\nE: all\nF: the smaller part\nG: some\nH: many\nI: most\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: most\nC: none\nD: all\nE: the smaller part\nF: many\nG: almost all\nH: some\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: none\nC: all\nD: almost all\nE: most\nF: almost none\nG: the smaller part\nH: few\nI: some\nAnswer:']"
326,data/images/quantifier/test_326.png,"[['b'], ['c'], ['h'], ['all'], ['a']]","[{'a': 'almost all', 'b': 'all', 'c': 'none', 'd': 'almost none', 'e': 'few', 'f': 'many', 'g': 'the smaller part', 'h': 'most', 'i': 'some'}, {'a': 'almost all', 'b': 'few', 'c': 'the smaller part', 'd': 'many', 'e': 'most', 'f': 'none', 'g': 'some', 'h': 'almost none', 'i': 'all'}, {'a': 'many', 'b': 'the smaller part', 'c': 'none', 'd': 'almost none', 'e': 'almost all', 'f': 'some', 'g': 'all', 'h': 'most', 'i': 'few'}, {'a': 'the smaller part', 'b': 'almost all', 'c': 'all', 'd': 'most', 'e': 'few', 'f': 'some', 'g': 'none', 'h': 'almost none', 'i': 'many'}, {'a': 'some', 'b': 'almost all', 'c': 'most', 'd': 'none', 'e': 'few', 'f': 'the smaller part', 'g': 'all', 'h': 'many', 'i': 'almost none'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: all\nC: none\nD: almost none\nE: few\nF: many\nG: the smaller part\nH: most\nI: some\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost all\nB: few\nC: the smaller part\nD: many\nE: most\nF: none\nG: some\nH: almost none\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: many\nB: the smaller part\nC: none\nD: almost none\nE: almost all\nF: some\nG: all\nH: most\nI: few\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: almost all\nC: all\nD: most\nE: few\nF: some\nG: none\nH: almost none\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: almost all\nC: most\nD: none\nE: few\nF: the smaller part\nG: all\nH: many\nI: almost none\nAnswer:']"
384,data/images/quantifier/test_384.png,"[['e'], ['almost none'], ['i'], ['the smaller part'], ['there are four animals in the image']]","[{'a': 'almost none', 'b': 'some', 'c': 'almost all', 'd': 'few', 'e': 'most', 'f': 'none', 'g': 'many', 'h': 'the smaller part', 'i': 'all'}, {'a': 'most', 'b': 'the smaller part', 'c': 'none', 'd': 'all', 'e': 'many', 'f': 'almost all', 'g': 'some', 'h': 'few', 'i': 'almost none'}, {'a': 'the smaller part', 'b': 'most', 'c': 'all', 'd': 'almost none', 'e': 'none', 'f': 'almost all', 'g': 'some', 'h': 'few', 'i': 'many'}, {'a': 'some', 'b': 'few', 'c': 'almost all', 'd': 'almost none', 'e': 'all', 'f': 'none', 'g': 'many', 'h': 'most', 'i': 'the smaller part'}, {'a': 'almost none', 'b': 'almost all', 'c': 'some', 'd': 'most', 'e': 'the smaller part', 'f': 'none', 'g': 'all', 'h': 'few', 'i': 'many'}]","['Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: some\nC: almost all\nD: few\nE: most\nF: none\nG: many\nH: the smaller part\nI: all\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: most\nB: the smaller part\nC: none\nD: all\nE: many\nF: almost all\nG: some\nH: few\nI: almost none\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: the smaller part\nB: most\nC: all\nD: almost none\nE: none\nF: almost all\nG: some\nH: few\nI: many\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: some\nB: few\nC: almost all\nD: almost none\nE: all\nF: none\nG: many\nH: most\nI: the smaller part\nAnswer:', 'Question: How many animals are there in the image? Pick the best answer among the following options:\nA: almost none\nB: almost all\nC: some\nD: most\nE: the smaller part\nF: none\nG: all\nH: few\nI: many\nAnswer:']"
