Unnamed: 0,vg_image_id,vg_object_id,link_mn,link_vg,vg_obj_name,vg_domain,vg_synset,vg_same_object,vg_adequacy_mean,vg_inadequacy_type,vg_image_name,vg_cat,clusters,topname,adequacy_mean,inadequacy_type,total_responses,perc_top,H,N,domain,split,same_object,vg_bbox_xywh,mn_bbox_xywh,human_nouns,blip2_extracted_nouns,pearsonr
1604,2317404,2882968,http://manynames.upf.edu//2317404_2882968_bird.png,https://cs.stanford.edu/people/rak248/VG_100K/2317404.jpg,bird,animals_plants,bird.n.01,{},1.0,{'None': 1.0},2317404.jpg,animal,[{'32': ['bird']}],bird,{'bird': 1.0},{'bird': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'bird': {'bird': 1.0}},"[135, 72, 217, 412]","[114, 57, 201, 375]","{'robbin': 0.0, 'robin': 0.0, 'bird': 0.9696969696969697, 'sparrow': 0.030303030303030304}","{'robbin': 0.09090909090909091, 'robin': 0.6363636363636364, 'bird': 0.2727272727272727, 'sparrow': 0.0}",0.03568740724355581
2692,2322841,3143880,http://manynames.upf.edu//2322841_3143880_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2322841.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2322841.jpg,animal,[{'33': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},33,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[42, 57, 260, 356]","[31, 44, 239, 325]","{'belt': 0.029411764705882353, 'man': 0.0, 'frame': 0.0, 'horse': 0.9705882352941176}","{'belt': 0.0, 'man': 0.08333333333333333, 'frame': 0.08333333333333333, 'horse': 0.8333333333333334}",0.9916230680853515
23671,2411207,360140,http://manynames.upf.edu//2411207_360140_cat.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2411207.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2411207.jpg,animal,[{'34': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},34,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[0, 63, 398, 311]","[0, 68, 481, 378]","{'frame': 0.0, 'control': 0.0, 'system': 0.0, 'object': 0.0, 'cat': 0.9714285714285714, 'remote': 0.0, 'room.': 0.0, 'game': 0.0, 'playing': 0.0, 'video': 0.0, 'bed': 0.0, 'pant': 0.02857142857142857, 'top': 0.0, 'controller': 0.0}","{'frame': 0.038461538461538464, 'control': 0.15384615384615385, 'system': 0.038461538461538464, 'object': 0.038461538461538464, 'cat': 0.3076923076923077, 'remote': 0.038461538461538464, 'room.': 0.038461538461538464, 'game': 0.07692307692307693, 'playing': 0.038461538461538464, 'video': 0.038461538461538464, 'bed': 0.038461538461538464, 'pant': 0.0, 'top': 0.038461538461538464, 'controller': 0.11538461538461539}",0.8636445734274641
2659,2322673,2949587,http://manynames.upf.edu//2322673_2949587_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2322673.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2322673.jpg,animal,[{'30': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},30,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[91, 125, 266, 206]","[102, 142, 325, 253]","{'picture': 0.0, 'person': 0.0, 'cart': 0.0, 'carriage': 0.0, 'dog': 0.0, 'man': 0.0, 'stripes': 0.0, 'horse': 0.8823529411764706, 'rope': 0.029411764705882353, 'hat': 0.0, 'belt': 0.029411764705882353, 'st.': 0.0, 'animal': 0.029411764705882353, 'parade': 0.0, 'wheel': 0.029411764705882353, 'street': 0.0}","{'picture': 0.07407407407407407, 'person': 0.037037037037037035, 'cart': 0.07407407407407407, 'carriage': 0.14814814814814814, 'dog': 0.037037037037037035, 'man': 0.037037037037037035, 'stripes': 0.037037037037037035, 'horse': 0.37037037037037035, 'rope': 0.0, 'hat': 0.07407407407407407, 'belt': 0.0, 'st.': 0.037037037037037035, 'animal': 0.0, 'parade': 0.037037037037037035, 'wheel': 0.0, 'street': 0.037037037037037035}",0.8895683404709792
19668,2394684,461968,http://manynames.upf.edu//2394684_461968_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2394684.jpg,sheep,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2394684.jpg,animal,[{'31': ['sheep']}],sheep,{'sheep': 1.0},{'sheep': {'None': 1.0}},31,1.0,0.0,1,animals_plants,train,{'sheep': {'sheep': 1.0}},"[123, 135, 374, 179]","[139, 153, 450, 219]","{'adust': 0.027777777777777776, 'hill': 0.0, 'it.': 0.0, 'front': 0.0, 'field': 0.0, 'lamb': 0.027777777777777776, 'goat': 0.027777777777777776, 'laying': 0.0, 'lam boy': 0.027777777777777776, 'grassy': 0.0, 'animal': 0.027777777777777776, 'sheep': 0.8611111111111112, 'wall': 0.0, 'frame': 0.0, 'words': 0.0, 'grass': 0.0, 'corner': 0.0, 'fence': 0.0, 'area': 0.0, 'resting': 0.0}","{'adust': 0.0, 'hill': 0.038461538461538464, 'it.': 0.038461538461538464, 'front': 0.038461538461538464, 'field': 0.038461538461538464, 'lamb': 0.0, 'goat': 0.0, 'laying': 0.038461538461538464, 'lam boy': 0.0, 'grassy': 0.038461538461538464, 'animal': 0.0, 'sheep': 0.38461538461538464, 'wall': 0.038461538461538464, 'frame': 0.038461538461538464, 'words': 0.038461538461538464, 'grass': 0.11538461538461539, 'corner': 0.038461538461538464, 'fence': 0.038461538461538464, 'area': 0.038461538461538464, 'resting': 0.038461538461538464}",0.9335573463546741
10715,2359293,3892843,http://manynames.upf.edu//2359293_3892843_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2359293.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2359293.jpg,animal,[{'35': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[28, 38, 453, 292]","[26, 38, 548, 356]","{'frame': 0.0, 'cap': 0.027777777777777776, 'man': 0.0, 'stallion': 0.0, 'horse': 0.9722222222222222, 'hat': 0.0}","{'frame': 0.08333333333333333, 'cap': 0.0, 'man': 0.16666666666666666, 'stallion': 0.08333333333333333, 'horse': 0.5833333333333334, 'hat': 0.08333333333333333}",0.962299869897092
14858,2374117,2116666,http://manynames.upf.edu//2374117_2116666_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2374117.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2374117.jpg,animal,[{'30': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},30,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[139, 90, 243, 169]","[159, 100, 297, 208]","{'name': 0.0, 'sweater': 0.0, 'suitcase': 0.0, 'bag': 0.03225806451612903, 'zipper': 0.0, 'dog': 0.0, 'object': 0.0, 'cat': 0.967741935483871, 'initials': 0.0, 'box': 0.0, 'top': 0.0, 'handle': 0.0}","{'name': 0.047619047619047616, 'sweater': 0.047619047619047616, 'suitcase': 0.23809523809523808, 'bag': 0.047619047619047616, 'zipper': 0.047619047619047616, 'dog': 0.047619047619047616, 'object': 0.047619047619047616, 'cat': 0.2857142857142857, 'initials': 0.047619047619047616, 'box': 0.047619047619047616, 'top': 0.047619047619047616, 'handle': 0.047619047619047616}",0.7559066109544427
21663,2403572,351810,http://manynames.upf.edu//2403572_351810_horse.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2403572.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2403572.jpg,animal,[{'29': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},29,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[0, 42, 326, 295]","[0, 43, 396, 359]","{'mules': 0.0, 'wagon': 0.0, 'girl': 0.0, 'horse': 0.9354838709677419, 'pant': 0.03225806451612903, 'photograph': 0.0, 'belt': 0.03225806451612903, 'horses': 0.0, 'harness': 0.0, 'plow': 0.0, 'pair': 0.0}","{'mules': 0.05555555555555555, 'wagon': 0.1111111111111111, 'girl': 0.05555555555555555, 'horse': 0.2777777777777778, 'pant': 0.0, 'photograph': 0.05555555555555555, 'belt': 0.0, 'horses': 0.16666666666666666, 'harness': 0.05555555555555555, 'plow': 0.16666666666666666, 'pair': 0.05555555555555555}",0.7222709516159438
6825,2344348,2625527,http://manynames.upf.edu//2344348_2625527_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2344348.jpg,dog,animals_plants,dog.n.01,{},1.0,{'None': 1.0},2344348.jpg,animal,[{'32': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[0, 62, 347, 347]","[0, 48, 311, 317]","{'while': 0.0, 'dog': 0.9411764705882353, 'staring': 0.029411764705882353, 'wheel': 0.0, 'steering': 0.0, 'car': 0.029411764705882353}","{'while': 0.07692307692307693, 'dog': 0.6923076923076923, 'staring': 0.0, 'wheel': 0.07692307692307693, 'steering': 0.07692307692307693, 'car': 0.07692307692307693}",0.9894647387391887
1872,2318499,2724707,http://manynames.upf.edu//2318499_2724707_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2318499.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2318499.jpg,animal,[{'32': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[106, 185, 124, 314]","[88, 158, 118, 288]","{'name': 0.0, 'suitcase': 0.030303030303030304, 'object': 0.0, 'cat': 0.9696969696969697, 'box': 0.0, 'hiding': 0.0, 'cat.': 0.0, 'head': 0.0, 'mouth': 0.0}","{'name': 0.08, 'suitcase': 0.16, 'object': 0.08, 'cat': 0.36, 'box': 0.16, 'hiding': 0.04, 'cat.': 0.04, 'head': 0.04, 'mouth': 0.04}",0.8939335862563665
6842,2344407,1043550,http://manynames.upf.edu//2344407_1043550_mouse.png,https://cs.stanford.edu/people/rak248/VG_100K/2344407.jpg,mouse,animals_plants,rodent.n.01,"{'computer mouse': 1.0, 'mouse': 1.0}",1.0,{'None': 1.0},2344407.jpg,animal,"[{'35': ['mouse', 'computer mouse']}]",mouse,"{'mouse': 1.0, 'computer mouse': 1.0}","{'mouse': {'None': 1.0}, 'computer mouse': {'None': 1.0}}",35,0.9142857142857144,0.4220005168831531,2,animals_plants,train,"{'mouse': {'mouse': 1.0, 'computer mouse': 1.0}, 'computer mouse': {'mouse': 1.0, 'computer mouse': 1.0}}","[144, 33, 311, 224]","[165, 32, 378, 274]","{'computer mouse': 0.08571428571428572, 'product': 0.0, 'silver': 0.0, 'mouse': 0.9142857142857143, 'metal': 0.0, 'wireless': 0.0, 'picture.': 0.0, 'computer': 0.0, 'mouse.': 0.0}","{'computer mouse': 0.0, 'product': 0.05555555555555555, 'silver': 0.05555555555555555, 'mouse': 0.5555555555555556, 'metal': 0.05555555555555555, 'wireless': 0.05555555555555555, 'picture.': 0.05555555555555555, 'computer': 0.1111111111111111, 'mouse.': 0.05555555555555555}",0.970409025018003
12278,2364782,1899525,http://manynames.upf.edu//2364782_1899525_flowers.png,https://cs.stanford.edu/people/rak248/VG_100K/2364782.jpg,flower,animals_plants,flower.n.01,{'flowers': 1.0},0.83,"{'bounding box': 0.3, 'None': 0.7}",2364782.jpg,"plant, flora, plant life","[{'33': ['flowers', 'flower']}]",flowers,"{'flowers': 0.83, 'flower': 0.83}","{'flowers': {'None': 0.7, 'bounding box': 0.3}, 'flower': {'None': 0.7, 'bounding box': 0.3}}",33,0.5757575757575758,0.9833761901392236,2,animals_plants,train,"{'flowers': {'flowers': 1.0, 'flower': 1.0}, 'flower': {'flowers': 1.0, 'flower': 1.0}}","[8, 30, 312, 230]","[0, 20, 286, 213]","{'orange': 0.0, 'picture': 0.0, 'flower': 0.4, 'vase': 0.02857142857142857, 'flowers.': 0.0, 'frame': 0.0, 'flower bott': 0.02857142857142857, 'flowers': 0.5428571428571428, 'ribbon': 0.0, 'table': 0.0, 'building': 0.0, 'roses': 0.0, 'rectangle': 0.0, 'stems': 0.0, 'arrangement': 0.0}","{'orange': 0.03225806451612903, 'picture': 0.03225806451612903, 'flower': 0.06451612903225806, 'vase': 0.3225806451612903, 'flowers.': 0.03225806451612903, 'frame': 0.06451612903225806, 'flower bott': 0.0, 'flowers': 0.22580645161290322, 'ribbon': 0.03225806451612903, 'table': 0.03225806451612903, 'building': 0.03225806451612903, 'roses': 0.03225806451612903, 'rectangle': 0.03225806451612903, 'stems': 0.03225806451612903, 'arrangement': 0.03225806451612903}",0.4451245588246569
10889,2359891,790588,http://manynames.upf.edu//2359891_790588_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2359891.jpg,cat,animals_plants,feline.n.01,"{'cat': 1.0, 'animal': 1.0}",1.0,{'None': 1.0},2359891.jpg,animal,"[{'36': ['cat', 'animal']}]",cat,"{'cat': 1.0, 'animal': 1.0}","{'cat': {'None': 1.0}, 'animal': {'None': 1.0}}",36,0.9444444444444444,0.3095434291503252,2,animals_plants,train,"{'cat': {'cat': 1.0, 'animal': 1.0}, 'animal': {'cat': 1.0, 'animal': 1.0}}","[77, 2, 423, 306]","[85, 0, 512, 372]","{'name': 0.0, 'dish': 0.0, 'orange': 0.0, 'glass': 0.0, 'cup': 0.0, 'bowl': 0.0, 'cats': 0.0, 'cat': 0.9444444444444444, 'head': 0.0, 'comforter': 0.0, 'animal': 0.05555555555555555}","{'name': 0.037037037037037035, 'dish': 0.037037037037037035, 'orange': 0.037037037037037035, 'glass': 0.1111111111111111, 'cup': 0.037037037037037035, 'bowl': 0.2222222222222222, 'cats': 0.037037037037037035, 'cat': 0.2962962962962963, 'head': 0.14814814814814814, 'comforter': 0.037037037037037035, 'animal': 0.0}",0.7070388599236416
17829,2385979,684619,http://manynames.upf.edu//2385979_684619_bird.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2385979.jpg,duck,animals_plants,bird.n.01,{'bird': 1.0},0.83,"{'visual': 0.3, 'None': 0.7}",2385979.jpg,animal,[{'27': ['bird']}],bird,{'bird': 1.0},{'bird': {'None': 1.0}},27,1.0,0.0,1,animals_plants,train,{'bird': {'bird': 1.0}},"[109, 90, 283, 122]","[123, 100, 345, 153]","{'picture': 0.0, 'left': 0.0, 'birds': 0.0, 'spread': 0.0, 'block sparrow': 0.03225806451612903, 'bird': 0.8709677419354839, 'seagull': 0.0, 'osprey': 0.0, 'sparrow': 0.03225806451612903, 'wings': 0.0, 'crow': 0.0, 'fish': 0.0, 'duck': 0.03225806451612903, 'water': 0.03225806451612903, 'mouth': 0.0}","{'picture': 0.0625, 'left': 0.0625, 'birds': 0.0625, 'spread': 0.0625, 'block sparrow': 0.0, 'bird': 0.3125, 'seagull': 0.0625, 'osprey': 0.125, 'sparrow': 0.0, 'wings': 0.0625, 'crow': 0.0625, 'fish': 0.0625, 'duck': 0.0, 'water': 0.0, 'mouth': 0.0625}",0.8614014788656784
6042,2341191,2951701,http://manynames.upf.edu//2341191_2951701_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2341191.jpg,cat,animals_plants,feline.n.01,{'keyboarder': 0.33},1.0,{'None': 1.0},2341191.jpg,animal,"[{'2': ['keyboarder']}, {'31': ['cat']}]",cat,"{'cat': 1.0, 'keyboarder': 0.67}","{'cat': {'None': 1.0}, 'keyboarder': {'None': 0.3, 'bounding box': 0.3, 'linguistic': 0.3}}",33,0.9393939393939394,0.3298460702071463,2,animals_plants,train,"{'cat': {'cat': 1.0, 'keyboarder': 0.33}, 'keyboarder': {'cat': 0.33, 'keyboarder': 1.0}}","[1, 1, 389, 372]","[0, 0, 471, 447]","{'mouse': 0.0, 'cat': 0.9117647058823529, 'keyboard': 0.0, 'whisker': 0.029411764705882353, 'cat.': 0.0, 'keyboarder': 0.058823529411764705}","{'mouse': 0.07142857142857142, 'cat': 0.5714285714285714, 'keyboard': 0.21428571428571427, 'whisker': 0.0, 'cat.': 0.14285714285714285, 'keyboarder': 0.0}",0.9008180303103683
24691,2415290,142433,http://manynames.upf.edu//2415290_142433_giraffe.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2415290.jpg,giraffe,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2415290.jpg,animal,[{'34': ['giraffe']}],giraffe,{'giraffe': 1.0},{'giraffe': {'None': 1.0}},34,1.0,0.0,1,animals_plants,train,{'giraffe': {'giraffe': 1.0}},"[66, 151, 266, 275]","[52, 128, 245, 253]","{'orange': 0.0, 'giraffe': 0.9714285714285714, 'zebra': 0.02857142857142857, 'picture': 0.0, 'tree': 0.0, 'left': 0.0, 'leaves': 0.0, 'object': 0.0, 'wire': 0.0, 'background': 0.0, 'head': 0.0, 'face': 0.0, 'fence': 0.0, 'zoo': 0.0}","{'orange': 0.041666666666666664, 'giraffe': 0.4166666666666667, 'zebra': 0.0, 'picture': 0.041666666666666664, 'tree': 0.041666666666666664, 'left': 0.041666666666666664, 'leaves': 0.041666666666666664, 'object': 0.041666666666666664, 'wire': 0.041666666666666664, 'background': 0.041666666666666664, 'head': 0.125, 'face': 0.041666666666666664, 'fence': 0.041666666666666664, 'zoo': 0.041666666666666664}",0.9641555777334613
4180,2331108,2757670,http://manynames.upf.edu//2331108_2757670_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2331108.jpg,dog,animals_plants,dog.n.01,{},1.0,{'None': 1.0},2331108.jpg,animal,[{'32': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[247, 0, 171, 285]","[288, 0, 211, 347]","{'name': 0.0, 'frisbee': 0.0, 'fields': 0.030303030303030304, 'dog': 0.9696969696969697, 'object': 0.0, 'box': 0.0}","{'name': 0.06666666666666667, 'frisbee': 0.4, 'fields': 0.0, 'dog': 0.4, 'object': 0.06666666666666667, 'box': 0.06666666666666667}",0.6156812699768897
