Unnamed: 0,vg_image_id,vg_object_id,image,link_vg,vg_obj_name,vg_domain,vg_synset,vg_same_object,vg_adequacy_mean,vg_inadequacy_type,vg_image_name,vg_cat,clusters,topname,adequacy_mean,inadequacy_type,total_responses,perc_top,H,N,domain,split,same_object,vg_bbox_xywh,mn_bbox_xywh,human_nouns,blip2_output
2692,2322841,3143880,http://manynames.upf.edu//2322841_3143880_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2322841.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2322841.jpg,animal,[{'33': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},33,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[42, 57, 260, 356]","[31, 44, 239, 325]","{'horse': 33, 'belt': 1}","[['the horse is a horse.  the red frame is a frame of a picture of a horse.'], ['this is a horse with a black face, a black body, and a white head.'], ['a horse with a red frame'], [""the horse's face""], ['horse'], ['a horse'], ['a horse'], ['a horse'], ['the horse'], ['a horse.']]"
23671,2411207,360140,http://manynames.upf.edu//2411207_360140_cat.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2411207.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2411207.jpg,animal,[{'34': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},34,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[0, 63, 398, 311]","[0, 68, 481, 378]","{'cat': 34, 'pant': 1}","[['a cat holding a wii remote'], ['this is a cat playing with a remote control'], ['this cat is holding a wii remote controller'], ['the remote control.'], [""this is a cat's hand""], ['a cat'], ['the cat'], ['the white wii remote'], ['a cat on a blanket'], ['cat playing with a wii remote']]"
2659,2322673,2949587,http://manynames.upf.edu//2322673_2949587_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2322673.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2322673.jpg,animal,[{'30': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},30,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[91, 125, 266, 206]","[102, 142, 325, 253]","{'horse': 30, 'rope': 1, 'wheel': 1, 'belt': 1, 'animal': 1}","[['the man in the green hat pulling a white horse through the streets of paris, france'], ['horse pulling a cart with people in it'], ['a white horse pulling a carriage'], ['the white horse in the picture'], ['a horse-drawn carriage on the street'], ['horse and carriage drawn by two black and white horses'], ['the white horse in the street'], ['a horse drawn carriage in front of a green screen'], ['the horse'], ['a horse pulling a carriage']]"
19668,2394684,461968,http://manynames.upf.edu//2394684_461968_sheep.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2394684.jpg,sheep,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2394684.jpg,animal,[{'31': ['sheep']}],sheep,{'sheep': 1.0},{'sheep': {'None': 1.0}},31,1.0,0.0,1,animals_plants,train,{'sheep': {'sheep': 1.0}},"[123, 135, 374, 179]","[139, 153, 450, 219]","{'sheep': 31, 'animal': 1, 'lam boy': 1, 'adust': 1, 'goat': 1, 'lamb': 1}","[['sheep with two ears standing'], ['a sheep in the grass'], ['this is a sheep'], ['sheep laying down'], ['sheep, a goat, a sheepdog, a sheep, a lamb, a sheepdog, a'], ['sheep in the green grass'], [""a sheep, it's head is turned to the right""], ['sheep'], ['sheep laying down in a field'], ['sheep']]"
10715,2359293,3892843,http://manynames.upf.edu//2359293_3892843_horse.png,https://cs.stanford.edu/people/rak248/VG_100K/2359293.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2359293.jpg,animal,[{'35': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},35,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[28, 38, 453, 292]","[26, 38, 548, 356]","{'horse': 35, 'cap': 1}","[['a horse'], ['the cowboy on the left is looking at the horse with his hat on.'], ['a cowboy, a horse, a horse, a horse, a horse, a horse, a horse'], ['a horse'], ['horse'], ['the horse in the middle'], ['the big brown horse in the red box with the name ""cody"" in the middle'], ['a horse in a stall'], ['a horse'], ['a man with a hat and a horse']]"
14858,2374117,2116666,http://manynames.upf.edu//2374117_2116666_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2374117.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2374117.jpg,animal,[{'30': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},30,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[139, 90, 243, 169]","[159, 100, 297, 208]","{'cat': 30, 'bag': 1}","[['the cat'], ['a black and white cat'], ['a cat in a suitcase'], ['the cat is curled up in the suitcase, with the name ""lola"" written in the red'], ['the cat'], ['a cat that is lying in a suitcase'], ['the object in the red box with the first name that comes to mind is the cat.'], ['this is a cat'], ['a black and white cat'], ['this is a cat']]"
21663,2403572,351810,http://manynames.upf.edu//2403572_351810_horse.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2403572.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2403572.jpg,animal,[{'29': ['horse']}],horse,{'horse': 1.0},{'horse': {'None': 1.0}},29,1.0,0.0,1,animals_plants,train,{'horse': {'horse': 1.0}},"[0, 42, 326, 295]","[0, 43, 396, 359]","{'horse': 29, 'pant': 1, 'belt': 1}","[['the black horse, the red wagon, the white hat, the white dress, the white pants,'], ['a horse and buggy'], ['person'], ['person, person, person, person, person, person, person, person, person, person,'], ['a horse'], ['this photo is of a woman and a horse pulling a buggy'], ['the man in the hat'], ['this is a picture of a woman pulling a horse and carriage down a road in black and white'], ['person'], ['person']]"
6825,2344348,2625527,http://manynames.upf.edu//2344348_2625527_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2344348.jpg,dog,animals_plants,dog.n.01,{},1.0,{'None': 1.0},2344348.jpg,animal,[{'32': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[0, 62, 347, 347]","[0, 48, 311, 317]","{'dog': 32, 'staring': 1, 'car': 1}","[['the dog'], ['a dog sitting in the car'], [""this is a very large dog sitting on the driver's seat of a car""], ['my dog'], ['my dog, max'], ['the dog in the photo'], ['this is a dog, a poodle.'], ['the dog that is driving the car'], [""my dog.  he loves to drive around.  it's a fun way to pass the time""], ['a dog']]"
1872,2318499,2724707,http://manynames.upf.edu//2318499_2724707_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2318499.jpg,cat,animals_plants,feline.n.01,{},1.0,{'None': 1.0},2318499.jpg,animal,[{'32': ['cat']}],cat,{'cat': 1.0},{'cat': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'cat': {'cat': 1.0}},"[106, 185, 124, 314]","[88, 158, 118, 288]","{'cat': 32, 'suitcase': 1}","[['a cat inside a suitcase'], ['cat in a suitcase'], ['a cat'], ['a cat'], ['my cat, who is not in the picture, is hiding in the bottom of the box'], ['a cat is sitting inside the suitcase'], ['a cat'], ['the box with the cat in it'], ['my cat'], ['a black cat sitting in a suitcase']]"
6842,2344407,1043550,http://manynames.upf.edu//2344407_1043550_mouse.png,https://cs.stanford.edu/people/rak248/VG_100K/2344407.jpg,mouse,animals_plants,rodent.n.01,"{'computer mouse': 1.0, 'mouse': 1.0}",1.0,{'None': 1.0},2344407.jpg,animal,"[{'35': ['mouse', 'computer mouse']}]",mouse,"{'mouse': 1.0, 'computer mouse': 1.0}","{'mouse': {'None': 1.0}, 'computer mouse': {'None': 1.0}}",35,0.9142857142857144,0.4220005168831531,2,animals_plants,train,"{'mouse': {'mouse': 1.0, 'computer mouse': 1.0}, 'computer mouse': {'mouse': 1.0, 'computer mouse': 1.0}}","[144, 33, 311, 224]","[165, 32, 378, 274]","{'mouse': 32, 'computer mouse': 3}","[['microsoft mouse'], ['mouse'], ['a computer mouse'], ['a computer mouse'], ['a computer mouse.'], ['the mouse in the photo.'], ['a computer mouse'], ['a computer mouse'], ['the mouse'], ['a mouse']]"
12278,2364782,1899525,http://manynames.upf.edu//2364782_1899525_flowers.png,https://cs.stanford.edu/people/rak248/VG_100K/2364782.jpg,flower,animals_plants,flower.n.01,{'flowers': 1.0},0.83,"{'bounding box': 0.3, 'None': 0.7}",2364782.jpg,"plant, flora, plant life","[{'33': ['flowers', 'flower']}]",flowers,"{'flowers': 0.83, 'flower': 0.83}","{'flowers': {'None': 0.7, 'bounding box': 0.3}, 'flower': {'None': 0.7, 'bounding box': 0.3}}",33,0.5757575757575758,0.9833761901392236,2,animals_plants,train,"{'flowers': {'flowers': 1.0, 'flower': 1.0}, 'flower': {'flowers': 1.0, 'flower': 1.0}}","[8, 30, 312, 230]","[0, 20, 286, 213]","{'flowers': 19, 'flower': 14, 'flower bott': 1, 'vase': 1}","[['the flower vase'], ['a white vase with a flower in it'], ['a vase of flowers'], ['this is a vase with yellow flowers.'], ['a white vase with yellow flowers'], ['a vase of dried flowers'], ['a white vase with a single yellow flower'], ['an arrangement of dried flowers in a vase on a shelf'], ['a white vase with orange flowers'], ['an empty white vase with some dead flowers and a red box']]"
10889,2359891,790588,http://manynames.upf.edu//2359891_790588_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2359891.jpg,cat,animals_plants,feline.n.01,"{'cat': 1.0, 'animal': 1.0}",1.0,{'None': 1.0},2359891.jpg,animal,"[{'36': ['cat', 'animal']}]",cat,"{'cat': 1.0, 'animal': 1.0}","{'cat': {'None': 1.0}, 'animal': {'None': 1.0}}",36,0.9444444444444444,0.3095434291503252,2,animals_plants,train,"{'cat': {'cat': 1.0, 'animal': 1.0}, 'animal': {'cat': 1.0, 'animal': 1.0}}","[77, 2, 423, 306]","[85, 0, 512, 372]","{'cat': 34, 'animal': 2}","[['a bowl on the head of a cat'], ['a cat with a cup'], ['a black and white cat with a cup on its head'], ['a glass of milk.'], ['the object is a cup'], ['the black cat on the right has a cat-bowl on his head.'], [""the cat's head""], ['the cat with the glass'], ['the cat'], ['a cat wearing a dish with a cup on it']]"
17829,2385979,684619,http://manynames.upf.edu//2385979_684619_bird.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2385979.jpg,duck,animals_plants,bird.n.01,{'bird': 1.0},0.83,"{'visual': 0.3, 'None': 0.7}",2385979.jpg,animal,[{'27': ['bird']}],bird,{'bird': 1.0},{'bird': {'None': 1.0}},27,1.0,0.0,1,animals_plants,train,{'bird': {'bird': 1.0}},"[109, 90, 283, 122]","[123, 100, 345, 153]","{'bird': 27, 'duck': 1, 'water': 1, 'block sparrow': 1, 'sparrow': 1}","[['the red box is a flock of seagulls'], ['a pelican with wings outstretched'], ['the bird in the picture is a black bird'], ['the birds are a species of cormorant, and the red frame is a camera, which'], ['this is a pelican'], ['this bird is standing on the water, with its wings outstretched, while other birds gather around it'], ['the first thing that came to mind was a bird, a crow or a raven'], ['the bird with wings folded in front of a body of water'], ['the bird in the photo is a heron'], ['this is a pelican']]"
6042,2341191,2951701,http://manynames.upf.edu//2341191_2951701_cat.png,https://cs.stanford.edu/people/rak248/VG_100K/2341191.jpg,cat,animals_plants,feline.n.01,{'keyboarder': 0.33},1.0,{'None': 1.0},2341191.jpg,animal,"[{'2': ['keyboarder']}, {'31': ['cat']}]",cat,"{'cat': 1.0, 'keyboarder': 0.67}","{'cat': {'None': 1.0}, 'keyboarder': {'None': 0.3, 'bounding box': 0.3, 'linguistic': 0.3}}",33,0.9393939393939394,0.3298460702071463,2,animals_plants,train,"{'cat': {'cat': 1.0, 'keyboarder': 0.33}, 'keyboarder': {'cat': 0.33, 'keyboarder': 1.0}}","[1, 1, 389, 372]","[0, 0, 471, 447]","{'cat': 31, 'keyboarder': 2, 'whisker': 1}","[['cat'], ['my laptop keyboard'], ['this is a black cat'], ['the computer mouse'], ['the cat'], ['cat'], ['the keyboard on the laptop'], ['this is a cat'], ['a cat'], ['a cat is looking into the camera.']]"
24691,2415290,142433,http://manynames.upf.edu//2415290_142433_giraffe.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2415290.jpg,giraffe,animals_plants,ungulate.n.01,{},1.0,{'None': 1.0},2415290.jpg,animal,[{'34': ['giraffe']}],giraffe,{'giraffe': 1.0},{'giraffe': {'None': 1.0}},34,1.0,0.0,1,animals_plants,train,{'giraffe': {'giraffe': 1.0}},"[66, 151, 266, 275]","[52, 128, 245, 253]","{'giraffe': 34, 'zebra': 1}","[['a giraffe, behind the fence'], ['a giraffe'], ['the giraffe'], ['the giraffe is the object'], ['this is a giraffe, with the red box in the background'], ['giraffe, in the pen behind the fence'], ['giraffe in the background'], ['a giraffe.'], ['a giraffe, looking up at a tree'], ['this is a giraffe in a zoo']]"
4180,2331108,2757670,http://manynames.upf.edu//2331108_2757670_dog.png,https://cs.stanford.edu/people/rak248/VG_100K/2331108.jpg,dog,animals_plants,dog.n.01,{},1.0,{'None': 1.0},2331108.jpg,animal,[{'32': ['dog']}],dog,{'dog': 1.0},{'dog': {'None': 1.0}},32,1.0,0.0,1,animals_plants,train,{'dog': {'dog': 1.0}},"[247, 0, 171, 285]","[288, 0, 211, 347]","{'dog': 32, 'fields': 1}","[['frisbee'], ['the object in the red box with the first name that comes to mind is a dog'], [""the object is a dog's mouth.""], ['a dog with a frisbee'], ['a dog running with a frisbee in his mouth'], ['frisbee'], ['the object is a black dog with a frisbee in its mouth'], ['dog'], ['dog'], ['a frisbee']]"
15893,2377847,1979305,http://manynames.upf.edu//2377847_1979305_horse.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2377847.jpg,horse,animals_plants,horse.n.01,{},1.0,{'None': 1.0},2377847.jpg,animal,"[{'2': ['shoe']}, {'33': ['horse']}]",horse,"{'shoe': 0.33, 'horse': 1.0}","{'shoe': {'bounding box': 1.0}, 'horse': {'None': 1.0}}",33,1.0,0.0,1,animals_plants,train,"{'shoe': {'shoe': 1.0, 'horse': 0.0}, 'horse': {'shoe': 0.0, 'horse': 1.0}}","[84, 195, 331, 230]","[68, 167, 303, 213]","{'horse': 33, 'shoe': 2, 'animal': 1}","[['the object is a white horse'], ['the white horse'], ['the object is a horse'], ['the person in the red box'], ['a white horse'], ['the person riding the horse'], ['a horse'], ['a horse jumping over a jump'], ['horse'], ['the horse']]"
7719,2347901,886438,http://manynames.upf.edu//2347901_886438_food.png,https://cs.stanford.edu/people/rak248/VG_100K/2347901.jpg,fish,animals_plants,fish.n.01,"{'chicken': 0.75, 'food': 0.5, 'pork chop': 0.75, 'meat': 0.75}",0.38,"{'visual': 0.5, 'other': 0.2, 'None': 0.2}",2347901.jpg,animal,"[{'29': ['food', 'fish', 'meat', 'pork chop', 'chicken']}]",food,"{'fish': 0.38, 'meat': 1.0, 'food': 1.0, 'chicken': 0.5, 'pork chop': 1.0}","{'fish': {'visual': 0.5, 'other': 0.2, 'None': 0.2}, 'meat': {'None': 1.0}, 'food': {'None': 1.0}, 'chicken': {'visual': 0.5, 'other': 0.2, 'None': 0.2}, 'pork chop': {'None': 1.0}}",26,0.3461538461538461,1.8324233708223008,4,food,train,"{'fish': {'fish': 1.0, 'meat': 0.75, 'food': 0.5, 'chicken': 0.75, 'pork chop': 0.75}, 'meat': {'fish': 0.75, 'meat': 1.0, 'food': 0.75, 'chicken': 0.75, 'pork chop': 1.0}, 'food': {'fish': 0.5, 'meat': 0.75, 'food': 1.0, 'chicken': 0.5, 'pork chop': 0.75}, 'chicken': {'fish': 0.75, 'meat': 0.75, 'food': 0.5, 'chicken': 1.0, 'pork chop': 0.75}, 'pork chop': {'fish': 0.75, 'meat': 1.0, 'food': 0.75, 'chicken': 0.75, 'pork chop': 1.0}}","[32, 124, 239, 187]","[31, 141, 292, 230]","{'meat': 9, 'food': 9, 'chicken': 6, 'pork chop': 2, 'fish': 3, 'bread': 1, 'pork': 1, 'pizza': 1, 'broccoli': 1, 'burger': 1}","[['the food on the plate'], ['the object in the red box with the first name that comes to mind is a piece of meat'], ['meat, broccoli and a side of ketchup'], ['meat, broccoli, red box'], ['this is a piece of meat'], ['a piece of meat'], ['a piece of cooked pork with broccoli'], ['the food'], ['a plate of food'], ['the image is a steak']]"
20951,2400630,407107,http://manynames.upf.edu//2400630_407107_horse.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2400630.jpg,horse,animals_plants,horse.n.01,{'animal': 1.0},1.0,{'None': 1.0},2400630.jpg,animal,"[{'34': ['horse', 'animal']}]",horse,"{'horse': 1.0, 'animal': 1.0}","{'horse': {'None': 1.0}, 'animal': {'None': 1.0}}",34,0.9411764705882352,0.3227569588973982,2,animals_plants,train,"{'horse': {'horse': 1.0, 'animal': 1.0}, 'animal': {'horse': 1.0, 'animal': 1.0}}","[1, 89, 190, 288]","[0, 98, 232, 348]","{'horse': 32, 'animal': 2, 'soil': 1}","[['horse'], ['horse'], ['a horse'], ['horse'], ['horse'], ['horse'], ['the horse'], ['person'], ['horse'], ['horse']]"
