index,image_file,fromage_filtered_output
137,data/images/quantifier/test_137.png,"['most', 'the smaller part', 'all', 'most', 'few']"
143,data/images/quantifier/test_143.png,"['the smaller part', 'many', 'almost all', 'the smaller part', 'few']"
148,data/images/quantifier/test_148.png,"['most', 'the smaller part', 'few', 'many', 'almost none']"
153,data/images/quantifier/test_153.png,"['some', 'the smaller part', 'few', 'few', 'some']"
155,data/images/quantifier/test_155.png,"['almost none', 'most', 'few', 'the smaller part', 'almost all']"
166,data/images/quantifier/test_166.png,"['the smaller part', 'none', 'the smaller part', 'all', 'most']"
170,data/images/quantifier/test_170.png,"['all', 'the smaller part', 'some', 'most', 'almost all']"
174,data/images/quantifier/test_174.png,"['none', 'most', 'none', 'all', 'the smaller part']"
178,data/images/quantifier/test_178.png,"['all', 'many', 'most', 'the smaller part', 'the smaller part']"
180,data/images/quantifier/test_180.png,"['most', 'almost all', 'all', 'the smaller part', 'most']"
182,data/images/quantifier/test_182.png,"['none', 'almost none', 'all', 'the smaller part', 'most']"
195,data/images/quantifier/test_195.png,"['the smaller part', 'all', 'many', 'many', 'none']"
196,data/images/quantifier/test_196.png,"['most', 'almost all', 'some', 'the smaller part', 'all']"
203,data/images/quantifier/test_203.png,"['all', 'almost none', 'all', 'almost none', 'all']"
205,data/images/quantifier/test_205.png,"['some', 'most', 'almost all', 'many', 'all']"
207,data/images/quantifier/test_207.png,"['few', 'all', 'most', 'the smaller part', 'all']"
211,data/images/quantifier/test_211.png,"['all', 'none', 'many', 'most', 'all']"
212,data/images/quantifier/test_212.png,"['most', 'many', 'almost all', 'most', 'most']"
215,data/images/quantifier/test_215.png,"['the smaller part', 'many', 'almost none', 'most', 'almost none']"
219,data/images/quantifier/test_219.png,"['many', 'all', 'almost all', 'almost all', 'most']"
223,data/images/quantifier/test_223.png,"['the smaller part', 'almost all', 'none', 'all', 'almost all']"
224,data/images/quantifier/test_224.png,"['all', 'most', 'all', 'all', 'all']"
225,data/images/quantifier/test_225.png,"['none', 'many', 'most', 'many', 'almost all']"
230,data/images/quantifier/test_230.png,"['the smaller part', 'the smaller part', 'some', 'all', 'many']"
231,data/images/quantifier/test_231.png,"['most', 'none', 'none', 'almost all', 'most']"
235,data/images/quantifier/test_235.png,"['some', 'the smaller part', 'almost all', 'almost none', 'most']"
242,data/images/quantifier/test_242.png,"['many', 'almost all', 'almost all', 'almost none', 'all']"
246,data/images/quantifier/test_246.png,"['many', 'the smaller part', 'almost all', 'all', 'almost none']"
247,data/images/quantifier/test_247.png,"['none', 'none', 'almost all', 'almost none', 'most']"
255,data/images/quantifier/test_255.png,"['all', 'the smaller part', 'the smaller part', 'all', 'the smaller part']"
260,data/images/quantifier/test_260.png,"['almost all', 'many', 'most', 'almost all', 'most']"
261,data/images/quantifier/test_261.png,"['some', 'most', 'the smaller part', 'many', 'all']"
263,data/images/quantifier/test_263.png,"['many', 'almost none', 'almost all', 'none', 'the smaller part']"
278,data/images/quantifier/test_278.png,"['many', 'most', 'most', 'the smaller part', 'many']"
287,data/images/quantifier/test_287.png,"['all', 'some', 'most', 'the smaller part', 'almost all']"
307,data/images/quantifier/test_307.png,"['the smaller part', 'few', 'almost all', 'almost none', 'almost none']"
308,data/images/quantifier/test_308.png,"['almost all', 'almost none', 'almost none', 'most', 'the smaller part']"
317,data/images/quantifier/test_317.png,"['the smaller part', 'almost none', 'almost all', 'the smaller part', 'almost none']"
324,data/images/quantifier/test_324.png,"['many', 'many', 'almost all', 'most', 'the smaller part']"
328,data/images/quantifier/test_328.png,"['almost none', 'the smaller part', 'almost none', 'the smaller part', 'the smaller part']"
333,data/images/quantifier/test_333.png,"['all', 'some', 'all', 'almost none', 'most']"
340,data/images/quantifier/test_340.png,"['most', 'most', 'most', 'all', 'almost none']"
345,data/images/quantifier/test_345.png,"['none', 'almost all', 'the smaller part', 'all', 'almost none']"
348,data/images/quantifier/test_348.png,"['some', 'some', 'most', 'most', 'most']"
351,data/images/quantifier/test_351.png,"['almost all', 'the smaller part', 'few', 'the smaller part', 'none']"
357,data/images/quantifier/test_357.png,"['almost none', 'almost none', 'most', 'most', 'many']"
358,data/images/quantifier/test_358.png,"['all', 'almost none', 'most', 'all', 'none']"
362,data/images/quantifier/test_362.png,"['some', 'few', 'the smaller part', 'some', 'many']"
363,data/images/quantifier/test_363.png,"['almost all', 'many', 'some', 'almost all', 'none']"
371,data/images/quantifier/test_371.png,"['most', 'most', 'almost all', 'most', 'almost none']"
374,data/images/quantifier/test_374.png,"['many', 'all', 'the smaller part', 'few', 'most']"
375,data/images/quantifier/test_375.png,"['most', 'some', 'most', 'the smaller part', 'the smaller part']"
383,data/images/quantifier/test_383.png,"['many', 'none', 'almost all', 'the smaller part', 'the smaller part']"
385,data/images/quantifier/test_385.png,"['the smaller part', 'all', 'almost none', 'almost none', 'the smaller part']"
387,data/images/quantifier/test_387.png,"['many', 'many', 'many', 'the smaller part', 'some']"
390,data/images/quantifier/test_390.png,"['many', 'almost all', 'most', 'the smaller part', 'the smaller part']"
394,data/images/quantifier/test_394.png,"['most', 'most', 'most', 'none', 'almost none']"
396,data/images/quantifier/test_396.png,"['few', 'many', 'none', 'many', 'almost none']"
398,data/images/quantifier/test_398.png,"['almost none', 'many', 'all', 'the smaller part', 'almost none']"
404,data/images/quantifier/test_404.png,"['the smaller part', 'almost none', 'some', 'all', 'most']"
406,data/images/quantifier/test_406.png,"['most', 'all', 'almost none', 'the smaller part', 'many']"
407,data/images/quantifier/test_407.png,"['most', 'the smaller part', 'most', 'all', 'almost none']"
410,data/images/quantifier/test_410.png,"['all', 'some', 'almost none', 'the smaller part', 'most']"
411,data/images/quantifier/test_411.png,"['the smaller part', 'most', 'most', 'almost none', 'all']"
413,data/images/quantifier/test_413.png,"['none', 'many', 'the smaller part', 'almost none', 'some']"
419,data/images/quantifier/test_419.png,"['few', 'all', 'most', 'the smaller part', 'all']"
426,data/images/quantifier/test_426.png,"['almost none', 'most', 'almost none', 'the smaller part', 'almost none']"
428,data/images/quantifier/test_428.png,"['most', 'many', 'almost none', 'many', 'none']"
429,data/images/quantifier/test_429.png,"['the smaller part', 'most', 'most', 'the smaller part', 'all']"
432,data/images/quantifier/test_432.png,"['all', 'some', 'none', 'almost all', 'most']"
433,data/images/quantifier/test_433.png,"['many', 'most', 'almost all', 'all', 'almost none']"
436,data/images/quantifier/test_436.png,"['almost all', 'almost none', 'the smaller part', 'most', 'none']"
443,data/images/quantifier/test_443.png,"['almost none', 'all', 'most', 'almost none', 'almost all']"
445,data/images/quantifier/test_445.png,"['many', 'all', 'all', 'none', 'almost none']"
454,data/images/quantifier/test_454.png,"['none', 'most', 'almost all', 'few', 'most']"
463,data/images/quantifier/test_463.png,"['all', 'the smaller part', 'all', 'almost none', 'some']"
472,data/images/quantifier/test_472.png,"['almost none', 'most', 'the smaller part', 'all', 'most']"
473,data/images/quantifier/test_473.png,"['most', 'all', 'almost none', 'almost none', 'almost none']"
483,data/images/quantifier/test_483.png,"['many', 'most', 'almost all', 'almost all', 'many']"
484,data/images/quantifier/test_484.png,"['most', 'many', 'almost none', 'most', 'almost all']"
485,data/images/quantifier/test_485.png,"['almost all', 'all', 'none', 'almost all', 'some']"
495,data/images/quantifier/test_495.png,"['almost all', 'almost none', 'almost none', 'almost all', 'some']"
496,data/images/quantifier/test_496.png,"['the smaller part', 'almost none', 'almost all', 'almost none', 'many']"
498,data/images/quantifier/test_498.png,"['the smaller part', 'none', 'almost all', 'none', 'none']"
499,data/images/quantifier/test_499.png,"['almost none', 'some', 'few', 'none', 'most']"
502,data/images/quantifier/test_502.png,"['all', 'almost all', 'most', 'few', 'almost all']"
507,data/images/quantifier/test_507.png,"['most', 'the smaller part', 'almost none', 'almost none', 'none']"
515,data/images/quantifier/test_515.png,"['all', 'almost all', 'almost none', 'some', 'few']"
520,data/images/quantifier/test_520.png,"['the smaller part', 'almost none', 'almost all', 'most', 'almost all']"
532,data/images/quantifier/test_532.png,"['many', 'most', 'many', 'almost all', 'the smaller part']"
540,data/images/quantifier/test_540.png,"['the smaller part', 'most', 'almost none', 'almost all', 'almost none']"
543,data/images/quantifier/test_543.png,"['almost all', 'many', 'most', 'almost all', 'almost none']"
545,data/images/quantifier/test_545.png,"['few', 'the smaller part', 'almost none', 'almost none', 'the smaller part']"
546,data/images/quantifier/test_546.png,"['almost none', 'none', 'all', 'most', 'most']"
547,data/images/quantifier/test_547.png,"['almost none', 'all', 'almost none', 'some', 'almost all']"
549,data/images/quantifier/test_549.png,"['most', 'almost none', 'none', 'few', 'few']"
553,data/images/quantifier/test_553.png,"['almost all', 'most', 'all', 'all', 'the smaller part']"
557,data/images/quantifier/test_557.png,"['all', 'almost all', 'many', 'none', 'most']"
558,data/images/quantifier/test_558.png,"['few', 'none', 'almost none', 'all', 'almost all']"
562,data/images/quantifier/test_562.png,"['few', 'many', 'most', 'almost none', 'many']"
572,data/images/quantifier/test_572.png,"['most', 'all', 'many', 'almost none', 'the smaller part']"
587,data/images/quantifier/test_587.png,"['most', 'most', 'all', 'almost none', 'many']"
590,data/images/quantifier/test_590.png,"['almost all', 'almost none', 'all', 'almost all', 'the smaller part']"
593,data/images/quantifier/test_593.png,"['almost all', 'all', 'almost none', 'many', 'all']"
596,data/images/quantifier/test_596.png,"['most', 'few', 'few', 'all', 'almost all']"
606,data/images/quantifier/test_606.png,"['all', 'many', 'many', 'almost none', 'almost none']"
609,data/images/quantifier/test_609.png,"['all', 'most', 'many', 'most', 'almost all']"
622,data/images/quantifier/test_622.png,"['all', 'all', 'most', 'almost none', 'some']"
623,data/images/quantifier/test_623.png,"['some', 'many', 'almost all', 'all', 'all']"
628,data/images/quantifier/test_628.png,"['the smaller part', 'the smaller part', 'almost none', 'all', 'all']"
637,data/images/quantifier/test_637.png,"['most', 'most', 'all', 'some', 'the smaller part']"
638,data/images/quantifier/test_638.png,"['many', 'many', 'almost none', 'all', 'the smaller part']"
644,data/images/quantifier/test_644.png,"['most', 'many', 'almost all', 'most', 'most']"
647,data/images/quantifier/test_647.png,"['almost none', 'many', 'none', 'most', 'the smaller part']"
654,data/images/quantifier/test_654.png,"['many', 'many', 'many', 'many', 'most']"
657,data/images/quantifier/test_657.png,"['none', 'none', 'many', 'almost none', 'many']"
661,data/images/quantifier/test_661.png,"['none', 'almost none', 'all', 'most', 'almost all']"
668,data/images/quantifier/test_668.png,"['the smaller part', 'all', 'most', 'almost none', 'most']"
674,data/images/quantifier/test_674.png,"['many', 'all', 'all', 'most', 'all']"
675,data/images/quantifier/test_675.png,"['many', 'most', 'almost all', 'all', 'almost none']"
681,data/images/quantifier/test_681.png,"['none', 'most', 'the smaller part', 'none', 'most']"
688,data/images/quantifier/test_688.png,"['all', 'most', 'almost all', 'most', 'almost all']"
692,data/images/quantifier/test_692.png,"['almost all', 'the smaller part', 'many', 'all', 'most']"
697,data/images/quantifier/test_697.png,"['the smaller part', 'almost none', 'the smaller part', 'almost all', 'some']"
704,data/images/quantifier/test_704.png,"['the smaller part', 'almost none', 'most', 'most', 'some']"
705,data/images/quantifier/test_705.png,"['few', 'almost none', 'most', 'most', 'the smaller part']"
712,data/images/quantifier/test_712.png,"['some', 'none', 'all', 'none', 'some']"
716,data/images/quantifier/test_716.png,"['almost none', 'almost none', 'all', 'many', 'most']"
721,data/images/quantifier/test_721.png,"['the smaller part', 'some', 'almost all', 'almost none', 'almost all']"
730,data/images/quantifier/test_730.png,"['most', 'most', 'many', 'almost none', 'almost all']"
731,data/images/quantifier/test_731.png,"['the smaller part', 'some', 'all', 'almost all', 'almost all']"
735,data/images/quantifier/test_735.png,"['the smaller part', 'almost all', 'all', 'almost none', 'many']"
736,data/images/quantifier/test_736.png,"['almost none', 'most', 'many', 'many', 'the smaller part']"
740,data/images/quantifier/test_740.png,"['all', 'all', 'all', 'all', 'all']"
758,data/images/quantifier/test_758.png,"['the smaller part', 'most', 'almost none', 'all', 'almost none']"
760,data/images/quantifier/test_760.png,"['some', 'almost all', 'all', 'few', 'many']"
763,data/images/quantifier/test_763.png,"['all', 'the smaller part', 'none', 'almost none', 'most']"
770,data/images/quantifier/test_770.png,"['the smaller part', 'many', 'many', 'the smaller part', 'almost all']"
774,data/images/quantifier/test_774.png,"['many', 'most', 'most', 'most', 'almost none']"
778,data/images/quantifier/test_778.png,"['almost none', 'many', 'almost all', 'none', 'none']"
779,data/images/quantifier/test_779.png,"['some', 'almost all', 'most', 'almost none', 'all']"
784,data/images/quantifier/test_784.png,"['almost none', 'almost all', 'the smaller part', 'almost none', 'almost none']"
787,data/images/quantifier/test_787.png,"['all', 'almost none', 'almost all', 'almost none', 'the smaller part']"
791,data/images/quantifier/test_791.png,"['most', 'the smaller part', 'most', 'some', 'all']"
793,data/images/quantifier/test_793.png,"['most', 'most', 'the smaller part', 'many', 'almost none']"
794,data/images/quantifier/test_794.png,"['few', 'many', 'most', 'some', 'most']"
795,data/images/quantifier/test_795.png,"['some', 'almost all', 'the smaller part', 'all', 'all']"
799,data/images/quantifier/test_799.png,"['some', 'the smaller part', 'few', 'almost all', 'most']"
800,data/images/quantifier/test_800.png,"['almost none', 'many', 'almost all', 'many', 'some']"
804,data/images/quantifier/test_804.png,"['almost none', 'all', 'some', 'almost none', 'almost none']"
806,data/images/quantifier/test_806.png,"['the smaller part', 'almost all', 'many', 'many', 'almost all']"
812,data/images/quantifier/test_812.png,"['almost all', 'almost none', 'almost none', 'all', 'almost all']"
818,data/images/quantifier/test_818.png,"['most', 'none', 'all', 'none', 'few']"
819,data/images/quantifier/test_819.png,"['all', 'the smaller part', 'all', 'most', 'the smaller part']"
820,data/images/quantifier/test_820.png,"['the smaller part', 'the smaller part', 'some', 'the smaller part', 'many']"
823,data/images/quantifier/test_823.png,"['none', 'all', 'the smaller part', 'many', 'many']"
829,data/images/quantifier/test_829.png,"['many', 'almost none', 'almost all', 'all', 'almost none']"
836,data/images/quantifier/test_836.png,"['all', 'almost none', 'the smaller part', 'all', 'none']"
849,data/images/quantifier/test_849.png,"['almost all', 'the smaller part', 'most', 'almost all', 'none']"
850,data/images/quantifier/test_850.png,"['none', 'none', 'most', 'the smaller part', 'the smaller part']"
855,data/images/quantifier/test_855.png,"['almost none', 'the smaller part', 'all', 'most', 'all']"
857,data/images/quantifier/test_857.png,"['almost none', 'few', 'most', 'the smaller part', 'all']"
864,data/images/quantifier/test_864.png,"['almost all', 'all', 'almost all', 'most', 'none']"
867,data/images/quantifier/test_867.png,"['almost none', 'some', 'many', 'many', 'many']"
873,data/images/quantifier/test_873.png,"['many', 'most', 'many', 'all', 'almost all']"
874,data/images/quantifier/test_874.png,"['all', 'almost all', 'none', 'almost all', 'none']"
875,data/images/quantifier/test_875.png,"['all', 'almost none', 'the smaller part', 'all', 'all']"
879,data/images/quantifier/test_879.png,"['most', 'the smaller part', 'the smaller part', 'none', 'most']"
892,data/images/quantifier/test_892.png,"['the smaller part', 'almost none', 'almost none', 'all', 'the smaller part']"
902,data/images/quantifier/test_902.png,"['many', 'many', 'many', 'many', 'many']"
905,data/images/quantifier/test_905.png,"['none', 'the smaller part', 'few', 'almost none', 'the smaller part']"
911,data/images/quantifier/test_911.png,"['the smaller part', 'most', 'the smaller part', 'none', 'all']"
912,data/images/quantifier/test_912.png,"['all', 'most', 'all', 'the smaller part', 'the smaller part']"
913,data/images/quantifier/test_913.png,"['few', 'many', 'the smaller part', 'most', 'almost none']"
920,data/images/quantifier/test_920.png,"['the smaller part', 'none', 'the smaller part', 'the smaller part', 'almost all']"
921,data/images/quantifier/test_921.png,"['the smaller part', 'none', 'many', 'none', 'almost none']"
929,data/images/quantifier/test_929.png,"['many', 'all', 'most', 'few', 'some']"
938,data/images/quantifier/test_938.png,"['almost all', 'almost none', 'all', 'all', 'the smaller part']"
939,data/images/quantifier/test_939.png,"['the smaller part', 'almost none', 'some', 'almost none', 'most']"
951,data/images/quantifier/test_951.png,"['almost none', 'many', 'almost none', 'the smaller part', 'the smaller part']"
953,data/images/quantifier/test_953.png,"['almost all', 'all', 'almost all', 'few', 'almost all']"
963,data/images/quantifier/test_963.png,"['none', 'many', 'all', 'all', 'the smaller part']"
964,data/images/quantifier/test_964.png,"['most', 'almost none', 'almost none', 'the smaller part', 'most']"
966,data/images/quantifier/test_966.png,"['many', 'none', 'most', 'almost none', 'many']"
968,data/images/quantifier/test_968.png,"['most', 'many', 'many', 'many', 'the smaller part']"
969,data/images/quantifier/test_969.png,"['all', 'some', 'none', 'most', 'almost all']"
971,data/images/quantifier/test_971.png,"['all', 'many', 'most', 'almost all', 'many']"
974,data/images/quantifier/test_974.png,"['almost none', 'almost none', 'the smaller part', 'none', 'none']"
977,data/images/quantifier/test_977.png,"['almost all', 'the smaller part', 'most', 'the smaller part', 'almost none']"
982,data/images/quantifier/test_982.png,"['all', 'the smaller part', 'almost none', 'almost all', 'all']"
997,data/images/quantifier/test_997.png,"['none', 'some', 'almost all', 'few', 'none']"
999,data/images/quantifier/test_999.png,"['all', 'none', 'many', 'many', 'almost none']"
1006,data/images/quantifier/test_1006.png,"['all', 'almost none', 'most', 'almost all', 'few']"
1012,data/images/quantifier/test_1012.png,"['the smaller part', 'none', 'the smaller part', 'all', 'some']"
1015,data/images/quantifier/test_1015.png,"['all', 'almost all', 'none', 'most', 'almost none']"
1018,data/images/quantifier/test_1018.png,"['many', 'the smaller part', 'most', 'almost none', 'the smaller part']"
1020,data/images/quantifier/test_1020.png,"['almost none', 'almost none', 'almost all', 'many', 'almost none']"
1022,data/images/quantifier/test_1022.png,"['many', 'many', 'some', 'almost all', 'almost none']"
1023,data/images/quantifier/test_1023.png,"['the smaller part', 'many', 'most', 'all', 'the smaller part']"
1038,data/images/quantifier/test_1038.png,"['almost all', 'almost all', 'none', 'most', 'almost all']"
1039,data/images/quantifier/test_1039.png,"['the smaller part', 'most', 'most', 'most', 'all']"
1040,data/images/quantifier/test_1040.png,"['all', 'almost none', 'none', 'all', 'the smaller part']"
1043,data/images/quantifier/test_1043.png,"['some', 'all', 'the smaller part', 'all', 'all']"
1046,data/images/quantifier/test_1046.png,"['most', 'all', 'most', 'none', 'many']"
1047,data/images/quantifier/test_1047.png,"['the smaller part', 'none', 'the smaller part', 'many', 'all']"
1055,data/images/quantifier/test_1055.png,"['almost all', 'most', 'most', 'most', 'all']"
1057,data/images/quantifier/test_1057.png,"['all', 'almost all', 'few', 'almost all', 'almost all']"
1058,data/images/quantifier/test_1058.png,"['almost none', 'almost none', 'almost none', 'the smaller part', 'almost none']"
1065,data/images/quantifier/test_1065.png,"['almost all', 'most', 'the smaller part', 'almost none', 'most']"
1068,data/images/quantifier/test_1068.png,"['almost none', 'none', 'none', 'none', 'all']"
1077,data/images/quantifier/test_1077.png,"['almost none', 'the smaller part', 'almost none', 'most', 'all']"
1080,data/images/quantifier/test_1080.png,"['many', 'all', 'all', 'almost all', 'all']"
1084,data/images/quantifier/test_1084.png,"['none', 'some', 'almost none', 'all', 'many']"
1085,data/images/quantifier/test_1085.png,"['all', 'few', 'some', 'all', 'most']"
1089,data/images/quantifier/test_1089.png,"['the smaller part', 'all', 'the smaller part', 'all', 'almost none']"
1094,data/images/quantifier/test_1094.png,"['all', 'most', 'many', 'the smaller part', 'almost all']"
1096,data/images/quantifier/test_1096.png,"['all', 'most', 'the smaller part', 'almost all', 'all']"
1102,data/images/quantifier/test_1102.png,"['all', 'almost all', 'all', 'all', 'most']"
1103,data/images/quantifier/test_1103.png,"['almost all', 'none', 'most', 'most', 'none']"
1104,data/images/quantifier/test_1104.png,"['all', 'most', 'all', 'few', 'many']"
1105,data/images/quantifier/test_1105.png,"['almost none', 'some', 'most', 'few', 'few']"
1112,data/images/quantifier/test_1112.png,"['all', 'none', 'almost all', 'almost none', 'few']"
1113,data/images/quantifier/test_1113.png,"['all', 'none', 'many', 'many', 'most']"
1114,data/images/quantifier/test_1114.png,"['most', 'the smaller part', 'almost none', 'many', 'all']"
1115,data/images/quantifier/test_1115.png,"['all', 'none', 'almost none', 'the smaller part', 'none']"
1116,data/images/quantifier/test_1116.png,"['the smaller part', 'most', 'the smaller part', 'almost none', 'none']"
1118,data/images/quantifier/test_1118.png,"['most', 'the smaller part', 'most', 'some', 'all']"
1123,data/images/quantifier/test_1123.png,"['almost none', 'few', 'none', 'few', 'most']"
1129,data/images/quantifier/test_1129.png,"['all', 'most', 'many', 'none', 'many']"
1131,data/images/quantifier/test_1131.png,"['all', 'the smaller part', 'all', 'most', 'the smaller part']"
1132,data/images/quantifier/test_1132.png,"['all', 'many', 'most', 'the smaller part', 'all']"
1138,data/images/quantifier/test_1138.png,"['none', 'all', 'few', 'most', 'all']"
1143,data/images/quantifier/test_1143.png,"['most', 'many', 'the smaller part', 'most', 'all']"
1147,data/images/quantifier/test_1147.png,"['almost all', 'the smaller part', 'none', 'none', 'many']"
1150,data/images/quantifier/test_1150.png,"['most', 'almost none', 'many', 'the smaller part', 'many']"
1165,data/images/quantifier/test_1165.png,"['almost all', 'none', 'all', 'almost all', 'the smaller part']"
1166,data/images/quantifier/test_1166.png,"['some', 'most', 'some', 'almost all', 'all']"
1174,data/images/quantifier/test_1174.png,"['almost none', 'none', 'almost none', 'almost none', 'all']"
1184,data/images/quantifier/test_1184.png,"['almost all', 'few', 'almost all', 'most', 'almost none']"
1185,data/images/quantifier/test_1185.png,"['few', 'almost none', 'most', 'most', 'some']"
1191,data/images/quantifier/test_1191.png,"['almost none', 'many', 'some', 'the smaller part', 'almost all']"
1192,data/images/quantifier/test_1192.png,"['most', 'most', 'most', 'all', 'most']"
1204,data/images/quantifier/test_1204.png,"['all', 'almost all', 'the smaller part', 'the smaller part', 'all']"
1208,data/images/quantifier/test_1208.png,"['most', 'many', 'most', 'few', 'almost all']"
1211,data/images/quantifier/test_1211.png,"['all', 'almost none', 'almost all', 'many', 'many']"
1212,data/images/quantifier/test_1212.png,"['almost all', 'most', 'many', 'all', 'the smaller part']"
1221,data/images/quantifier/test_1221.png,"['the smaller part', 'the smaller part', 'some', 'the smaller part', 'almost all']"
1222,data/images/quantifier/test_1222.png,"['almost all', 'most', 'almost all', 'all', 'all']"
1226,data/images/quantifier/test_1226.png,"['most', 'almost all', 'almost all', 'most', 'most']"
1227,data/images/quantifier/test_1227.png,"['all', 'some', 'almost none', 'all', 'all']"
1228,data/images/quantifier/test_1228.png,"['most', 'almost all', 'none', 'almost none', 'the smaller part']"
1235,data/images/quantifier/test_1235.png,"['few', 'almost all', 'almost all', 'most', 'most']"
1237,data/images/quantifier/test_1237.png,"['most', 'almost none', 'none', 'none', 'almost none']"
1247,data/images/quantifier/test_1247.png,"['the smaller part', 'almost all', 'the smaller part', 'almost none', 'almost none']"
1248,data/images/quantifier/test_1248.png,"['almost all', 'most', 'many', 'the smaller part', 'most']"
1253,data/images/quantifier/test_1253.png,"['few', 'none', 'all', 'all', 'the smaller part']"
1254,data/images/quantifier/test_1254.png,"['none', 'the smaller part', 'the smaller part', 'all', 'all']"
1261,data/images/quantifier/test_1261.png,"['many', 'the smaller part', 'many', 'almost all', 'all']"
1268,data/images/quantifier/test_1268.png,"['almost all', 'many', 'almost none', 'most', 'most']"
1270,data/images/quantifier/test_1270.png,"['most', 'almost all', 'the smaller part', 'all', 'all']"
1273,data/images/quantifier/test_1273.png,"['all', 'almost all', 'almost all', 'most', 'many']"
1282,data/images/quantifier/test_1282.png,"['the smaller part', 'some', 'many', 'almost none', 'some']"
1290,data/images/quantifier/test_1290.png,"['all', 'most', 'almost all', 'most', 'almost all']"
1292,data/images/quantifier/test_1292.png,"['almost all', 'most', 'the smaller part', 'some', 'almost all']"
1295,data/images/quantifier/test_1295.png,"['the smaller part', 'almost all', 'almost none', 'all', 'none']"
1300,data/images/quantifier/test_1300.png,"['almost all', 'almost all', 'almost all', 'many', 'none']"
1301,data/images/quantifier/test_1301.png,"['almost all', 'the smaller part', 'almost all', 'the smaller part', 'few']"
1305,data/images/quantifier/test_1305.png,"['many', 'few', 'almost none', 'the smaller part', 'few']"
1316,data/images/quantifier/test_1316.png,"['most', 'many', 'the smaller part', 'all', 'all']"
1320,data/images/quantifier/test_1320.png,"['the smaller part', 'all', 'the smaller part', 'many', 'most']"
1323,data/images/quantifier/test_1323.png,"['the smaller part', 'almost none', 'many', 'some', 'all']"
1325,data/images/quantifier/test_1325.png,"['many', 'many', 'many', 'some', 'almost none']"
1329,data/images/quantifier/test_1329.png,"['the smaller part', 'many', 'many', 'the smaller part', 'all']"
1331,data/images/quantifier/test_1331.png,"['almost none', 'many', 'the smaller part', 'most', 'most']"
1345,data/images/quantifier/test_1345.png,"['all', 'most', 'many', 'few', 'all']"
1350,data/images/quantifier/test_1350.png,"['many', 'many', 'most', 'most', 'almost all']"
1352,data/images/quantifier/test_1352.png,"['many', 'many', 'many', 'many', 'the smaller part']"
1354,data/images/quantifier/test_1354.png,"['almost none', 'almost all', 'almost all', 'many', 'the smaller part']"
