image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,blip2_output,blip2_saliencies,blip2_saliency_rate
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,"['i see a toy car with a handle', 'it is a set of small toys for children', 'a plastic toy tool that has two orange and one green handles', 'there is a toy toy machine on the wall', 'a plastic toy that is holding two green rubber hands']","[([], []), ([], []), (['Orange', 'Green'], ['Plastic']), ([], []), (['Green'], ['Plastic', 'Rubber'])]","(40, 40)"
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,"['i see an eye with an animal on the top', 'a red sea urchin', 'an orange, orange and red worm.', 'you see a very large, red, coral - looking organism', '']","[([], []), (['Red'], []), (['Red', 'Orange'], []), (['Red', 'Coral'], []), ([], [])]","(60, 0)"
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,"['an orange and yellow fish trap that is shaped like a cross', 'a man sitting down with two legs on top of each other', 'i see an orange and yellow plastic object', 'an orange & yellow plastic foot is sitting on a white background', 'a picture of a toy that is shaped like a triangle']","[(['Orange', 'Yellow'], []), ([], []), (['Orange', 'Yellow'], ['Plastic']), (['Orange', 'Yellow'], ['Plastic']), ([], [])]","(60, 40)"
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,"['the yellow and pink plastic sphere', 'pink ball with multi color dots on it', 'in the image, we see that there are two balloons sitting next to each other.', 'a colourful kazoo', 'a pink and purple ball with glitter']","[(['Yellow', 'Pink'], ['Plastic']), (['Pink'], []), ([], []), ([], []), (['Purple', 'Pink'], [])]","(60, 20)"
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,"['the picture shows the inside of the door.', ""you can't see it, but there's a little bit of blue paint on the front of the"", 'blue plastic holder for headphones', 'you can see in the image a blue shoe laces holder', 'we can design products for your specific requirements and needs.']","[([], []), (['Blue'], []), (['Blue'], ['Plastic']), (['Blue'], ['Lace']), ([], [])]","(60, 40)"
data/images/noun/2016 600dpi.jpg,2016,bird toy,28,21,61,6,"['a orange plastic cone, with blue, white and orange yarn tied to it', 'an orange and blue dog toy with a dog collar', 'a blue, white and orange cone with a brown handle', 'a white and blue tasseled blue and orange cone shaped toy', 'a blue and orange cone filled with blue and orange tassels']","[(['Orange', 'Blue', 'White'], ['Plastic']), (['Orange', 'Blue'], []), (['Orange', 'Blue', 'Brown', 'White'], []), (['Orange', 'Blue', 'White'], []), (['Orange', 'Blue'], [])]","(100, 20)"
data/images/noun/2017-600.jpg,2017,kenetic wheel,41,29,23,13,"['a long, metal, hook with an orange ball on it.', 'you see a green plastic ball that is connected to a blue wire and has an orange handle', 'the object is a screwdriver', 'i see a cat toy that is hooked on to a pipe', 'an orange rubber ball that is on a blue plastic hook']","[(['Orange'], []), (['Orange', 'Green', 'Blue'], ['Plastic']), ([], []), ([], []), (['Orange', 'Blue'], ['Plastic', 'Rubber'])]","(60, 40)"
data/images/noun/2018-600.jpg,2018,this coils string,16,50,61,6,"['a yellow plastic water bottle', 'we are looking at a light yellow pot', ""there's an image of a small yellow plastic container"", 'we can see a round object in the center of the picture.', 'a yellow plastic round object with holes']","[(['Yellow'], ['Plastic']), (['Yellow'], []), (['Yellow'], ['Plastic']), ([], []), (['Yellow'], ['Plastic'])]","(80, 60)"
data/images/noun/2019-600.jpg,2019,cat nip toy,31,67,38,25,"['a yellow, orange, and white plastic toy egg', 'this image is from ""the candy corn collection"", and it shows a yellow and orange egg with a', 'a yellow and orange plastic egg with a furs', 'a yellow and orange plastic egg with a fluffy white tail', 'a yellow and orange candy corn shaped ball']","[(['Orange', 'Yellow', 'White'], ['Plastic']), (['Orange', 'Yellow'], []), (['Orange', 'Yellow'], ['Plastic']), (['Orange', 'Yellow', 'White'], ['Plastic']), (['Orange', 'Yellow'], [])]","(100, 60)"
data/images/noun/2020.jpg,2020,jacobs ladder,41,36,29,6,"['i see colorful tiles.', 'i see four colorful boxes and a blue tray in the image', 'теперь мне надо по�', 'a colorful stack of toys', 'a rainbow color coasters']","[([], []), (['Blue'], []), ([], []), ([], []), ([], [])]","(20, 0)"
data/images/noun/2021-600.jpg,2021,foam arrow,9,29,84,3,"['you see in the image that one of the two cylinders are green and pink and have four pink ones', 'i can’t see anything in this image', 'q: what do you see in the image?', 'what do you see in the image?', 'q-tip 3/0 pink + 2/0 green']","[(['Green', 'Pink'], []), ([], []), ([], []), ([], []), (['Green', 'Pink'], [])]","(40, 0)"
data/images/noun/2022-600.jpg,2022,marker,9,15,70,13,"['i see green plastic', 'green plastic egg egg shell stem holder', 'the image is showing the green plastic object', 'a green water bottle', 'a green plastic ball with a blue handle']","[(['Green'], ['Plastic']), (['Green'], ['Plastic']), (['Green'], ['Plastic']), (['Green'], []), (['Green', 'Blue'], ['Plastic'])]","(100, 80)"
data/images/noun/2023-600.jpg,2023,color changing ball,13,31,87,17,"['this is a closeup image of a white and black vinyl record ball', 'an image of a white and black ball that looks like a globe', 'the flower on top of the car is in black and white', 'the images of the black and white image', 'a black and white mirror with several pieces']","[(['Black', 'White'], []), (['Black', 'White'], []), (['Black', 'White'], []), (['Black', 'White'], []), (['Black', 'White'], [])]","(100, 0)"
data/images/noun/2024-600.jpg,2024,connected disk toy,81,44,41,3,"['the image shows a colorful toy', '-1/4"" x 1 1/2"" x 1 3/8"" blue-yellow', 'a toy that is holding a small metal sphere', 'the image is of a yellow and blue toy ball', 'a yellow, red and blue circular piece of plastic toy with a blue plastic handle']","[([], []), (['Yellow', 'Blue'], []), ([], []), (['Yellow', 'Blue'], []), (['Red', 'Yellow', 'Blue'], ['Plastic'])]","(60, 20)"
data/images/noun/2025-600.jpg,2025,boomerang,6,14,58,13,"['a blue plastic foot rest', 'the image shows a blue, marble - like bandage with a white backing', '', 'the blue foot orthosis is sitting on top of the white surface', 'you can see in the image that it is blue']","[(['Blue'], ['Plastic']), (['Blue', 'White'], []), ([], []), (['Blue', 'White'], []), (['Blue'], [])]","(80, 20)"
data/images/noun/2026-600.jpg,2026,dog toy,16,71,63,17,"['a green and red plastic bottle opener', 'the product you are searching for does not exist.', 'a green hand held rubber toy', 'a light-green plastic dog toy with the handle missing', 'the image shows a green toy mouse']","[(['Red', 'Green'], ['Plastic']), ([], []), (['Green'], ['Rubber']), (['Green'], ['Plastic']), (['Green'], [])]","(80, 60)"
data/images/noun/2027-600.jpg,2027,room freshener toy,22,38,47,9,"['a ball and socket', 'a white plastic ball', 'white plastic ball with lid', 'a qwop ball - qwop is a game for the iphone and ipad,', 'this is a photo of a white ball that has the hole on it']","[([], []), (['White'], ['Plastic']), (['White'], ['Plastic']), ([], []), (['White'], [])]","(60, 40)"
data/images/noun/2028-600.jpg,2028,cat toy found at the pound store,6,47,53,63,"['', 'i see pink pet toys in a pink box with a white background', 'i see a pink and white pom pom', 'the pink fluffy doughnut has a ball attached', 'two pink stuffed balls with two wires attached to them']","[([], []), (['Pink'], []), (['Pink', 'White'], []), (['Pink'], []), (['Pink'], [])]","(80, 0)"
data/images/noun/2029-600.jpg,2029,cover for room fresheners,19,27,65,16,"['the image shows the end of a cigarette lighter with a black plug', '- the picture of a black button with a red cap', 'black plastic ring for mounting on the trigger housing', 'the black plastic holder with a plastic button and two buttons on the side', 'you can see that there are two pieces of black plastic that have been cut into a square shape']","[(['Black'], []), (['Red', 'Black'], []), (['Black'], ['Plastic']), (['Black'], ['Plastic']), (['Black'], ['Plastic'])]","(100, 60)"
data/images/noun/2030-600.jpg,2030,marker,9,43,53,0,"['this is a picture of the turd, it is very small and has a big hole in it', 'the picture is a toy purple and blue toy', 'blue, purple and white plastic figurine', 'this is a small plastic toy in the shape of an owl.', 'a dog toy with a purple and blue hat, and an ear shape in the middle']","[([], []), (['Blue', 'Purple'], []), (['Blue', 'Purple', 'White'], ['Plastic']), ([], ['Plastic']), (['Blue', 'Purple'], [])]","(60, 40)"
data/images/noun/2031.jpg,2031,book end,16,32,35,26,"['you see a curved piece of metal on a white background', 'a metal wave shaped object', 'a stainless steel drawer handle', 'a steel frame holder, which is bent to form a wave shape', 'a curved metal shape']","[([], []), ([], []), ([], []), ([], []), ([], [])]","(0, 0)"
data/images/noun/2032-600.jpg,2032,submarine,47,90,50,3,"['a toy rocket shaped toy with a propeller', 'the toy is an orange toy with a blue star', ""this is the product of the new year, the toy is the color orange and blue, it's"", 'an orange and blue plastic toy airplane with blue wings on top', 'a yellow submarine with blue fins']","[([], []), (['Orange', 'Blue'], []), (['Orange', 'Blue'], []), (['Orange', 'Blue'], ['Plastic']), (['Yellow', 'Blue'], [])]","(80, 20)"
data/images/noun/2033-600.jpg,2033,cat toy cage,9,57,55,3,"['we see an orange object with small holes', 'this is a toy.', 'the product is an orange colored storage basket', 'an orange and green box with a handle', 'a plastic cube that has a small green star pattern on it']","[(['Orange'], []), ([], []), (['Red', 'Orange'], []), (['Orange', 'Green'], []), (['Green'], ['Plastic'])]","(80, 20)"
data/images/noun/2034-600.jpg,2034,worm ball with cut off hands or stars,72,39,45,26,"['the image is of a pile of yellow and pink rubber snakes', '3d printed silicone toy', 'rubber rubber rubber rubber rubber rubber rubber', 'this image is of a plastic foam rubber wig, with yellow, green and orange hair', 'the image of a large pink and orange plastic string']","[(['Yellow', 'Pink'], ['Rubber']), ([], []), ([], ['Rubber']), (['Orange', 'Yellow', 'Green'], ['Plastic', 'Rubber']), (['Orange', 'Pink'], ['Plastic'])]","(60, 80)"
data/images/noun/2035-600.jpg,2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13,"['a blue and brown hairbrush with a brown handle', 'this is a brown ball on top of a blue metal cylinder.', 'i see a person wearing a bow tie holding a blue stick', 'a blue and brown plastic tube shaped device with a hole at the end.', '']","[(['Blue', 'Brown'], []), (['Blue', 'Brown'], []), (['Blue'], []), (['Blue', 'Brown'], ['Plastic']), ([], [])]","(80, 20)"
data/images/noun/2036-600.jpg,2036,cup-and-ball toy,59,70,20,20,"['a colorful toy ball', 'a wooden toy hammer and a yellow, blue, red and green striped ball', 'wood wind up toy hammer', 'wooden wooden baby toy drum', '']","[([], []), (['Red', 'Yellow', 'Green', 'Blue'], ['Wooden']), ([], []), ([], ['Wooden']), ([], [])]","(20, 40)"
data/images/noun/2037-600.jpg,2037,teething ring with a bit photoshopped out,34,24,37,3,"['q: what do you see in the image?', 'we see a pair of pink balls and two small plastic balls', 'a photo with the lens flipped upside down', 'the image shows a close - up of a pink plastic bracelet with plastic balls inside.', 'you see the image of an oval plastic device.']","[([], []), (['Pink'], ['Plastic']), ([], []), (['Pink'], ['Plastic']), ([], ['Plastic'])]","(40, 60)"
data/images/noun/2038-600.jpg,2038,heart shaped slinky,56,63,26,6,"['a colorful and colorful balloon shaped item', 'you can see that the shape looks like a rainbow and a heart', 'a heart shape candy bar', 'i see a rainbow colored heart shaped toy sitting on top of another toy, a rainbow colored heart shaped', 'a lot of rainbow colored rings']","[([], []), ([], []), ([], []), (['Red'], []), (['Red'], [])]","(40, 0)"
data/images/noun/2039-600.jpg,2039,led top,28,64,61,13,"['an electronic green cross shaped toy with small buttons on the side', 'i see the cross shape and the small green dot.athletics-gunning for', 'страхи видео', 'i see a green plastic cross with a cross inside', 'the image has a green and clear plastic cross shaped toy with a black cross in the center']","[(['Green'], []), (['Green'], []), ([], []), (['Green'], ['Plastic']), (['Green', 'Black'], ['Plastic'])]","(80, 40)"
data/images/noun/2040-600.jpg,2040,rubber toy found in toy aisle,31,64,63,16,"['', 'you can click on the image to see the detail', 'toy, blue, yellow', '', 'a dog toy with a blue and yellow ball']","[([], []), ([], []), (['Yellow', 'Blue'], []), ([], []), (['Yellow', 'Blue'], [])]","(40, 0)"
data/images/noun/2041-600.jpg,2041,massager,34,38,23,20,"['a magnetic toy is holding a wooden ball and a wooden sphere', 'you see three wooden balls suspended by four wooden rods', 'the model contains a small wooden figure of a star.', 'the cross of four balls', 'the image is of four balls sitting on top of a wooden board']","[([], ['Wooden']), ([], ['Wooden']), ([], ['Wooden']), ([], []), ([], ['Wooden'])]","(0, 80)"
data/images/noun/2042-600.jpg,2042,small personal fan without blades,38,67,81,3,"['a blue and yellow dispenser with an orange cap', 'an air freshener', 'a blue plastic handle with yellow and orange accents', 'the plastic bottle of blue and yellow water is on top of the white surface.', 'a blue and yellow hand sanitizer bottle with an orange lid']","[(['Orange', 'Yellow', 'Blue'], []), ([], []), (['Orange', 'Yellow', 'Blue'], ['Plastic']), (['Yellow', 'Blue', 'White'], ['Plastic']), (['Orange', 'Yellow', 'Blue'], [])]","(80, 40)"
data/images/noun/2043.jpg,2043,clacker,66,76,65,6,"[""a kid's toy with a balloon on the end and string"", 'i saw a toy and i saw a toy, not two toys, but one toy', 'an object', 'toy ball is being pulled by plastic string', 'an orange, pink and green toy on a white background']","[([], []), ([], []), ([], []), ([], ['Plastic']), (['Orange', 'Green', 'Pink'], [])]","(20, 20)"
data/images/noun/2044-600.jpg,2044,diving toy with small weight,6,27,94,6,"['orange', 'the teeth are attached to a metal tube and the ball', 'q: what do you see in the image?    a: q: what do you', 'a stringy toy with a blue ball', ""it is a plastic tube with the word 'q'""]","[(['Orange'], []), ([], []), ([], []), (['Blue'], []), ([], ['Plastic'])]","(40, 20)"
data/images/noun/2045-600.jpg,2045,wooden ball toy,25,29,3,55,"['the image shows a wooden spoon holder', 'a long handle with five holes, all the same size and shape', 'an open wood comb on a white surface', 'a natural wood bottle opener with the shape of five holes', 'the image shows a wooden spoon holder']","[([], ['Wooden']), ([], []), (['White'], []), ([], []), ([], ['Wooden'])]","(20, 40)"
data/images/noun/2046-600.jpg,2046,keychain with bubbles inside,34,67,42,3,"['an image of a keyring with blue, green, purple and yellow color beads in a clear case', 'a plastic square keychain that has the word ""q"" written on it', 'glass square', 'clear glass test tube with 4 wells', 'q-tubes - the future of tubing.']","[(['Yellow', 'Green', 'Blue', 'Purple'], []), ([], ['Plastic']), ([], []), ([], []), ([], [])]","(20, 20)"
data/images/noun/2047-600.jpg,2047,perfume sprayer,41,32,50,3,"['in the image, you can see two metal cylinders with black and white stripes.', 'the image is of a black and white glass bottle with the word ""camel"" written on it', 'we see a bottle in the image with black strips on the bottom', 'the picture shows an electronic cigarette with black strips on the top', 'i see that there is a black and silver object']","[(['Black', 'White'], []), (['Black', 'White'], []), (['Black'], []), (['Black'], []), (['Black', 'Silver'], [])]","(100, 0)"
data/images/noun/2048-600.jpg,2048,worm ball with hands and stars cut off,13,47,55,6,"['a pile of brightly colored plastic toys', 'a pile of toys, a variety of balls, toys and balls', 'multicolored plastic toys', 'what do you see in the image?', 'kids will love these colorful foam balls and balls and colorful balls on a string that can be used in']","[(['Red'], ['Plastic']), ([], []), (['Red'], ['Plastic']), ([], []), ([], [])]","(40, 40)"
data/images/noun/2049-600.jpg,2049,slide whistle,19,44,39,10,"['click for the image', 'the image shows a blue pen, with a wire attached to it', 'the image shows the back of the blue handle of the hook.', 'this is a photograph of a blue and white pencil', 'a picture is of a pencil that has a blue tip']","[([], []), (['Blue'], []), (['Blue'], []), (['Blue', 'White'], []), (['Blue'], [])]","(80, 0)"
data/images/noun/2050-600.jpg,2050,mobile phone stand for a car,31,68,45,0,"['an object with a hole', 'a car mount', 'view the image in the description of this post', 'the white surface of a plastic cup', 'black rubber dash mount dash mount car mount']","[([], []), ([], []), ([], []), (['White'], ['Plastic']), (['Black'], ['Rubber'])]","(40, 40)"
data/images/noun/2051-600.jpg,2051,finger castanet,53,60,47,9,"['this is a green toilet bowl with a lid that is open and closed', 'a colorful lid', 'green toilet seat cover with a green lid', 'a tiny green porcelain toilet seat.', 'i see green toilet bowl']","[(['Green'], []), ([], []), (['Green'], []), (['Green'], []), (['Green'], [])]","(80, 0)"
data/images/noun/2052-600.jpg,2052,noisemaker,41,53,63,7,"['i see an image of a person eating with a small spoon on a white background', 'a plastic garden tool that looks like a plastic flower', 'i am a professional designer and i can design the logo as shown in the image. i would like', 'the image looks like this:', 'green plastic toothbrush handle with red plastic teeth attached']","[([], []), ([], ['Plastic']), ([], []), ([], []), (['Red', 'Green'], ['Plastic'])]","(20, 40)"
data/images/noun/2053-600.jpg,2053,hand castanet,44,79,45,6,"['there is a man in a red suit with a black tie', 'two hair clippers', 'a black and red pair of scissors on a white background', 'red and black umbrella holder', 'the image of a red tool holder']","[(['Red', 'Black'], []), ([], []), (['Red', 'Black'], []), (['Red', 'Black'], []), (['Red'], [])]","(80, 0)"
data/images/noun/2054-600.jpg,2054,floating ball game,3,25,38,48,"['a red toy stick with a handle attached to it', 'a pipe with red stand', 'a red wood stick with an orange stand', ""it's a wood spoon holder"", 'a wooden spoon']","[(['Red'], []), (['Red', 'Tan'], []), (['Red', 'Orange', 'Tan'], []), ([], []), ([], ['Wooden'])]","(60, 20)"
data/images/noun/2055-600.jpg,2055,aroma therapy oil burner,13,33,53,13,"['green plastic cut out vase', 'a vase in bright yellow', 'an orange vase with cutouts on the inside and outside.', '', 'i see a vase of an object with holes and holes']","[(['Green'], ['Plastic']), (['Yellow'], []), (['Orange'], []), ([], []), ([], [])]","(60, 20)"
data/images/noun/2056-600.jpg,2056,dog toy,19,59,61,13,"['i see the color of a plane.', '-a-: i see a plane, the picture shows a plane.', 'the shape of the jet plane is colored rainbow', 'the plane on the left', 'a toy airplane, made of colored rubber, with the tail in the air']","[([], []), ([], []), (['Red'], []), ([], []), (['Red'], ['Rubber'])]","(40, 20)"
data/images/noun/2057-600.jpg,2057,spout for watering can,34,32,35,3,"['this is the image of a red plastic fan with a black handle', 'the image shows a red and black fan on the side of a white background', 'i see a red and white flower - this is a', 'a red and black plastic fan', 'you see the red fan on a white background']","[(['Red', 'Black'], ['Plastic']), (['Red', 'Black'], []), (['Red', 'White'], []), (['Red', 'Black'], ['Plastic']), (['Red'], [])]","(100, 40)"
data/images/noun/2058-600.jpg,2058,hole for children golf game,22,33,58,3,"['image', 'the light and dark circles are the same color in the image', 'we see a pink and green circular object', 'pink', 'a pink plastic toilet seat']","[([], []), ([], []), (['Green', 'Pink'], []), (['Pink'], []), (['Pink'], ['Plastic'])]","(60, 20)"
data/images/noun/2059-600.jpg,2059,maraca pen,75,92,28,0,"['what is it', 'q: what do you see in the image?', 'the image is purple', 'we see a pink egg shaped sex toy', 'image of dildo purple']","[([], []), ([], []), (['Purple'], []), (['Pink'], []), (['Purple'], [])]","(60, 0)"
data/images/noun/2060-600.jpg,2060,dog toy with removed rope,38,32,55,29,"['it looks like a star or a red bubble.', '', 'a bunch of red plastic balls on a white surface', 'in this image you can see the toy and it is red', 'the flower of an onion in red and orange']","[(['Red'], []), ([], []), (['Red', 'White'], ['Plastic']), (['Red'], []), (['Red', 'Orange'], [])]","(80, 20)"
data/images/noun/2061-600.jpg,2061,dog toy,53,53,59,13,"['an animal shaped toy on a white background', 'donut - green', 'a green doughnut shaped toy with a bunch of colorful dots', 'green, multi - colored rubber toy, shaped like a donut with dots', ""it's the photo of the dog toy made with small rubber balls""]","[([], []), (['Green'], []), (['Green'], []), (['Red', 'Green'], ['Rubber']), ([], ['Rubber'])]","(60, 40)"
data/images/noun/2062-600.jpg,2062,dog toy,44,56,29,42,"['this is a silicone toy ball shaped like a circular ring', 'orange silicone spikey toy.', 'q: what do you see in the image?', 'an orange rubber ball with spikes', 'the ring of orange rubber is shaped like a spiky spiked ring']","[([], []), (['Orange'], []), ([], []), (['Orange'], ['Rubber']), (['Orange'], ['Rubber'])]","(60, 40)"
data/images/noun/2063-600.jpg,2063,magic loops,25,38,13,19,"['the planet of the rings', 'an earth', 'a wire frame planet', 'the image of the solar system made with wire and beads.', 'the image of a model of a model of a model of a model of a model of a model']","[([], []), ([], []), ([], []), ([], []), ([], [])]","(0, 0)"
data/images/noun/2064-600.jpg,2064,massager,28,33,45,3,"['a green massage foot table.', 'the image of a green leg', 'a green foot stool', 'q: what do you see in the image?', 'a green and white foot massager with legs attached to the ground']","[(['Green'], []), (['Green'], []), (['Green'], []), ([], []), (['Green', 'White'], [])]","(80, 0)"
