image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, nucleus, caption_1","BLIP-2, nucleus, saliency_1","BLIP-2, nucleus, caption_2","BLIP-2, nucleus, saliency_2","BLIP-2, nucleus, caption_3","BLIP-2, nucleus, saliency_3","BLIP-2, nucleus, caption_4","BLIP-2, nucleus, saliency_4","BLIP-2, nucleus, caption_5","BLIP-2, nucleus, saliency_5","BLIP-2, nucleus, caption_6","BLIP-2, nucleus, saliency_6","BLIP-2, nucleus, caption_7","BLIP-2, nucleus, saliency_7","BLIP-2, nucleus, caption_8","BLIP-2, nucleus, saliency_8","BLIP-2, nucleus, caption_9","BLIP-2, nucleus, saliency_9","BLIP-2, nucleus, caption_10","BLIP-2, nucleus, saliency_10",blip2_saliency_rate,model_color_saliency,color_pearsonr,model_texture_saliency,texture_pearsonr
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3,a plastic toy that has orange and green handles,"(['Orange', 'Green'], ['Plastic'])",a green and orange plastic toy with two buttons,"(['Orange', 'Green'], ['Plastic'])",this toy has a handle that is green and orange,"(['Orange', 'Green'], [])",the toy is green and orange and has a large green handle,"(['Orange', 'Green'], [])",an orange and green plastic toy with a small hook,"(['Orange', 'Green'], ['Plastic'])",an orange plastic pipe has an orange handle on it,"(['Orange'], ['Plastic'])",a toy toy that has an orange and green handle,"(['Orange', 'Green'], [])",pvc toy car wash machine car washing machine toys,"([], [])",an orange and green toy with three holes,"(['Orange', 'Green'], [])",an orange plastic toy is attached to a green one,"(['Orange', 'Green'], ['Plastic'])","(90, 50)",90,0.39854250008597725,50,0.14523802438751093
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41,funko pop action figure coral coral reef,"(['Coral'], [])",a small red sea urchin,"(['Red'], [])",a pink plastic toy of a starfish,"(['Pink'], ['Plastic'])","a small plastic coral, pink and orange","(['Orange', 'Pink', 'Coral'], ['Plastic'])",small red and orange sea anemone,"(['Red', 'Orange'], [])",a pink toy sea creature is on a white background,"(['Pink'], [])",pink anemone shaped object with orange dots,"(['Orange', 'Pink'], [])",a pink plastic worm that is on top of another,"(['Pink'], ['Plastic'])",a close up of the toy of an octopus,"([], [])",red and orange jellyfish with small yellow dots,"(['Red', 'Orange', 'Yellow'], [])","(90, 30)",90,0.39854250008597725,30,0.14523802438751093
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6,a orange and yellow shaped plastic toy on a white background,"(['Orange', 'Yellow'], ['Plastic'])",orange and yellow plastic stand that has a green base,"(['Orange', 'Yellow', 'Green', 'Tan'], ['Plastic'])",a yellow and orange plastic foot that is on a stand,"(['Orange', 'Yellow', 'Tan'], ['Plastic'])",a yellow and orange plastic leg stand on a white surface,"(['Orange', 'Yellow', 'White', 'Tan'], ['Plastic'])",an orange and yellow object on a white background,"(['Orange', 'Yellow'], [])",tit-cadet spigot stand,"(['Tan'], [])",an orange and yellow plastic toy is on a stand,"(['Orange', 'Yellow', 'Tan'], ['Plastic'])",an orange and yellow plastic figure,"(['Orange', 'Yellow'], ['Plastic'])",a yellow plastic foot with orange tips,"(['Orange', 'Yellow'], ['Plastic'])",an orange and yellow foot pump sits on top of a white table,"(['Orange', 'Yellow', 'White'], [])","(100, 70)",100,0.39854250008597725,70,0.14523802438751093
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0,a ball and tube with a purple and yellow print on it,"(['Yellow', 'Purple'], [])",an electronic musical toy that has a plastic ball inside,"([], ['Plastic'])",a pink and yellow ball with a colorful design,"(['Yellow', 'Pink'], [])",a ball with a pink and yellow design,"(['Yellow', 'Pink'], [])",a yellow and purple ball with polka dots,"(['Yellow', 'Purple'], [])",paintball - rainbow,"([], [])",an image of the toy with a purple ball on top,"(['Purple'], [])",an image of a small plastic ball with a yellow and pink design,"(['Yellow', 'Pink'], ['Plastic'])",the yellow ball has a purple design and is sitting on top of the yellow stick,"(['Yellow', 'Purple'], [])",an image of a toy with a purple ball and yellow handle,"(['Yellow', 'Purple'], [])","(80, 20)",80,0.39854250008597725,20,0.14523802438751093
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10,blue plastic bicycle rack on white background,"(['Blue'], ['Plastic', 'Icy'])",a blue skateboard with the wheels covered with black dots,"(['Red', 'Blue', 'Black'], [])",a blue and white plastic shoe shoe holder,"(['Blue', 'White'], ['Plastic'])",a blue plastic plastic shoe sole with holes,"(['Blue'], ['Plastic'])",a blue plastic shoe holder with holes,"(['Blue'], ['Plastic'])",blue ice bucket for a water feature,"(['Blue'], [])",the new bbx blue wheel,"(['Blue'], [])",a blue plastic shoe for kids to wear,"(['Blue'], ['Plastic'])",a blue plastic bag with holes and two holes,"(['Blue'], ['Plastic'])",the blue plastic shoe holder has two holes and an eye,"(['Blue'], ['Plastic'])","(100, 70)",100,0.39854250008597725,70,0.14523802438751093
data/images/noun/2016 600dpi.jpg,2016,bird toy,28,21,61,6,a large orange plastic cone with blue and white yarn attached,"(['Orange', 'Blue', 'White'], ['Plastic'])",a plastic blue and white tassel attached to a blue plastic cone,"(['Blue', 'White'], ['Plastic'])",a plastic orange and blue cheerleader is on top of a white background,"(['Orange', 'Blue'], ['Plastic'])",frozen treat dispenser w/ hanger,"([], [])",an orange and blue mop with a long tail,"(['Orange', 'Blue'], [])",an orange and blue hanger that is on a white surface,"(['Orange', 'Blue', 'White'], [])",an orange and blue dog toy with white and blue tassels,"(['Orange', 'Blue', 'White'], [])",a small orange and blue plastic cone with some blue and white yarn,"(['Orange', 'Blue', 'White'], ['Plastic'])",a dog t - shirt with a plastic cone,"([], ['Plastic'])",the mop is on top of an orange and blue ball,"(['Orange', 'Blue'], [])","(80, 50)",80,0.39854250008597725,50,0.14523802438751093
data/images/noun/2017-600.jpg,2017,kenetic wheel,41,29,23,13,a metal device that has a spring attached to it,"([], [])",an orange plastic ball is attached to a wire,"(['Orange'], ['Plastic'])",a small toy car with wheels and a blue handle,"(['Blue'], [])",a device with a ball on a metal bar,"([], [])",a device with a plastic ball on top of a metal wire,"([], ['Plastic'])",small metal ball with a plastic hook attached to it,"([], ['Plastic'])",a metal wire with a rubber ball on it,"([], ['Rubber'])",a plastic hook and wire with an orange ball attached to it,"(['Orange'], ['Plastic'])",toy rat with a metal wire that has an orange and blue handle,"(['Orange', 'Blue'], [])",a small ball is stuck into a hook with blue and orange parts,"(['Orange', 'Blue'], [])","(50, 50)",50,0.39854250008597725,50,0.14523802438751093
data/images/noun/2018-600.jpg,2018,this coils string,16,50,61,6,a yellow plastic container with a lid on top,"(['Yellow'], ['Plastic'])",a small yellow object sitting on top of a white background,"(['Yellow'], [])",yellow lid for the yellow plastic storage container,"(['Yellow'], ['Plastic'])",yellow round cover for a bowl,"(['Yellow'], [])",scoop dispenser cap - yellow,"(['Yellow'], [])",a yellow plastic cover with an open top,"(['Yellow'], ['Plastic'])",a yellow round plastic container with a lid,"(['Yellow'], ['Plastic'])",an empty yellow plastic container with a lid,"(['Yellow'], ['Plastic'])",a yellow plastic bowl with black plastic top,"(['Yellow', 'Black'], ['Plastic'])",a yellow plastic pot with black plastic lid,"(['Yellow', 'Black'], ['Plastic'])","(100, 70)",100,0.39854250008597725,70,0.14523802438751093
data/images/noun/2019-600.jpg,2019,cat nip toy,31,67,38,25,an orange plastic egg with a man's head on top,"(['Orange'], ['Plastic'])",candy corn owl figurine,"([], [])",a candy corn colored object with a white background,"(['Red'], [])","porky, orange and yellow - june 2013","(['Orange', 'Yellow'], [])",a plastic egg shaped toy with orange and yellow color,"(['Orange', 'Yellow'], ['Plastic'])",a yellow and orange plastic egg shaped toy with a furry tail on it,"(['Orange', 'Yellow'], ['Plastic', 'Furry'])",an orange and yellow egg with a fluffy tail,"(['Orange', 'Yellow'], [])",mummy mollymauk 3in yellow orange yellow orange orange orange orange orange orange orange orange,"(['Orange', 'Yellow'], [])",orange candy corn egg toy,"(['Orange'], [])",french bulldog ears mocap model,"([], [])","(80, 30)",80,0.39854250008597725,30,0.14523802438751093
data/images/noun/2020.jpg,2020,jacobs ladder,41,36,29,6,a set of four small colorful toys on a white surface,"(['White'], [])",a stack of colorful coasters sitting on a table,"([], [])",a colorful stack of four small notebooks with ribbon,"([], [])",six coasters with colored ribbon,"(['Red'], [])",bakker - 4 pack,"([], [])","a group of four square blocks with one orange, blue, green, yellow and red piece","(['Red', 'Orange', 'Yellow', 'Green', 'Blue'], [])",three coasters with a rainbow of colors on them,"([], [])",six colored boxes stacked on top of each other,"(['Red'], [])",colorful coaster set,"([], [])",4 pack of 3 different colored coasters,"(['Red'], [])","(50, 0)",50,0.39854250008597725,0,0.14523802438751093
data/images/noun/2021-600.jpg,2021,foam arrow,9,29,84,3,a set of three plastic balls in a pink and green color,"(['Green', 'Pink'], ['Plastic'])",a plastic handle with green and pink handles,"(['Green', 'Pink'], ['Plastic'])",meltable silicone spray nozzle-pack of 5,"([], [])","buzz brush with six pink, green and black balls","(['Green', 'Pink', 'Black'], [])",the pipe has six black and pink tubes and three green ones,"(['Green', 'Pink', 'Black'], [])",an empty green tube is held together with pink and green tubes,"(['Green', 'Pink'], [])",a pink and green sponge with a black handle,"(['Green', 'Pink', 'Black'], [])",a bunch of colorful plastic pipes,"([], ['Plastic'])","an assortment of foam - pink, green, and black","(['Green', 'Pink', 'Black'], [])",the four colorful tubes have a pink and green cap,"(['Green', 'Pink'], [])","(80, 30)",80,0.39854250008597725,30,0.14523802438751093
data/images/noun/2022-600.jpg,2022,marker,9,15,70,13,"pvc pipe fitting pipe with handle, green","(['Green'], [])",a plastic water bottle that has green lid,"(['Green'], ['Plastic'])",a green plastic bottle on a white surface,"(['Green', 'White'], ['Plastic'])",a green plastic pipe that has a small hole in it,"(['Green'], ['Plastic'])",a green plastic container with a hole for holding,"(['Green'], ['Plastic'])",an image of a green plastic pot,"(['Green'], ['Plastic'])",a green plastic cup with a long neck on a white background,"(['Green'], ['Plastic'])",a green plastic pot on a white background,"(['Green'], ['Plastic'])",a plastic green cup with a handle,"(['Green'], ['Plastic'])",a green plastic object on a white background,"(['Green'], ['Plastic'])","(100, 90)",100,0.39854250008597725,90,0.14523802438751093
data/images/noun/2023-600.jpg,2023,color changing ball,13,31,87,17,a ball of white and black tissue paper,"(['Black', 'White'], [])",a flower shaped object that has some black and white colors,"(['Black', 'White'], [])",an electronic ball with black and white stickers,"(['Black', 'White'], [])",black and white vase with many pieces of paper in it,"(['Black', 'White'], [])",a black and white marble ball is in the shape of a flower,"(['Black', 'White'], [])",a black and white flower made of plastic,"(['Black', 'White'], ['Plastic'])",a black and white ball with a black and white hat,"(['Black', 'White'], [])",a white and black ball with some pieces of it,"(['Black', 'White'], [])",a black and white sculpture with lots of black and white balls,"(['Black', 'White'], [])",a black and white marble sculpture with two pieces,"(['Black', 'White'], [])","(100, 10)",100,0.39854250008597725,10,0.14523802438751093
data/images/noun/2024-600.jpg,2024,connected disk toy,81,44,41,3,an image of a yellow and blue plastic toy,"(['Yellow', 'Blue'], ['Plastic'])",an image of a toy shaped like a flower,"([], [])",melt & pour blocks by lilypads,"([], [])",three toys of a yellow star with two blue and one red,"(['Red', 'Yellow', 'Blue'], [])",three yellow plastic toys in a star shape,"(['Yellow'], ['Plastic'])",an image of a toy plastic toy with four pieces,"([], ['Plastic'])",a plastic toy is made of four different colors,"([], ['Plastic'])",a yellow and blue piece of plastic toy with two red and blue pieces,"(['Red', 'Yellow', 'Blue'], ['Plastic'])",a toy shaped like a star with several colors,"([], [])",toy starlet with wings,"([], [])","(40, 50)",40,0.39854250008597725,50,0.14523802438751093
data/images/noun/2025-600.jpg,2025,boomerang,6,14,58,13,a blue foot band is attached to the side of the shoe,"(['Blue'], [])",the blue shoe is placed on a white surface,"(['Blue', 'White'], ['Lace'])",a blue rubber shoe with a rubber sole,"(['Blue'], ['Rubber'])",an object with a blue design in front of it,"(['Blue'], [])",a blue rubber band with a small handle and a white background,"(['Blue'], ['Rubber'])",a blue foot pad on a white background,"(['Blue'], [])",blue plastic foot rest with marble print,"(['Blue'], ['Plastic'])",a blue plastic foot shoe holder that is open,"(['Blue'], ['Plastic'])",an adjustable foot rest with blue fabric,"(['Blue'], [])",an object that is on top of a piece of plastic blue material,"(['Blue'], ['Plastic'])","(100, 60)",100,0.39854250008597725,60,0.14523802438751093
data/images/noun/2026-600.jpg,2026,dog toy,16,71,63,17,this is a green and red rubber dog toy,"(['Red', 'Green'], ['Rubber'])","a small green and red plastic device with the word ""green"" on it","(['Red', 'Green'], ['Plastic'])",an empty green and red plastic toy with a red handle,"(['Red', 'Green'], ['Plastic'])",a green and red rubber dog toy with red handle,"(['Red', 'Green'], ['Rubber'])",pawz bar for dog exercise - green/red,"(['Red', 'Green'], [])",an image of an orange and green toy,"(['Orange', 'Green'], [])",an object that has been made green and red,"(['Red', 'Green'], [])",green plastic object with red handle on white surface,"(['Red', 'Green', 'White'], ['Plastic'])",the rubber toy has two holes on the end,"([], ['Rubber'])",a green and red rubber dog toy,"(['Red', 'Green'], ['Rubber'])","(90, 70)",90,0.39854250008597725,70,0.14523802438751093
data/images/noun/2027-600.jpg,2027,room freshener toy,22,38,47,9,a white ball shaped object with a hole in the center,"(['White'], [])",an white ball with holes and a hole,"(['White'], [])",a white ball with the bottom half cut off,"(['White'], [])",a white plastic ball with holes on it,"(['White'], ['Plastic'])",paws4paws-pet-nest-ball-2-pc-white,"(['White'], [])",a white plastic ball sitting on top of a white surface,"(['White'], ['Plastic'])",a small white ball with an open hole on top,"(['White'], [])",a white ball shaped object that has two small holes on the bottom,"(['White'], [])",a white plastic ball with an attached pipe,"(['White'], ['Plastic'])",the ball is in white and has a hole in it,"(['White'], [])","(100, 30)",100,0.39854250008597725,30,0.14523802438751093
data/images/noun/2028-600.jpg,2028,cat toy found at the pound store,6,47,53,63,cute pink pom pom toy,"(['Pink'], [])",a group of pink fluffy pom poms tied on a ring,"(['Pink'], [])",a pink fluffy pom pom toy,"(['Pink'], [])",three donuts with white bows are held on a white background,"([], [])",donkey kong pom pom ring for cats,"([], [])",an inflatable pink ball with four pom poms attached to it,"(['Pink'], [])",fancy donuts in pink / puffy pink - 7pcs,"(['Pink'], ['Puffy'])",dog toy with pink yarn around it,"(['Pink'], [])",pink fluffy donut toy for small dogs,"(['Pink'], [])",a pink rubber donut attached to three wires,"(['Pink'], ['Rubber'])","(80, 20)",80,0.39854250008597725,20,0.14523802438751093
data/images/noun/2029-600.jpg,2029,cover for room fresheners,19,27,65,16,mec p90/92 suppressor adapter for black rifle/rifle/sbr/r,"(['Black'], [])",the gun safety switch is a part of the safety for the gun,"([], [])",magnum clip on trigger guard for magpul m16a4,"([], [])","the small black object has the word, 'hot' written on it","(['Black'], [])",a close up of a black plastic camera clip,"(['Black'], ['Plastic'])",a black plastic water bottle cap,"(['Black'], ['Plastic'])",paintball guns and parts airsoft paintball markers for airsoft guns and airsoft guns for,"([], ['Soft'])",airsoft gun bolt for the m4/m16/m4a1,"([], ['Soft'])",rk-12k/rk-14k - gas tube adapter - black,"(['Black'], [])",the new aa - sstl air pump,"([], [])","(50, 40)",50,0.39854250008597725,40,0.14523802438751093
data/images/noun/2030-600.jpg,2030,marker,9,43,53,0,the purple bottle is shaped like a cute elephant,"(['Purple'], [])",a small blue and white plastic toy with its face down,"(['Blue', 'White'], ['Plastic'])",a small blue and white plastic toy on a white background,"(['Blue'], ['Plastic'])",a blue toy with a face on a white background,"(['Blue'], [])",sudy aufkleber wirbelhafte,"([], [])",a blue plastic figurine with a purple head,"(['Blue', 'Purple'], ['Plastic'])",a blue and purple toy that has a purple top,"(['Blue', 'Purple'], [])",a blue and purple plastic toy with a head and eyes,"(['Blue', 'Purple'], ['Plastic'])",blue pepper grinder with purple handle,"(['Blue', 'Purple'], [])","a blue, small and pink toy with a large black head","(['Blue', 'Pink', 'Black'], [])","(90, 40)",90,0.39854250008597725,40,0.14523802438751093
data/images/noun/2031.jpg,2031,book end,16,32,35,26,stainless steel cnc bent bracket,"([], [])",cnc aluminum castings - aluminum handrail,"([], [])",the aluminum arm rests are available for the table top,"([], [])",an aluminum plate with a curved metal bar on it,"([], [])",the wave shaped metal part of a bathroom sink,"([], [])",silver plated aluminum hand rail,"(['Silver'], [])",aluminium bar holder for hanging on wall,"([], [])","a metal plate on a white surface with the words ""metallic"" on it","(['White'], ['Metallic'])",steel hinge for window handle,"([], [])",stainless steel bar clamp,"([], [])","(20, 10)",20,0.39854250008597725,10,0.14523802438751093
data/images/noun/2032-600.jpg,2032,submarine,47,90,50,3,an orange and blue plastic toy airplane,"(['Orange', 'Blue'], ['Plastic'])",a plastic toy plane shaped like an orange rocket,"(['Orange'], ['Plastic'])",orange rubber boat toy with blue fins on top,"(['Orange', 'Blue'], ['Rubber'])",an orange plastic toy plane with blue and white trim,"(['Orange', 'Blue', 'White'], ['Plastic'])",small orange toy airplane with blue and white wings,"(['Orange', 'Blue', 'White'], [])",an orange toy airplane is sitting on a white surface,"(['Orange', 'White'], [])",the orange plastic toy is shaped like a rocket,"(['Orange'], ['Plastic'])",an orange toy toy plane with an orange top,"(['Orange'], [])",a small orange plastic toy boat with a blue bow,"(['Orange', 'Blue'], ['Plastic'])",sensory toys for kids,"([], [])","(90, 60)",90,0.39854250008597725,60,0.14523802438751093
data/images/noun/2033-600.jpg,2033,cat toy cage,9,57,55,3,an orange box that has a green lattice pattern,"(['Orange', 'Green'], [])","an orange, plastic toy with four holes and a white background","(['Orange'], ['Plastic'])",a picture of a small orange crate,"(['Orange'], [])","an orange, plastic storage box with green trim","(['Orange', 'Green'], ['Plastic'])",a yellow plastic toy with a diamond design,"(['Yellow'], ['Plastic'])",a plastic orange box with a diamond pattern,"(['Orange'], ['Plastic'])",a plastic crate with a green handle,"(['Green'], ['Plastic'])",orange storage shelf for clothes,"(['Orange'], [])",an orange plastic piece with a green trim,"(['Orange', 'Green'], ['Plastic'])",small orange basket with geometric pattern and green handles,"(['Orange', 'Green'], [])","(100, 60)",100,0.39854250008597725,60,0.14523802438751093
data/images/noun/2034-600.jpg,2034,worm ball with cut off hands or stars,72,39,45,26,mummy lolly in a pack of 24,"([], [])",an assortment of colorful rubber snakes,"([], ['Rubber'])",a large pile of colorful plastic toys on a white background,"([], ['Plastic'])",the kiddie rubber ball,"([], ['Rubber'])",a close up of the colorful rubber wands that are on a white surface,"(['White'], ['Rubber'])","an orange, pink, and green plastic toy","(['Orange', 'Green', 'Pink'], ['Plastic'])",yellow and green string toy,"(['Yellow', 'Green'], [])",the head of a bunch of colored rubber bands,"(['Red'], ['Rubber'])",mushroom-shaped rubber snakes with a green tail and pink body,"(['Green', 'Pink'], ['Rubber'])","a pile of colorful, multicolored rubber tubes","(['Red'], ['Rubber'])","(60, 80)",60,0.39854250008597725,80,0.14523802438751093
data/images/noun/2035-600.jpg,2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13,a blue toothbrush with brown fibers on it,"(['Blue', 'Brown'], [])",an ear cleaning brush in a blue plastic case,"(['Blue'], ['Plastic'])",a blue and brown hairbrush with an orange and black cap,"(['Orange', 'Blue', 'Brown', 'Black'], [])",the mr mop mop has been used for cleaning purposes,"([], [])","pony tail wands, brown, blue","(['Blue', 'Brown'], [])",the wavy sponge is used as a hairbrush,"([], [])",a small blue stick on a white background,"(['Blue'], [])",bunny ball pom pom,"([], [])",a blue and brown ball with a blue handle,"(['Blue', 'Brown'], [])",a blue and brown hairbrush,"(['Blue', 'Brown'], [])","(70, 10)",70,0.39854250008597725,10,0.14523802438751093
