image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"FROMAGe, nucleus, caption_1","FROMAGe, nucleus, saliency_1","FROMAGe, nucleus, caption_2","FROMAGe, nucleus, saliency_2","FROMAGe, nucleus, caption_3","FROMAGe, nucleus, saliency_3","FROMAGe, nucleus, caption_4","FROMAGe, nucleus, saliency_4","FROMAGe, nucleus, caption_5","FROMAGe, nucleus, saliency_5","FROMAGe, nucleus, caption_6","FROMAGe, nucleus, saliency_6","FROMAGe, nucleus, caption_7","FROMAGe, nucleus, saliency_7","FROMAGe, nucleus, caption_8","FROMAGe, nucleus, saliency_8","FROMAGe, nucleus, caption_9","FROMAGe, nucleus, saliency_9","FROMAGe, nucleus, caption_10","FROMAGe, nucleus, saliency_10",fromage_saliency_rate,model_color_saliency,color_pearsonr,model_texture_saliency,texture_pearsonr
data/images/noun/2011-600.jpg,2011,noisemaker,22,75,88,3, A bird with a beak.,"([], [])", I see a person.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", The image shows a man wearing a hat with a green and yellow flower on it.,"(['Yellow', 'Green'], [])", I see a green plastic toy with a green plastic handle.,"(['Green'], ['Plastic'])"," I see a bird with a beak, a head, and a body.","([], [])", A person holding a flower.,"([], [])", A duck.,"([], [])", A bunch of people with their hands in the air.,"([], [])","(20, 10)",20,0.21798948579031271,10,0.15229419323563126
data/images/noun/2012-600.jpg,2012,coiled worm toy,41,50,59,41, A red ball with a white center.,"(['Red', 'White'], [])", A red ball with a white center.,"(['Red', 'White'], [])", A coral reef.,"(['Coral'], [])", This is a close up of a small mushroom.,"([], [])"," This image shows a red mushroom, which is a type of fungi.","(['Red'], [])", The image shows a red ball with a white spot.,"(['Red', 'White'], [])", A red octopus.,"(['Red'], [])", A pink and white ball with a red dot on it.,"(['Red', 'Pink', 'White'], [])", A small red ball with a white spot on the top.,"(['Red', 'White'], [])", A single cell of a living organism.,"([], [])","(80, 0)",80,0.21798948579031271,0,0.15229419323563126
data/images/noun/2013-600.jpg,2013,sling shot,6,20,87,6, A man wearing a hat and holding a stick.,"([], [])"," I see a man with a big head and a big smile, he is wearing a hat and a long coat.","([], [])", The image is a part of a series of images.,"([], [])"," A person, in a red, white and blue costume.","(['Red', 'Blue', 'White'], [])", A man with a red cap and a white helmet.,"(['Red', 'White'], [])", The image shows a person holding a ball in his hand.,"([], [])"," The image shows a person with a long, thin, flexible, and flexible body.","([], [])"," A man in a red shirt, a red cap, and a red hat.","(['Red'], [])", I see a person in a red outfit.,"(['Red'], [])", A person is walking on a road.,"([], [])","(40, 0)",40,0.21798948579031271,0,0.15229419323563126
data/images/noun/2014-600.jpg,2014,this light-up toy,38,75,39,0, A ball with a light inside!,"([], [])", A toy that you can spin and make a noise.,"([], [])", I see a cute little animal.,"([], [])", The image shows the toy that you can buy in the store.,"([], [])", The image shows the toy in the box.,"([], [])", A toy with a ball and a handle.,"([], [])", A toy that is made of plastic and has a ball in the middle.,"([], ['Plastic'])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", I see a lot of toys!,"([], [])", The image shows the toy.,"([], [])","(0, 10)",0,0.21798948579031271,10,0.15229419323563126
data/images/noun/2015-600.jpg,2015,ball catcher,38,78,55,10, A white car with a blue and white stripe.,"(['Blue', 'White'], [])", I see a lot of blue and white.,"(['Blue', 'White'], [])", A wheel of a car.,"([], [])", The image is a representation of a water drop.,"([], [])", The image is a representation of a person's face.,"([], [])", I see a white and blue car with a red and blue stripe.,"(['Red', 'Blue', 'White'], [])", The image is a picture of a person with a white background.,"([], [])", The image shows a person with a white cap.,"(['White'], [])", I see a lot of people in the image.,"([], [])", I see a wheel in the image.,"([], [])","(40, 0)",40,0.21798948579031271,0,0.15229419323563126
data/images/noun/2016 600dpi.jpg,2016,bird toy,28,21,61,6, A person holding a broom.,"([], [])", I see a pile of laundry.,"([], ['Dry'])", A blue and white plastic ball with a blue and white plastic handle.,"(['Blue', 'White'], ['Plastic'])", A man in a blue jacket with a white collar.,"(['Blue', 'White'], [])", A rubber ducky.,"([], ['Rubber'])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A pile of blue towels.,"(['Blue'], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", I see a man wearing a blue sweater and a blue cap.,"(['Blue'], [])", A blue plastic spool of thread.,"(['Blue'], ['Plastic'])","(50, 40)",50,0.21798948579031271,40,0.15229419323563126
data/images/noun/2017-600.jpg,2017,kenetic wheel,41,29,23,13," I see a lot of people, and I see a lot of people, and I see a lot of people, and I see a lot of people, and","([], [])", The image shows a person in a wheelchair.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A: The image shows a model of a boat with a person on it.,"([], [])", The image is a 3d model of a ball rolling on a flat surface.,"([], [])"," The image is a representation of a ship, which is a type of boat.","([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", I see a bunch of people in a circle.,"([], [])", I see a person sitting on a chair with a ball on the end of a rope.,"([], [])", The image shows a person on a swing.,"([], [])","(0, 0)",0,0.21798948579031271,0,0.15229419323563126
data/images/noun/2018-600.jpg,2018,this coils string,16,50,61,6, The image is a light bulb.,"([], [])", A person wearing a helmet.,"([], [])", The image shows the light bulb.,"([], [])", A lamp.,"([], [])", A person in a car.,"([], [])", The image shows a light bulb with a reflector.,"([], [])", A light bulb with a bulb holder.,"([], [])", This is a picture of a new product that we are going to launch in the market.,"([], [])"," The image shows the product, you can see the product in the image.","([], [])", A person in a circle.,"([], [])","(0, 0)",0,0.21798948579031271,0,0.15229419323563126
data/images/noun/2019-600.jpg,2019,cat nip toy,31,67,38,25, A yellow ball with a white face.,"(['Yellow', 'White'], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A duck.,"([], [])"," A little bird, flying in the air.","([], [])", A group of people in a room.,"([], [])", A yellow bird with a white beak and a black body.,"(['Yellow', 'Black', 'White'], [])", A person.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A duck with a crown and a yellow hat.,"(['Yellow'], [])", A yellow ball with a white dot on it.,"(['Yellow', 'White'], [])","(40, 0)",40,0.21798948579031271,0,0.15229419323563126
data/images/noun/2020.jpg,2020,jacobs ladder,41,36,29,6, The image shows a stack of chairs in a row.,"([], [])", A set of three stackable chairs.,"([], [])", This is a set of 3 stacking cups.,"([], [])"," It is a set of four chairs, each with a different color.","([], [])", A set of 4 chairs.,"([], [])", The image shows the different types of chairs that you can buy for your home.,"([], [])", The image shows a stack of chairs.,"([], [])", The image shows a set of 4 cubes that can be stacked on top of each other.,"([], [])", The image shows a stack of chairs.,"([], [])", The image shows a stack of chairs.,"([], [])","(0, 0)",0,0.21798948579031271,0,0.15229419323563126
data/images/noun/2021-600.jpg,2021,foam arrow,9,29,84,3, I see a bunch of people who are trying to sell you something.,"([], [])", The image shows a 3D model of a person.,"([], [])", The image shows the color of the pencils.,"([], [])", This image shows a rubber band with a loop on the end.,"([], ['Rubber'])", The image shows the different colors of the different types of rubber used in the manufacture of the product.,"([], ['Rubber'])", I see a bunch of people with different colored hair.,"(['Red'], [])", The image shows the difference between the two types of rubber.,"([], ['Rubber'])", This image shows the inner part of the ear canal.,"([], [])"," I see a person with a hat, a pair of glasses, a pair of shoes, and a pair of socks.","([], [])", The image shows a person with a black headband.,"(['Black'], [])","(20, 30)",20,0.21798948579031271,30,0.15229419323563126
data/images/noun/2022-600.jpg,2022,marker,9,15,70,13," I see a person with a hat, a person with a helmet, a person with a mask, a person with a mask and a person with a cap.","([], [])", I see a man in a white suit with a red tie.,"(['Red', 'White'], [])", This is a photo of a part of a water bottle.,"([], [])", I see a man wearing a hat.,"([], [])", The image shows a person wearing a hat.,"([], [])", The image is of a person wearing a hat.,"([], [])", A man wearing a hat.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", The image shows a person wearing a hat.,"([], [])", This is a picture of a person wearing a hat.,"([], [])","(10, 0)",10,0.21798948579031271,0,0.15229419323563126
data/images/noun/2023-600.jpg,2023,color changing ball,13,31,87,17, A man in a white suit and a white hat,"(['White'], [])", I see a flower with a stem and a bunch of petals.,"([], [])", A man in a white suit with a hat and a white umbrella.,"(['White'], [])", I see a bunch of people in a circle.,"([], [])", A lot of things.,"([], [])", A bunch of balls!,"([], [])", A bunch of circles,"([], [])", A man with a white mask on his face.,"(['White'], [])", A beautiful flower.,"([], [])", A beautiful flower in the shape of a cube.,"([], [])","(30, 0)",30,0.21798948579031271,0,0.15229419323563126
data/images/noun/2024-600.jpg,2024,connected disk toy,81,44,41,3, I see a man with a big head and a small body.,"([], [])", I see a bunch of toys and a couple of people playing with them.,"([], [])", The image is a picture of a ship in a stormy sea.,"([], [])", A wheel on a stick.,"([], [])", A spinning wheel with a red and blue color.,"(['Red', 'Blue'], [])", A child's toy.,"([], [])", The image is a simple puzzle that can be solved by children.,"([], [])", I see a set of blocks.,"([], [])", I see a man with a gun.,"([], [])", The image shows a man with a red hat and a red umbrella.,"(['Red'], [])","(20, 0)",20,0.21798948579031271,0,0.15229419323563126
data/images/noun/2025-600.jpg,2025,boomerang,6,14,58,13, I see a blue and white pattern.,"(['Blue', 'White'], [])"," I see a pair of legs, which are connected by a chain.","([], [])"," I see a person, standing, with a leg, holding a shoe, with a hand, holding a key, with a head, with a hat, with","(['Tan'], [])", I see a blue and white pair of shoes.,"(['Blue', 'White'], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", I see a blue and white ball.,"(['Blue', 'White'], [])", I see a pair of shoes in the image.,"([], [])", A person with a blue background and a white head.,"(['Blue'], [])", A pair of hands!,"([], [])"," I see a pool of water, and I see a person.","([], [])","(50, 0)",50,0.21798948579031271,0,0.15229419323563126
data/images/noun/2026-600.jpg,2026,dog toy,16,71,63,17, The image shows the color of the toy.,"([], [])", The image shows a person with a green head and a red body.,"(['Red', 'Green'], [])", The image shows a dog in a cage.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", The image shows a child playing with a toy.,"([], [])", The image shows the shape of a person.,"([], [])", The image is a picture of a toy dog.,"([], [])", I see a red and white ball with a green and blue ball on the end.,"(['Red', 'Green', 'Blue', 'White'], [])", The image shows a dog in a ball.,"([], [])", A person sitting on a chair.,"([], [])","(20, 0)",20,0.21798948579031271,0,0.15229419323563126
data/images/noun/2027-600.jpg,2027,room freshener toy,22,38,47,9, A man with a white hat and a white shirt.,"(['White'], [])"," A man holding a ball, with a white background.","([], [])", A small white ball on a white background.,"([], [])", The image shows a small ball on the left side of the image.,"([], [])", A person in a white box with a white light bulb in the center.,"(['White'], [])", A ball with a hole in it.,"([], [])", The image shows the image of the image of the image of the image of the image of the image of the image of the image of the image of the image,"([], [])", The image shows a person in a white coat.,"(['White'], [])", A man holding a ball in his hand.,"([], [])", The image is a picture of a white ball with a red dot in the middle.,"(['Red', 'White'], [])","(40, 0)",40,0.21798948579031271,0,0.15229419323563126
data/images/noun/2028-600.jpg,2028,cat toy found at the pound store,6,47,53,63, A flower with a ball in the center.,"([], [])"," This is a flower, a flower is a flower.","([], [])", This image shows a flower with a pink ball in the center.,"(['Pink'], [])", A pink ball with a white flower on top.,"(['Pink', 'White'], [])", A group of flowers in a pot.,"([], [])", A ball of pink and white flowers.,"(['Pink', 'White'], [])", A flower with a stem and a bud.,"([], [])", A flower with a crown on top.,"([], [])", This is a flower made of small balls.,"([], [])", A group of flowers with a crown on top.,"([], [])","(30, 0)",30,0.21798948579031271,0,0.15229419323563126
data/images/noun/2029-600.jpg,2029,cover for room fresheners,19,27,65,16, A person with a white mask.,"(['White'], [])", The image shows a black and white image of a car.,"(['Black', 'White'], [])", The image shows a set of gears.,"([], [])", A person is using a shovel to dig a hole.,"([], [])", The image shows the inner structure of a plastic.,"([], ['Plastic'])", A person holding a gun.,"([], [])", The image is a picture of a ball with a hole in it.,"([], [])", The image shows a person holding a gun.,"([], [])", A screwdriver.,"([], [])", A ball is being thrown from a distance of 10 meters.,"(['Tan'], [])","(30, 10)",30,0.21798948579031271,10,0.15229419323563126
data/images/noun/2030-600.jpg,2030,marker,9,43,53,0, A blue ball in a white box.,"(['Blue', 'White'], [])", A man with a white cap.,"(['White'], [])", A person.,"([], [])", A person with a red hat and a blue umbrella.,"(['Red', 'Blue'], [])", A lot of people are thinking that it is a flower but it is not.,"([], [])", A blue plastic ball with a white dot on it.,"(['Blue', 'White'], ['Plastic'])", The image shows a blue and white plastic toy with a blue and white plastic ball inside.,"(['Blue', 'White'], ['Plastic'])", A person with a mask.,"([], [])", A person with a mask.,"([], [])", A lot of people are thinking about the image.,"([], [])","(50, 20)",50,0.21798948579031271,20,0.15229419323563126
data/images/noun/2031.jpg,2031,book end,16,32,35,26, A bar that is made of a metal alloy that has a high strength to weight ratio.,"([], [])", A man is walking on the street.,"([], [])"," A screw, a bolt, a nut, a bolt, a screw, a bolt, a nut, a screw, a bolt, a screw, a bolt","([], [])", The image is of a steel beam with a square cross section.,"([], [])", I see a person with a white head and a black body.,"(['Black', 'White'], [])", A hand with a knife in it.,"([], [])"," A screw, and a wrench, and a nut, and a bolt, and a bolt, and a screw, and a wrench, and a nut, and","([], [])"," I see a small figure of a man, standing in the middle of the road.","(['Tan'], [])", The image is a drawing of a screw.,"([], [])", I see a pair of legs.,"([], [])","(20, 0)",20,0.21798948579031271,0,0.15229419323563126
data/images/noun/2032-600.jpg,2032,submarine,47,90,50,3, I see a lot of small dots.,"([], [])", The image is a toy.,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", I see a child playing with a ball.,"([], [])", I see a lot of people.,"([], [])"," I see a yellow ball, a green ball, a red ball, a blue ball, a yellow ball, a white ball, a green ball, a blue","(['Red', 'Yellow', 'Green', 'Blue', 'White'], [])"," I see a lot of people, but I also see a lot of people, but I also see a lot of people, but I also see a lot of","([], [])", I see a plane.,"([], [])", I see a rocket flying in the sky.,"([], [])", The image is a toy that is made of plastic.,"([], ['Plastic'])","(10, 10)",10,0.21798948579031271,10,0.15229419323563126
data/images/noun/2033-600.jpg,2033,cat toy cage,9,57,55,3, A person in a wheelchair,"([], [])", The image shows a man carrying a basket.,"([], [])", The image shows a pile of bricks in a warehouse.,"([], [])", The image shows a bicycle.,"([], ['Icy'])", I see a wheelbarrow with a wheel and a handle.,"([], [])", The image shows a road with a line of cones.,"([], [])", A car.,"([], [])"," The image shows a set of wheels, each wheel has a different color.","([], [])", I see a white ball with a black rim.,"(['Black', 'White'], [])", I see a person in the image.,"([], [])","(10, 10)",10,0.21798948579031271,10,0.15229419323563126
data/images/noun/2034-600.jpg,2034,worm ball with cut off hands or stars,72,39,45,26, I see a pink and blue ball of yarn.,"(['Blue', 'Pink'], [])"," I see a lot of colors, shapes, and a lot of movement.","([], [])", I see a bunch of pink and green balloons that are floating in the air.,"(['Green', 'Pink'], [])", The image shows a pink ball with a white stripe.,"(['Pink', 'White'], [])", A pile of green and yellow confetti.,"(['Yellow', 'Green'], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A colorful ball of yarn!,"([], [])", A colorful ball of yarn,"([], [])", A pile of colorful balloons.,"([], [])", The image shows a ball of yarn with a loop on the end.,"([], [])","(40, 0)",40,0.21798948579031271,0,0.15229419323563126
data/images/noun/2035-600.jpg,2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13, A ball of clay,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", The image shows a blue rubber ball with a hole in it.,"(['Blue'], ['Rubber'])", A red ball with a white stripe.,"(['Red', 'White'], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A red ball with a white stripe.,"(['Red', 'White'], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A person with a beard.,"([], [])", A small red ball in a white box,"(['Red', 'White'], [])", A blue and white ball with a red handle.,"(['Red', 'Blue', 'White'], [])","(50, 10)",50,0.21798948579031271,10,0.15229419323563126
data/images/noun/2036-600.jpg,2036,cup-and-ball toy,59,70,20,20, A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A : A : A : A : A : A : A : A : A : A : A : A : A : A : A : A :,"([], [])", A : A : A : A : A : A : A : A : A : A : A : A : A : A : A : A :,"([], [])", A : A : A : A : A : A : A : A : A : A : A : A : A : A : A : A :,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A: A : A : A : A : A : A : A : A : A : A : A : A : A : A : A :,"([], [])", A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", A: A : A : A : A : A : A : A : A : A : A : A : A : A : A : A :,"([], [])","(0, 0)",0,0.21798948579031271,0,0.15229419323563126
data/images/noun/2037-600.jpg,2037,teething ring with a bit photoshopped out,34,24,37,3, The image shows a pair of hands with fingers and pinky fingers in a ring.,"(['Pink'], [])", A pinkish pinkish purple ball with a white dot in the middle.,"(['Purple', 'Pink', 'White'], [])", A : A : A : A : A : A : A : A : A : A : A : A : A : A : A : A :,"([], [])", A group of people.,"([], [])"," A pair of hands, holding a heart.","([], [])", This image shows a person wearing a bracelet with a gem.,"([], [])", This is a picture of a woman with a ring on her finger.,"([], [])", A person wearing a bracelet.,"([], [])", A woman's hand with a ring on it.,"([], [])", A heart!,"([], [])","(20, 0)",20,0.21798948579031271,0,0.15229419323563126
data/images/noun/2038-600.jpg,2038,heart shaped slinky,56,63,26,6, A cloud of colorful balloons!,"([], [])", A cloud of colorful balloons!,"([], [])", I see a bunch of balloons.,"([], [])", A cloud!,"([], [])", The image is a representation of a cloud of colorful balloons.,"([], [])", A rainbow!,"([], [])", A cloud of plastic!,"([], ['Plastic'])", A rainbow!,"([], [])"," A rainbow, of course!","([], [])", I see a lot of colorful shapes in the image.,"([], [])","(0, 10)",0,0.21798948579031271,10,0.15229419323563126
data/images/noun/2039-600.jpg,2039,led top,28,64,61,13, A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,"([], [])", The image shows a set of four green plastic pieces.,"(['Green'], ['Plastic'])", I see a green circle with a white dot in the middle.,"(['Green', 'White'], [])", A green cube with a white cross.,"(['Green', 'White'], [])", I see a little person with a light bulb in his hand.,"([], [])", The image is a cross section of a cube with a hole in the middle.,"([], [])", I see a person with a smile.,"([], [])", The image shows the image of a small box with a keyhole.,"([], [])", The image shows the color of the image.,"([], [])", The image shows the image of a small ball.,"([], [])","(30, 10)",30,0.21798948579031271,10,0.15229419323563126
data/images/noun/2040-600.jpg,2040,rubber toy found in toy aisle,31,64,63,16," I see a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball, a ball,","([], [])", A soccer ball with a crown on it.,"([], [])", I see a ball of yarn.,"([], [])", I see a blue and white ball with a yellow rim.,"(['Yellow', 'Blue', 'White'], [])", A blue and white ball with a face.,"(['Blue', 'White'], [])", A blue ball with a yellow smiley face on it.,"(['Yellow', 'Blue'], [])", A ball with a face!,"([], [])"," A blue crab, a species of marine crustacean.","(['Blue', 'Rust'], [])", A football player.,"([], [])", A small ball with a face and a tail.,"([], [])","(40, 0)",40,0.21798948579031271,0,0.15229419323563126
data/images/noun/2041-600.jpg,2041,massager,34,38,23,20, A person with a ball in their hand.,"([], [])", The image shows a child playing with a ball.,"([], [])", A ball with a hole in it.,"([], [])", A person is holding a ball in his hand.,"([], [])", A child in a swing.,"([], [])", A group of people.,"([], [])", A group of people in a circle.,"([], [])", The image shows a person with a ball in his hand.,"([], [])", A person with a ball in his hand,"([], [])", The image shows a person holding a ball in their hand.,"([], [])","(0, 0)",0,0.21798948579031271,0,0.15229419323563126
